"%s - Your new password";"%s  - Ваш новый пароль"
"Mobile Source Codes";"Мобильный исходный код"
"Mobile source codes";"Мобильные исходные коды"
"Mobile website information";"Мобильный информационный сайт"
"My QRCode";"Мой QR код"
"My application in figures";"Мое приложение в цифрах"
"Navigation";"Навигация"
"News";"Новости"
"One free coffee";"Один бесплатный кофе"
"Or go on your store<br />and look for ""Apps Company Previewer""";"Или пойти на вашем магазине <br /> и искать ""приложений компания Previewer"""
"Page name:";"Название страницы:"
"Percentage of returning customers";"Процент постоянных клиентов"
"Please enter a correct URL for the %s store";"Пожалуйста, введите правильный адрес для  %s магазина"
"Please enter a subdomain.";"Пожалуйста, введите субдомен."
"Please enter a valid URL";"Пожалуйста, введите URL"
"Please enter a valid address";"Пожалуйста, введите действительный адрес"
"Please enter a valid mobile website address.";"Пожалуйста, введите действующий номер мобильного телефона адрес веб-сайта."
"Photo & Video";"Фото и видео"
"Productivity";"Производительность"
"Preview";"Предварительный просмотр"
"Promote";"ТЕСТ"
"Publication";"Публикация"
"Publish the application";"Опубликовать приложение"
"Publish under our account";"Опубликовать в соответствии с вашим аккаунтом"
"Ready ? Publish my app!";"Опубликовать приложение!"
"Recommanded size:";"Рекомендованные размеры:"
"Reference";"Справка"
"Remove this page from this folder?";"Удалить эту страницу из этой папки?"
"Scan this QR Code";"Сканировать этот QR код"
"Scan this QR Code:";"Сканировать этот QR код"
"Secondary category";"Вторичная категория"
"Secondary category<br />(Optional)";"Вторичная категория <br /> (Необязательно)"
"Send here your iOS certificate to enable the push notifications for this application.";"Отправить здесь свой сертификат IOS, чтобы дать возможность отправить уведомления  для этого приложения."
"Send you .pem certificate";"Отправить Ваш .pem сертификат"
"Show the applications waiting for publication only.";"Показать приложения ожидающих публикации."
"Social Networking";"Социальные сети"
"Sports";"Спорт"
"Startup image";"Заставка"
"Status";"Статус"
"Store Password";"Пароль магазина"
"Store URL";"URL магазина"
"Stores Info";"Информация о магазине"
"To be able to download source codes, please provide the following information:<br />";"Для того, чтобы загрузить исходные коды, пожалуйста, предоставьте следующую информацию: <br />"
"The application's name cannot start with a number";"Название приложения не могут начинаться с цифры"
"The Bundle Id is required";"Необходимо пакетов id"
"The QR Code is not available at this moment";"QR коды не доступны в данный момент"
"The application has been successfully saved";"Заявка была успешно сохранена"
"The application name";"Имя приложения"
"The description";"Описание"
"The description must be at least 200 characters";"Описание должно быть по крайней мере 200 символов"
"The desktop icon";"Значок на рабочем столе"
"The entered bundle id is incorrect, it should be like: com.siberiancms.app";"Ваш комплект ID неправильный, он должен быть как: com.appartmaker.app"
"The field is required";"Поле обязательно для заполнения"
"The file has been successfully uploaded";"Файл успешно загружен"
"The following information are needed to download the source codes:<br />";"Следующая информация необходима для загрузки исходных кодов: <br />"
"The homepage image";"Изображение для домашней страницы"
"The key cannot be empty.";"Пароль не может быть пустым."
"The key is already used by another application.";"Пароль уже используется другим приложением."
"The keywords";"Ключевые слова"
"The main category";"Основная категория"
"The startup image";"Запуск изображение"
"This key is already used by system features.";"Этот ключ уже используется системными функциями."
"This application does not exist";"Это приложение не существует"
"This application is visible on the front";"Это приложение отображается вначале"
"This option enables you to set the currency used in your app";"Эта опция позволяет вам установить, какая валюта используется в вашем приложении"
"This page will be displayed to mobile users to enable them to login and manage their account. It is automatically added when you use features which need user login.";"Эта страница будет отображаться для пользователей мобильных телефонов, чтобы позволить им войти и управлять своим аккаунтом. Она добавляется автоматически, когда вы используете функции, которые нужно активировать для входа пользователя."
"Travel";"Путешествие"
"URL";"URL"
"URL Key";"URL ключ"
"Utilities";"Комм. услуги"
"Use into all of your application's pages";"Используйте для всех страниц вашего приложения"
"Used points";"Использовано пунктов"
"User Information";"Информация о пользователе"
"Version";"Версия "
"Weather";"Погода"
"You can't use this domain.";"Вы не можете использовать этот домен."
"You already have sent a certificate.";"Вы уже отправили сертификат."
"You can download your QRCode by <a class=""f-bold"" href=""%s"">clicking here</a>";"Сканируйте на свой смартфон QR код или загрузите <a class=""f-bold"" href=""%s""> нажав сюда </a>. Протестируйте на телефоне ваше приложение или покажите его работу вашим заказчикам."
"You don't have any applications yet";"Вы ещё не имеют никаких приложений"
"You have already sent a certificate";"Вы уже отправили сертификат"
"You have sent a certificate.";"Вы отправили сертификат."
"You have to create a Google account before publishing your application. <a href=""https://play.google.com/apps/publish/signup"" target=""_blank"">Click here to create one.</a>";"Вы должны создать учетную запись Google перед публикацией вашего приложения. <a href=""https://play.google.com/apps/publish/signup"" target=""_blank""> Нажмите здесь, чтобы создать его. </a>"
"You have to create an Apple account before publishing your application. <a href=""https://developer.apple.com/register/index.action"" target=""_blank"">Click here to create one.</a>";"Вы должны создать учетную запись Apple до публикации вашего приложения. <a href=""https://developer.apple.com/register/index.action"" target=""_blank""> Нажмите здесь, чтобы создать его. </a>"
"You haven't chosen any template yet";"Вы ещё не выбрали ни одного шаблона "
"You may not delete a library icon";"Вы не можете удалить значок библиотеки"
"You must have published your application to access this feature";"Вы должны опубликовать ваше приложение для доступа к этой функции"
"Your CNAME is properly set";"Ваше CNAME правильно установлен"
"Your best customers";"Ваши лучшие клиенты"
"Your customers in figures";"Ваши клиенты в цифрах"
"Your mobile address should not contain special characters";"Ваш мобильный адрес не должны содержать специальные символы"
"Your pages";"Ваши страницы"
"Your domain key ""%s"" is not valid.";"Ваш ключ домена ""%s"" не является действительным."
"iOS Certificate";"Сертификат iOS "
"iPad Retina:";"iPad Retina:"
"iPhone 5 / 5S:";"iPhone 5 / 5S:"
"iPhone 6 Plus:";"iPhone 6 Plus:"
"iPhone 6:";"IPhone 6:"
"iPhone Version";"iPhone версия"
"icon";"иконку 192х192"
"logo";"Логотип"
"times";"раз"
"%d Unread Message";"%d Непрочитанное сообщение"
"%d Unread Messages";"%d Непрочитанные сообщения"
"Account";"Аккаунт"
"Change the password";"Изменить пароль"
"Click to mark as not read";"Нажмите, чтобы отметить, как не прочитанное"
"Click to mark as read";"Нажмите, чтобы отметить, как прочитанное"
"Create a user";"Создайте пользователя"
"Edit the account ""%s""";"Редактировать учетную запись ""%s"""
"Edit the user";"Редактирование пользователя"
"Enter your credentials:";"Введите учетные данные:"
"List of backoffice accounts";"Список Бэк-офис счетов "
"List of the messages";"Список сообщений"
"Login to your backoffice interface";"Войдите в свой интерфейс Бэк-офис"
"People who are allowed to access the backoffice";"Люди, которым позволили получить доступ к Бэк-офис"
"Siberian CMS";"Siberian CMS"
"This account can't be deleted, it's the only one";"Эта учетная запись не может быть удалена, она одна."
"User successfully deleted";"Пользователь успешно удален"
"View Details";"Просмотреть подробности"
"Your new password";"Ваш новый пароль"
"Your password";"Ваш пароль"
"Booking details";"Детали бронирования"
"Booking details:";"Детали бронирования:"
"Booking subject:";"Объект бронирования:"
"Comment:";"Комментарий:"
"Date and time";"Дата и время"
"Date and time:";"Дата и время:"
"Email address:";"Адрес электронной почты:"
"Enter the location name and contact email:";"Введите название месторасположения и контактный адрес электронной почты:"
"First name / Last name";"Имя / Фамилия"
"Here are his personal information:";"Вот его личные данные:"
"Name:";"Имя:"
"Nom du lieu :";"Наименование расположения"
"People number:";"Количество людей:"
"Phone number:";"Номер телефона:"
"Please fill out the following fields: ";"Пожалуйста, заполните следующие поля:"
"Please fill out the following fields:<br />";"Пожалуйста, заполните следующие поля: <br />"
"Please, choose a store";"Пожалуйста, выберите магазин"
"Thank you for your request. We'll answer you as soon as possible.";"Спасибо за ваш запрос. Мы ответим вам как можно скорее."
"The booking information";"Информация о бронировании"
"The booking informations";"Информация по бронированию"
"The date and time of the booking";"Дата и время заказа"
"The number of people";"Количество людей"
"You have received a message for the booking of";"Вы получили сообщение для бронирования"
"Your phone number or email address";"Ваш номер телефона или адрес электронной почты"
"%s - All";"%s - Все"
"Add a category";"Добавить категорию"
"Add a format";"Добавить формат"
"All";"Все"
"An error occurred while loading your product.";"Произошла ошибка при загрузке вашего продукта."
"An error occurred while saving the category. Please try again later.";"Произошла ошибка при сохранении категории. Пожалуйста, повторите попытку позже."
"An error occurred while saving the product. Please try again later.";"Произошла ошибка при сохранении продукта. Пожалуйста, повторите попытку позже."
"An error occurred while saving the set meal. Please try again later.";"Произошла ошибка при сохранении набора продуктов. Пожалуйста, повторите попытку позже"
"An error occurred while saving. One of your categories could not be identified.";"Произошла ошибка при сохранении. Одна из ваших категорий не может быть идентифицирована."
"An error occurred while saving. One of your products could not be identified.";"Произошла ошибка при сохранении. Один из ваших продуктов, не может быть определен."
"Are you sure you want to delete this product?";"Вы уверены, что хотите удалить этот продукт?"
"Category";"Категория"
"Choose a category";"Выберите категорию"
"Choose a subcategory";"Выберите подкатегорию"
"Click on a category to display sub-categories";"Нажмите на категорию, чтобы отобразить подкатегории"
"Create a new product";"Создать новый продукт"
"Does this product have many formats?";"Этот продукт имеет много форматов?"
"Edit the";"Редактировать"
"Edit the product";"Изменить продукт"
"Format";"Формат"
"Picture";"Картина"
"Price";"Прайс"
"Product";"Продукт"
"Product formats";"Форматы продуктов"
"Product name";"Наименование продуктов"
"Rules";"Правила"
"Set meal successfully deleted.";"Набор продуктов успешно удалён"
"Set meal successfully saved.";"Набор продуктов успешно сохранён"
"Sub-category";"Подкатегория"
"st";"улица"
"sub-category";"подкатегория"
".mp4 or .3gp format";"mp4 или 3gp формат"
"Add ";"Добавить"
"Add sections:";"Добавить разделы:"
"Address:";"Адрес:"
"Alignment:";"Выравнивание:"
"An error occurred while saving your page.";"Произошла ошибка при сохранении вашей страницы."
"Are you sure you want to delete this page?";"Вы уверены, что хотите удалить эту страницу?"
"Display address";"Показать адрес"
"Display location button";"Показать кнопку расположения"
"Label";"Этикетка"
"Label:";"Этикетка:"
"Large";"Большой"
"Loading picture:";"Загрузка изображения:"
"Make a search or enter the Youtube Url:";"Сделайте поиск или введите ссылку на Youtube:"
"Medium";"Способ"
"My Youtube video:";"Моё Youtube видео:"
"My video";"Мое видео"
"No videos matching your selection";"Видео не соответствует выбору"
"Page successfully deleted";"Страница успешно удалена"
"Page successfully saved";"Страница успешно сохранена"
"Podcast URL:";"Ссылка на Подкаст:"
"Select a button type:";"Выберите тип кнопки:"
"Select a video type:";"Выберите тип видео:"
"Small";"Небольшой"
"Video URL:";"Ссылка на видео:"
"Your Podcast:";"Ваш Подкаст:"
"An error occurred while deleting this answer. Please try again later.";"Произошла ошибка во время удаления этого ответа. Пожалуйста, повторите попытку позже."
"Create a news:";"Создать новость"
"Hide this info";"Скрыть эту информацию"
"Information successfully deleted";"Информация успешно удалена"
"Information successfully hidden";"Информация успешно скрыта"
"Information successfully saved";"Информация успешно сохранена"
"Information successfully shown";"Информация успешно показана"
"Insert a";"Вставьте"
"It will be visible only after validation by our team.";"Это будет видно только после проверки нашей командой"
"My customers' comments";"Комментарии моих клиентов"
"My customers answers";"Мои ответы клиентам"
"Near me";"Рядом"
"'Near me' radius (in km):";"""Рядом со мной"" в  радиусе  (км):"
"Near me settings";"Настройки - Рядом со мной "
"Post";"Пост"
"Publishing date";"Дата публикации"
"Radius";"Радиус"
"Radius must be provided.";"Радиус должен быть обеспечен."
"Radius must be a valid numeric value.";"Радиус должен иметь допустимое числовое значение."
"Recent";"Новые"
"Show this info";"Показать эту информацию"
"There is no comment for this news";"Там нет комментариев к новости"
"You can't like more than once the same news";"Новость может нравиться не более одного раза"
"Your flag has successfully been notified";"Ваш флаг был успешно добавлен"
"You need to be connected to create a post";"Вы должны быть соединены, чтобы создать запись"
"Your like has been successfully added";"Ваш лайк был успешно добавлен"
"Your message has been successfully saved.";"Ваше сообщение было успешно сохранено"
"Your post was successfully added";"Ваше сообщение было успешно добавлено"
"Was flagged as inappropriate";"Был помечен как нарушение"
"An error occurred while saving your contact informations.";"Произошла ошибка при сохранении ваших данных."
"An error occurred while sending your request. Please try again later.";"Произошла ошибка при отправке вашего запроса. Пожалуйста, повторите попытку позже."
"And his phone number:";"И его номер телефона:"
"Are you sure you want to remove the picture?";"Вы уверены, что хотите удалить фотографию?"
"City";"Город"
"Contact information";"Контактная информация"
"Here is his email:";"Вот его адрес электронной почты:"
"Here is his message:";"Вот его сообщение:"
"Please enter properly the following fields: <br />";"Пожалуйста, введите правильно для настройки следующих полей: <br />"
"Twitter";"Twitter"
"Website";"Сайт"
"You have received a message from a contact:";"Вы получили сообщение от контакта:"
"Your email";"Ваш адрес электронной почты"
"Your message has been sent";"Ваше сообщение было отправлено"
"Your request";"Ваш запрос"
"Zip code";"Почтовый индекс"
"%s - Account creation";"%s - Создание учетной записи"
"%s - Your new password";"%s  - Твой новый пароль"
"A request to reset your password has been made.";"Запрос для сброса пароля был сделан."
"An error occurred while connecting to your Facebook account. Please try again later";"Произошла ошибка при подключении к вашей учетной записи Facebook. Пожалуйста, повторите попытку позже."
"Are you sure you want to remove this user?";"Вы уверены, что хотите удалить этого пользователя?"
"Change Password";"Изменить Пароль"
"Congratulations,";"Поздравляю,"
"Create";"Создать"
"Create a new user";"Создание нового пользователя"
"Create an account";"Создать аккаунт"
"Customer";"Клиент"
"Customers";"Клиенты"
"Disconnect";"Отключать"
"Edit the user %s";"Редактирование пользователя %s"
"First name";"Имя"
"Forgot your password?";"Забыли пароль?"
"Gender";"Пол"
"Here are your credentials:";"Вот ваши полномочия:"
"I accept the <u>privacy policy</u>";"Я принимаю <u> политику конфиденциальности </u>"
"If you encounter any problems, do not hesitate to contact us:";"Если у вас возникли проблемы, не стесняйтесь обращаться к нам:"
"Last name";"Фамилия"
"Login:";"Логин"
"Miss";"Мисс"
"Mr";"Мистер"
"Mrs";"Миссис"
"My Account";"Мой аккаунт"
"My application's users";"Пользователи моего приложения"
"Old Password";"Старый пароль"
"Or with your account";"Или с вашего счета"
"Please enter your email address. We'll send you your password right now.";"Пожалуйста, введите Ваш адрес электронной почты. Мы вышлем вам пароль сейчас."
"Please log in with your mobile phone";"Пожалуйста, войдите с помощью мобильного телефона"
"Privacy Policy";"Политика Конфиденциальности"
"See you soon,";"Увидимся,"
"Show me in ranking";"Покажите меня в рейтинге"
"The old email address does not match the entered email address.";"Старый адрес электронной почты, не соответствует введенный адрес электронной почты."
"This user can access the pages locked by the ""Locker"" feature";"Этот пользователь может получить доступ к страницам, заблокированных функцией ""блокировки"""
"This user is visible in ranking";"Пользователь виден в рейтинге"
"User";"Пользователь"
"Users";"Пользователи"
"User Information";"Информация о пользователе"
"We are sorry but the %s account is already linked to one of our customers";"Мы сожалеем, но счет %s уже связан с одним из наших клиентов"
"You have created your account. With this account, you will be able to enjoy great offers available in our application.";"Вы создали свой аккаунт. С этой учетной записью, вы сможете насладиться великолепными предложениеми о продаже в нашем приложении."
"Your account has been successfully saved";"Ваша учетная запись была успешно сохранена"
"%s ago";"%s назад"
"404, page not found";"404, страница не найдена"
"APIs";"APIs"
"Accounts";"Аккаунт"
"Actions";"Действие"
"Add";"Добавлять"
"Add a";"Добавить"
"Add image";"Добавить фото"
"Address";"Адрес"
"All items";"Все детали"
"An error occurred during process. Please try again later.";"Произошла ошибка во время процесса. Пожалуйста, повторите попытку позже."
"An error occurred during the process. Please try again later.";"Произошла ошибка во время процесса. Пожалуйста, повторите попытку позже."
"An error occurred while loading places.";"Произошла ошибка при загрузке места."
"An error occurred while loading. Please try again later.";"Произошла ошибка при загрузке. Пожалуйста, повторите попытку позже."
"An error occurred while loading. Please, try again later.";"Произошла ошибка при загрузке. Пожалуйста, повторите попытку позже."
"An error occurred while saving";"Произошла ошибка при сохранении"
"An error occurred while saving your account. Please try again later.";"Произошла ошибка при сохранении вашего аккаунта. Пожалуйста, повторите попытку позже."
"An error occurred while saving your picture. Please try againg later.";"Произошла ошибка при сохранении вашего аккаунта. Пожалуйста, повторите попытку позже."
"An error occurred while saving. Please try again later.";"Произошла ошибка при сохранении. Пожалуйста, повторите попытку позже."
"An error occurred while saving. Please, try again later.";"Произошла ошибка при сохранении. Пожалуйста, повторите попытку позже."
"An error occurred while uploading your file. Please, try again later.";"Произошла ошибка при загрузке файла. Пожалуйста, повторите попытку позже."
"An unexpected error occurred while calculating the route.";"Произошла непредвиденная ошибка при расчете маршрута."
"Appearance";"Логотип"
"Application";"Приложение"
"Application Name";"Имя приложения"
"Applications";"Приложения"
"Are you sure you want to delete this element?";"Вы уверены, что хотите удалить этот элемент?"
"Are you sure you want to remove this account?";"Вы уверены, что хотите удалить этот аккаунт?"
"Authentication failed. Please check your email and/or your password";"Ошибка аутентификации. Пожалуйста, проверьте свою электронную почту или пароль"
"Back";"Назад"
"Background";"Фон"
"Browse";"Смотреть"
"Can only be used once";"Это предложение может быть использовано только один раз."
"Cancel";"Отменить"
"Cart";"Корзина"
"Change password";"Сменить пароль"
"City";"Город"
"City:";"Город:"
"Close";"Закрыть"
"Comment";"Комментарий"
"Comments";"Комментарии"
"Communication";"Связи"
"Company";"Компания"
"Coms";"Coms"
"Conditions";"Условия"
"Confirm Password";"Подтвердите пароль"
"Confirm new password";"Подтвердите новый пароль"
"Contact successfully added to your address book";"Обратный адрес успешно добавлен в вашу адресную книгу"
"Country";"Страна"
"Create";"Создать"
"Create a new account";"Создать новую учетную запись"
"Created at";"Создано "
"Currency";"Валюта"
"Current password";"Текущий пароль"
"Dashboard";"Панель упр."
"Date of birth";"Дата рождения"
"Date of birth:";"Дата рождения:"
"Default Languages";"Язык по умолчанию"
"Delete";"Удалить"
"Description";"Описание"
"Description:";"Описание:"
"Details";"Подробности"
"Edit";"Редактировать"
"Editing";"Редактирование"
"Email";"Email"
"Email address";"Адрес электронной почты"
"Email:";"Email:"
"End at";"Окончание действия"
"Error : <br/>";"Ошибка: <br/>"
"Errors : <br/>";"Ошибки: <br/>"
"Export your customers";"Экспорт клиентов"
"Extension not allowed, '%s' only";"Расширение не допускается, '%s' только"
"Facebook";"Facebook"
"Firstname";"Имя"
"Firstname:";"Имя:"
"Forgot your password ?";"Забыли пароль?"
"Forgot your password? Don't worry! Simply enter your email address and we'll send you a new one right now.";"Забыли пароль? Не волнуйтесь! Просто введите свой адрес электронной почты, и мы вышлем вам новый прямо сейчас."
"General";"Главная"
"Hello,";"Привет,"
"Here is your new password:";"Вот ваш новый пароль:"
"How do you want to access the backoffice if you remove the only user remaining?";"Как вы хотите получить доступ к бэк-офис, нужно чтобы остался хотя бы один пользователь?"
"ID";"ID"
"Image not high enough, %spx minimum allowed.";"Изображение не достаточно высокое, %spx минимально допустимое."
"Image not large enough, %spx minimum allowed.";"Изображение не достаточно большое %spx минимально допустимое."
"Image not large enough, '%s' allowed.";"Изображение не достаточно большое, '%s' допускается."
"Image too high, %spx maximum allowed.";"Изображение слишком высокое, %spx максимально допустимое."
"Image too large, %spx maximum allowed.";"Снимок слишком большой, %spx  максимально допустимое значение."
"Image too large, '%s' allowed.";"Снимок слишком большой, '%s' допускается."
"In order to fully enjoy our features, we encourage you to use at least:.<br />";"Для того, чтобы в полной мере насладиться нашими возможностями, мы рекомендуем вам использовать по крайней мере :. <br />"
"In order to publish your application, we need:<br />- ";"Для того, чтобы опубликовать свое приложение, нам понадобится: <br /> -"
"Incorrect filetype.";"Неправильный тип файла."
"Info successfully saved";"Информация успешно сохранена"
"Information";"Информация"
"Infos successfully saved";"Информация успешно сохранена"
"Insert a <br /><span class=""bold"">cover image</span>";"Вставьте <br /><span class=""bold"">баннер обложки</span>"
"Invalid place";"Неверное место"
"Invoices";"Счета"
"Last Name";"Фамилия"
"Lastname";"Фамилия"
"Lastname:";"Фамилия:"
"Like";"Нравится"
"Likes";"Нравятся"
"Link";"Ссылка"
"Load More";"Загрузить еще"
"Locate";"Навигация по карте"
"Location:";"Места"
"Log in";"Войти"
"Log-in";"Авторизоваться"
"Log-out";"Выход"
"Logged in as";"Вы вошли как"
"MM,d yy";"MM,d yy"
"MM/dd/y";"MM/dd/y"
"MM/dd/y 'at' hh:mm a";"MM/dd/y 'at' hh:mm a"
