"%s ago";"%s назад"
"Use this coupon";"Используйте этот купон"
"User";"Пользователь"
"User successfully saved";"Пользователь успешно сохранен"
"Username";"Имя пользователя"
"Users";"Пользователи"
"VAT Number";"ИНН"
"Validate";"Утвердить"
"Version %s";"Версия %s"
"View";"Вид"
"We are sorry but this address is already used.";"Мы сожалеем, но этот адрес уже используется."
"We are sorry but this email address already exists.";"Мы сожалеем, но этот адрес уже существует."
"We are sorry but this feature is not available yet";"Мы сожалеем, но эта функция пока не доступна"
"Website";"Сайт"
"Yes";"ДА"
"You already have this user in your contact";"У вас уже есть этот пользователь с таким контактом"
"You are gone offline";"Вы вышли из интернета"
"You can upload a pem certificate only.";"Вы можете загрузить только сертификат pem"
"You can upload a zip archive only.";"Вы можете загрузить только ZIP архив."
"You can upload an icon only (.ico and .png).";"Вы можете загрузить иконку только в формате (.ico и .png)."
"You can upload an image only (.jpg, .jpeg, .gif and .png).";"Вы можете загрузить изображение только в формате (.jpg, .jpeg, .gif и .png)."
"You can't upload more than one file at a time.";"Вы не можете загрузить более одного файла одновременно."
"You must be logged in to post a comment";"Вы должны быть зарегистрированы, чтобы оставить комментарий."
"You must give the permission to the app to add a contact to your address book";"Вы должны дать разрешение приложению, чтобы добавить контакт в адресную книгу"
"You must share your location to access this page.";"Вы должны сообщить свое местоположение для доступа к этой странице."
"Your browser is too old to view the content of our website.<br />";"Ваш браузер слишком стар, чтобы просмотреть содержимое нашего сайта. <br />"
"Your comment";"Ваш комментарий"
"Your email address";"Ваш адрес электронной почты "
"Your email address does not exist";"Ваш адрес электронной почты не существует"
"Your name";"Ваше имя"
"Your new password has been sent to the entered email address";"Ваш новый пароль был отправлен к введенному адресу электронной почты"
"Your password does not match the entered password.";"Ваш пароль не соответствует введенному паролю."
"Youtube";"Youtube"
"close";"закрытие"
"day";"день"
"days";"дней"
"en";"en"
"hour";"час"
"hours";"часов"
"loading";"Загрузка"
"minute";"минут"
"minutes";"минут"
"picture";"картинку"
"second";"секунда"
"seconds";"секунд"
"title";"название"
"titles";"названия"
"to add a subfolder.";"добавить во вложенную папку."
