"%s ago";"fa %s"
"Please enter a valid number.";"Posa un nombre vàlid."
"Please enter a valid url";"Introduïu un URL vàlid"
"Please enter a value between {0} and {1} characters long.";"Si us plau, introduïu un valor entre {0} i {1} caràcters."
"Please enter a value between {0} and {1}.";"Si us plau, introduïu un valor entre {0} i {1}."
"Please enter a value greater than or equal to {0}.";"introduïu un valor major o igual a {0}."
"Please enter a value less than or equal to {0}.";"Escribe texto o la dirección de un sitio web, o bien, traduce un documento. Pot carregar una icona únic (.ico i .png). Introduïu la vostra adreça de correu electrònic Aquesta secció està desbloquejat per a usuaris mòbils només Contrasenya La mida de la imatge '% s' no podia ser detectat. títols Oregon Següent Utilitzeu aquest cupó Text Impost No s'ha pogut calcular la ruta. Aquest administrador no existeix Si us plau, ompli els següents camps: Validar Vostè ha de compartir la seva ubicació per accedir a aquesta pàgina. Introduïu una contrasenya. Si us plau, introduïu un valor menor o igual a {0}."
"Please enter at least {0} characters.";"Introduïu almenys {0} caràcters."
"Please enter no more than {0} characters.";"Si us plau ingressi no més de {0} caràcters."
"Please enter only digits.";"Introduïu només dígits."
"Please enter the same value again.";"Si us plau, introduïu el mateix valor de nou."
"Please enter your email address";"Introduïu la vostra adreça de correu electrònic"
"Please fill in the following fields:";"Si us plau, ompli els següents camps:"
"Please fix this field.";"Si us plau, corregeixi aquest camp."
"Please log in.";"Si us plau connecti."
"Please, enter a correct email address.";"Si us plau, introdueixi una adreça de correu electrònic correcta."
"Please, enter a password.";"Introduïu una contrasenya."
"Please, enter a valid date";"defecte Idiomes"
"Podcast";"podcast"
"Podcast URL (iTunes format)";"Podcast URL (format de iTunes) imatge"
"Podcast type is invalid or can't be found";"Tipus d'Podcast és vàlid o no es pot trobar"
"Postcode";"codi postal"
"Postcode:";"Codi postal:"
"Push";"Empènyer"
"Required fields";"Camps obligatoris"
"Resize your picture";"Canviar la mida de la imatge"
"Resize your picture:";"Redimensionar la seva fotografia:"
"SEND";"ENVIAR"
"Save";"Guardar"
"Search";"Cerca"
"Select a country";"Seleccioneu un país"
"Select all";"Selecciona-ho tot"
"Send";"Enviar"
"Send your pictures";"Envia les teves imatges"
"Settings";"Configuració"
"Size:";"Mida:"
"Street";"Carrer"
"Street:";"Carrer:"
"Subscriptions";"Subscripcions"
"Support";"Suport"
"Support Link";"Enllaç d'assistència"
"Tax";"Impost"
"Taxes";"Impostos"
"Text";"Text"
"The account has been successfully saved";"El compte s'ha desat correctament"
"The address you're looking for does not exists.";"L'adreça que busques fa no existeix."
"The email is required";"L'e-mail s'exigeix"
"The file '%s' does not exist";"El fitxer ""%s"" no existeix"
"The image '%s' does not exist";"La imatge de '% s' no existeix"
"The image size '%s' could not be detected.";"La mida de la imatge '% s' no podia ser detectat."
"The old password does not match the entered password.";"La contrasenya vella no coincideix amb la contrasenya introduïda."
"The password is required";"La contrasenya és necessària"
"The password must be at least 6 characters";"La contrasenya ha de tenir com a mínim 6 caràcters"
"The payment has been cancelled, something wrong happened? Feel free to contact us.";"El pagament ha estat cancel·lada, va passar una cosa malament? No dubti en contactar amb nosaltres."
"This administrator does not exist";"Aquest administrador no existeix"
"This email address is already used";"Aquesta adreça de correu electrònic ja està en ús"
"This field is required";"Aquest camp és obligatori"
"This field is required.";"Aquest camp es obligatori."
"This section is unlocked for mobile users only";"Aquesta secció està desbloquejat per a usuaris mòbils només"
"Timezone";"Zona horària"
"Title";"Títol"
"Title:";"Títol:"
"Total";"Total"
"Translations";"Traduccions"
"Unable to add the contact to your address book";"Incapaç d'afegir el contacte a la llibreta d'adreces"
"Unable to calculate the route.";"No s'ha pogut calcular la ruta."
"Unable to save image";"Incapaç de salvar imatge"
"Unrecognized image format";"Format d'imatge no reconegut"
"Updated at";"imatge actualitzat a"
"Use this coupon";"Utilitzeu aquest cupó"
"User";"usuari"
"User successfully saved";"Usuari salvat correctament"
"Username";"Nom d'usuari"
"Users";"Usuaris"
"VAT Number";"Número d'IVA"
"Validate";"Validar"
"Version %s";"Versió %s"
"View";"Veure"
"We are sorry but this address is already used.";"Ho sentim però ja s'utilitza aquesta adreça."
"We are sorry but this email address already exists.";"Ho sentim però aquesta adreça electrònica ja existeix."
"We are sorry but this feature is not available yet";"Ho sentim, però aquesta característica no està disponible encara"
"Website";"Lloc web"
"Yes";"Sí"
"You already have this user in your contact";"Ja teniu aquest usuari en el seu contacte"
"You are gone offline";"Vostè s'ha anat fora de línia"
"You can upload a pem certificate only.";"Pot carregar un certificat pem només."
"You can upload a zip archive only.";"Només pot carregar un fitxer zip."
"You can upload an icon only (.ico and .png).";"Pot carregar una icona únic (.ico i .png)."
"You can upload an image only (.jpg, .jpeg, .gif and .png).";"Pots pujar una imatge única (.jpg, .jpeg, .gif i .png)."
"You can't upload more than one file at a time.";"No pot carregar més d'un arxiu alhora."
"You must be logged in to post a comment";"Has d'iniciar sessió per escriure un comentari"
"You must give the permission to the app to add a contact to your address book";"Vostè ha de donar el permís a l'app per afegir un contacte a la llibreta d'adreces"
"You must share your location to access this page.";"Vostè ha de compartir la seva ubicació per accedir a aquesta pàgina."
"Your browser is too old to view the content of our website.<br />";"El vostre navegador és massa vell per veure el contingut del nostre lloc web. < br / >"
"Your comment";"El teu comentari"
"Your email address";"L'adreça electrònica"
"Your email address does not exist";"No existeix l'adreça electrònica"
"Your name";"El seu nom"
"Your new password has been sent to the entered email address";"La seva nova contrasenya ha estat enviada a l'adreça de correu electrònic"
"Your password does not match the entered password.";"La contrasenya no coincideix amb la contrasenya introduïda."
"Youtube";"YouTube"
"close";"Prop"
"day";"dia"
"days";"dia"
"en";"en"
"hour";"hora"
"hours";"hores"
"loading";"loading"
"minute";"minut"
"minutes";"minutes"
"picture";"imatge"
"second";"segon"
"seconds";"segons"
"title";"títol"
"titles";"títols"
"to add a subfolder.";"per afegir una subcarpeta."
