"My informations";"Mis informaciones"
"Buy one, get one!";"¡Compre uno, adquiera uno!"
"More infos";"Más información"
"Discount zone description. Here your clients will be able to see the details of each discount";"Descripción de la zona de descuento. Aquí los clientes podrán ver los detalles de cada descuento."
"Fred W.";"Pablo R."
"Here is our latest creation. What do you think?";"Aquí nuestras últimas creaciones. ¿Qué opina usted ?"
Comment;Comentario
"Marc A.";"Marc A."
"Love it <3";"Me encanta, <3"
"Please log in.";"Por favor, inicie sesión."
"One free coffee";"Un café gratis"
"An error occurred while saving your colors.";"Se ha producido un error al guardar sus colores ."
"An error occurred while changing your layout.";"Se ha producido un error al cambiar su diseño."
"An error occurred while adding the option";"Se ha producido un error al añadir la opción"
"An error occurred while deleting the option";"Se ha producido un error al eliminar la opción"
"An error occurred while saving. The selected icon is not valid.";"Se ha producido un error al guardar. El icono seleccionado no es válido."
"An error occurred while sorting your pages. Please try again later.";"Se ha producido un error al ordenar sus páginas . Por favor inténtelo de nuevo más tarde."
"An error occurred while saving your page name.";"Se ha producido un error al guardar el nombre de la página ."
"An error occurred while deleting your picture";"Se produjo un error al intentar eliminar su imagen"
"Please enter a valid mobile website address.";"Por favor, ingrese una dirección de sitio web móvil válida."
"Your mobile address should not contain special characters";"Su dirección móvil no debe contener caracteres especiales"
"The entered bundle id is incorrect, it should be like: com.siberiancms.app";"El ID del paquete introducido es incorrecto, debe ser de la forma: com.siberiancms.app"
"Please enter a subdomain.";"Por favor ingrese un subdominio."
"An error occurred during the generation of your QRCode. Please try again later.";"Se ha producido un error durante la generación de su Código QR. Por favor inténtelo de nuevo más tarde ."
"Please enter a valid address";"Por favor ingrese una dirección válida."
"At least, 4 pages in your application";"Por lo menos, su aplicación debe contener 4 páginas"
"The  homepage image";"Imagen de la página principal"
"The startup image";"Imagen de inicio"
"The desktop icon";Icono
"The application name";"Nombre de la aplicación"
"Promote your app!";"¡Promocione su app!"
"Your application in few numbers";"Su aplicación en cifras"
"Additional options";"Opciones adicionales"
"Customize your app's style";"Personalice el estilo de su app"
"Customize your app's colors";"Personalice los colores de su app"
"Manage your app's features";"Administre las funciones de su app"
"Publish your app";"Publicar su app""Location:";"Ubicación:"
"Enter the location name and contact email:";"Introduzca la ubicación y correo electrónico:"
"First name / Last name";"Nombre / Apellidos:"
"People number:";"Número de personas:"
"Date and time";"Fecha y hora:"
"Booking details";"Detalles de la reserva:"
"Your name";"Su nombre"
"Your chosen location";"Elija su ubicación"
"Your phone number or email address";"Su número de teléfono o dirección de correo electrónico"
"The number of people";"El número de personas"
"The date and time of the booking";"La fecha y la hora de la reserva"
"The booking informations";"Información sobre la reserva"
"Thank you for your request. We'll answer you as soon as possible.";"Gracias por su mensaje. Contestaremos lo antes posible."
"An error occurred while sending your message. We apologize and ask you to try later.";"Ha ocurrido un error enviando su mensaje. Discúlpenos y por favor inténtelo más tarde."
"SEND";"ENVIAR"
"MM dd yy";"dd MM yy"
"Mddyy";"ddMyy"
"hh:ii A";"HH:ii"
"hhiiA";"HHii"
"Please, choose a store";"Por favor, elija una tienda"
"Message from your app %s";"Mensaje desde su App %s"
"Please fill out the following fields:<br />";"Por favor, rellene los siguientes campos: <br/>"
;
"You have received a message for the booking of";"Usted recibió un mensaje relativo a la reserva de "
"Here are his personal information:";"Esto es sus señas:"
"Name:";"Apellido:"
"Phone number:";"Teléfono:"
"Email address:";"Correo electrónico:"
"Booking details:";"Detalles de la reserva:"
"Date and time:";"Horario: "
"People number:";"Nùmero de personas:"
"Booking subject:";"Objeto:"
"Comment:";"Comentario:"
"Edit the product";"Editar producto"
Category;Categoría
Picture;imagen
"Product formats";"Formato del producto"
Format;Formato
"Add a format";"Añadir un formato"
"Edit the";"Edite el"
"Add a";"Añadir una"
st;ero
nd;ndo
All;Todas
"Create a new product";"Crear un nuevo producto"
"Product name";"Nombre del producto"
Price;Precio
sub-category;Subcategoría
"Click on a category to display sub-categories";"Haga clic en una categoría para ver las subcategorías"
"Add a category";"Agregar una categoría"
Product;Producto
Sub-category;Subcategoría
Rules;Reglas
en;es
"Does this product have many formats?";"¿Este producto tiene varios formatos?"
"Choose a category";"Elija una categoría"
"Choose a subcategory";"Seleccione una subcategoría"
"Main category";"Categoría principal"
More;"Más información"
Qty;Cantidad
"Add to cart";"Añadir al carrito"
"<span id=""price_from_%s"">From:<br /></span><span id=""current_price_%s"">%s</span>";"<span id=""price_from_%s""> Desde: <br /></span><span id=""current_price_%s"">%s</span>"
"An error occurred while saving the category. Please try again later.";"Se ha producido un error al guardar la categoría. Por favor inténtelo de nuevo más tarde."
"An error occurred while saving. One of your categories could not be identified.";"Se ha producido un error al guardar. Una de sus categorías no pudo ser identificada."
"Set meal successfully saved.";"Menú guardado correctamente."
"Set meal successfully deleted.";"Menú eliminado correctamente."
"An error occurred while saving the set meal. Please try again later.";"Se ha producido un error al guardar el menú. Por favor inténtelo de nuevo más tarde."
"An error occurred while loading your product.";"Se ha producido un error al cargar el producto."
"An error occurred while saving the product. Please try again later.";"Se ha producido un error al guardar el producto. Por favor inténtelo de nuevo más tarde."
"An error occurred while saving. One of your products could not be identified.";"Se ha producido un error al guardar. Uno de sus productos no pudo ser identificado."
Label:;Etiqueta:
Label;Etiqueta
Address:;Dirección:
"Display address";"Mostrar dirección"
"Display location button";"Mostrar botón de ubicación"
Pictures;Imágenes
"Add ";Agregar
Description:;Descripción:
Alignment:;Alineación:
Size:;Tamaño:
Small;Pequeño
Medium;Mediano
Large;Grande
"Add a";"Agregar a"
Picture;Imagen
"Loading picture:";"Cargando imagen"
".mp4 or .3gp format";"Formato .mp4 ó .3gp"
"Video URL:";"URL Video:"
"Select a video type:";"Seleccione un tipo de vídeo:"
"My video";"Mi vídeo"
"My Youtube video:";"Mi vídeo de Youtube:"
"Make a search or enter the Youtube Url:";"Buscar o ingresar URL de Youtube:"
"Podcast URL:";"URL de Podcast:"
"Your Podcast:";"Su Podcast:"
"Add sections:";"Agregar secciones:"
"An error occurred while saving your page.";"Se ha producido un error al guardar su página"
"Page successfully saved";"Página guardada correctamente"
"My customers answers";"Respuestas de mis clientes"
"There is no comment for this news";"No hay comentarios para ésta noticia"
"Publishing date";"Fecha de publicación"
"Insert a";"Insertar un"
"Create a news:";"Crear una información : "
"Show this info";"Mostrar esta información"
"Hide this info";"Ocultar esta información"
"Your comment";"Su comentario"
Like;Like
"Pull up to display more";"Tire hacia arriba para mostrar más."
"Release to refresh...";"Soltar para actualizar …"
Loading...;"Cargando …"
"Nothing more to display";"No hay más que mostrar"
"Please, enter a comment";"Por favor, introduzca un comentario"
"An error occurred while deleting this answer. Please try again later.";"Se ha producido un error al eliminar la respuesta. Por favor inténtelo de nuevo más tarde."
"Information successfully saved";"Información guardada correctamente"
"Information successfully deleted";"Información eliminada correctamente"
"Information successfully showed";"Información mostrada correctamente"
"Information successfully hidden";"Información ocultada correctamente"
"Your message has been successfully saved.";"Su mensaje ha sido guardado correctamente."
"It will be visible only after validation by our team.";"Será visible después de ser validado por nuestro equipo."
"Your like has been successfully added";"Su Like se ha agregado con éxito"
"You can't like more than once the same news";"No puede enviar más de un like en la misma noticia."
"Contact informations";"Información de contacto"
"Website";"Página Web"
"Insert a <br /><span class=""bold"">cover image</span>";"insertar una <br /><span class=""bold"">imagen de la portada</span>"
"Are you sure you want to remove the picture?";"¿Está seguro de eliminar la imagen?"
"SEND";"ENVIAR"
"Your name";"Su Nombre"
"Your email";"Su e-mail"
"Your request";"Su pedido"
"Your request:";"Su pedido :"
"Thank you for your request. We'll answer you as soon as possible.";"Muchas gracias por su mensaje, le responderemos lo más pronto posible."
"An error occurred while sending your message. We apologize and ask you to try later.";"Se produjo un error al enviar su mensaje. Por favor inténtelo de nuevo más tarde."
"An error occurred while saving your contact informations.";"Un error ha surgido al guardar sus datos de contacto."
"An error occurred while sending your request. Please try again later.";"Un error ha surgido durante el envío de su pregunta Por favor inténtelo de nuevo más tarde."
"Please enter properly the following fields: <br />";"Por favor introduzca correctamente estos campos : <br />"
"Message from your app %s";"Mensaje desde su app %s"
"You have received a message from a contact:";"Usted recibió un mensaje de"
"Here is his message:";"Esto es su mensaje:"
"Here is his email:";"Usted puede responderle a la dirección siguiente"
"And his phone number:";"O por teléfono a"
"Show me in ranking";"Aparecer en el ranking"
"Old";"Antiguo"
"Current password";"Contraseña actual"
"New password";"Contraseña nueva"
"Please log in with your mobile phone";"Por favor acceda con su teléfono móvil"
"Please enter your email address. We'll send you your password right now.";"Ingrese su dirección de correo electrónico, donde recibirá su contraseña."
"Or with your account";"O con su cuenta"
"Create an account";"Crear una cuenta"
"Forgot your password?";"¿Olvidó su Contraseña?"
"Log-in";"Conectarse"
"My Account";"Mi Cuenta"
"An error occurred while connecting to your Facebook account. Please try again later";"Se ha producido un error al conectar con su cuenta de Facebook. Por favor inténtelo de nuevo más tarde."
"%s – Account creation";"%s – Creación de cuentas"
"We are sorry but the %s account is already linked to one of our customers";"Lo sentimos pero la cuenta %s ya está siendo usada por uno de nuestros clientes."
"Your account has been successfully saved";"Su cuenta ha sido guardada correctamente"
;
"Congratulations,";"Felicidades,"
"You have created your account. With this account, you will be able to enjoy great offers available in our application.";"Usted acaba de crear su cuenta. Con esta cuenta, usted podrá aprovechar de ofertas ventajosas disponibles en nuestra aplicación."
"Here are your credentials:";"Esto es sus identificadores :"
"Login:";"Correro electrónico :"
"Password:";"Contraseña :"
"If you encounter any problems, do not hesitate to contact us:";"Si usted encuentra problemas, no dude en ponerse en contacto con nosotros : "
"See you soon,";"Hasta pronto"
"A request to reset your password has been made.";"Una demanda de reinicialización de su contraseña ha sido hecha para conectarse a nuestra aplicación."
"Here is your new password:";"Esto es su nuevo contraseña :"
"Address";"Dirección:"
"Text";"Texto"
"Discount";"Descuento"
"Newswall";"Muro de Noticias"
"Discount";"Descuento"
"Loyalty Card";"Tarjeta de fidelidad"
"Catalog";"catálogo"
"Catalog";"catálogo"
"Set Meal";"Menú de comidas"
"Custom Page";"Página personalizada"
"Custom Page";"Página personalizada"
"RSS Feed";"RSS Feed"
"Images";"Imágenes"
"Video";"Vídeo"
"Videos";"Vídeos"
"Contact";"Contacto"
"Contest";"Concurso"
"Booking";"Reservas"
"Calendar";"Calendario"
"Push Notifications";"Notificaciones Push"
"Link";"Link"
"Links";"Links"
"Form";"Formulario"
"Loyalty Card";"Tarjeta de fidelidad"
"Push Notifications";"Notificaciones Push"
"Push Notifications";"Notificaciones Push"
"Email";"Email"
"password";"contraseña"
"New";"Nuevo"
"Save";"Guardar"
"Email:";"Email:"
"Password:";"Contraseña:"
"Send";"Enviar"
"Your email address";"Su dirección de correo electrónico"
"Title";"Título"
"Description";"Descripción"
"Icons";"Iconos"
"picture";"imagen"
"Recommanded size:";"Tamaño recomendado:"
"Loading";"Cargando"
"<span>Click on</span><button class=""add"" type=""button""><i class=""icon-plus""></i></button> <span>to add an item.</span>";"<span>Haga clic en</span><button class=""add"" type=""button""><i class=""icon-plus""></i></button> <span>para agregar un elemento .</span>"
"logo";"logo"
"Edit my";"Cambiar mi"
"Choose a";"Elegir un"
"Page name:";"Nombre de la página :"
"Manage icons";"Gestionar iconos"
"Library icons";"Iconos de la biblioteca"
"Add a new icon";"Añadir un nuevo icono"
"Activated";"Activado"
"Deactivated";"Desactivado"
"Main";"Principal"
"Last name:";"Segundo apellido:"
"Push";"Push"
"Settings";"Configuración"
"Domain";"Dominio"
"Api Keys";"Claves Api"
"Module";"Módulo"
"Application";"Aplicación"
"Features";"Funciones"
"icon";"icono"
"Application name";"Nombre de la aplicación"
"Your CNAME is properly set";"Su CNAME está configurado correctamente"
"Checking CNAME configuration:";"Comprobación de la configuración del CNAME :"
"Manage";"Creado ya"
"Add";"Añadir"
"All";"Todo"
"Editing";"Editar"
"en";"es"
"Delete";"Eliminar"
"Cancel";"Cancelar"
"Address:";"Dirección:"
"Resize your picture:";"Cambiar el tamaño de la imagen :"
"Last Name";"Primer apellido:"
"Phone";"Teléfono:"
"Zip code";"Código Postal:"
"City";"Ciudad:"
"Country";"País:"
"Insert a <br /><span class=""bold"">cover image</span>";"Insertar una <br /><span class=""bold"">imagen de fondo</span>"
"MM/dd/y 'at' hh:mm a";"dd/MM/y a hh'h'mm"
"Browse";"Explorar"
"Folders";"Carpetas"
"Subtitle";"Subtítulo"
"Unknown error";"Error desconocido"
"Password";"contraseña"
"Conditions";"Condiciones"
"Picture%s";"Imagen %s"
"Username";"Nombre de usuario"
"Search";"Buscar"
"My pictures";"Mis imágenes"
"Type";"Tipo"
"Never";"Nunca"
"MM,d yy";"d MM yy"
"Creation date";"Fecha de creación"
"Locate";"Localizar"
"Are you sure you want to delete this picture?";"¿Está seguro que desea eliminar esta imagen?"
"Use this discount";"Utilizar este cupón de descuento"
"MM/dd/y";"dd/MM/y"
"Comment";"Comentar"
"Please fill in the following fields:";"Por favor rellene los siguientes campos :"
"More";"Más información"
"Show...";"Mostrar…"
"Hide...";"Ocultar…"
"Validate";"Validar"
"This section is unlocked for mobile users only";"Esta sección solo está disponible para usuarios móviles."
"Gender";"Género"
"Miss";"Señorita"
"Mrs";"Sra."
"Mr";"Sr."
"First name";"Nombre:"
"MM/dd/y hh:mm a";"dd/MM/y hh:mm"
"Please enter the password";"Por favor Ingrese la contraseña."
"Please show your phone to the store person so that he enters his password";"Por favor muestre su teléfono al vendedor para que ingrese su contraseña"
"MMMM dd y";"dd MMMM y"
"MMMM dd y 'at' hh:mm";"d MMMM yyyy à HH'h'mm"
"An error occurred the during process. Please try again later.";"Se ha producido un error durante el proceso . Por favor inténtelo de nuevo más tarde ."
"Please enter your email address";"Ingrese su dirección de correo electrónico"
"Your email address does not exist";"Su dirección de correo electrónico no existe"
"Your password does not match the entered password.";"Su contraseña no coincide."
"The old password does not match the entered password.";"No coincide con la anterior contraseña."
"Authentication failed. Please check your email and/or your password";"Error de identificación . Por favor compruebe su correo electrónico y/o contraseña"
"%s – Your new password";"%s - Su nueva contraseña"
"Your new password has been sent to the entered email address";"Su nueva contraseña ha sido enviada a la dirección de correo electrónico que usted proporcionó."
"An error occurred while saving. Please try again later.";"Se ha producido un error al guardar . Por favor inténtelo de nuevo más tarde ."
"The password must be at least 6 characters";"La contraseña debe tener como mínimo 6 caracteres"
"Infos successfully saved";"Información guardada correctamente"
"An error occurred while saving";"Se ha producido un error al guardar"
"An error occurred while saving your picture. Please try againg later.";"Se ha producido un error al guardar la imagen. Por favor inténtelo de nuevo más tarde ."
"You may not delete a library icon";"Usted no puede eliminar un icono de la biblioteca"
"We are sorry but this address is already used.";"Lo sentimos pero esta dirección ya está en uso ."
"My account";"Mi cuenta"
"An error occurred during process. Please try again later.";"Se ha producido un error durante el proceso . Por favor inténtelo de nuevo más tarde ."
"Please enter a valid email address";"Ingrese una dirección de email válida"
"Cart";"Carrito"
"Create";"Crear"
"Please enter a password";"Introduzca una contraseña"
"The old email address does not match the entered email address.";"La dirección de correo electrónico anterior no coincide con la dirección de correo electrónico ingresada."
"Please enter a valid url";"Por favor ingrese una URL válida"
"An error occurred while loading. Please try again later.";"Se ha producido un error al cargar . Por favor inténtelo de nuevo más tarde ."
"Player";"Lector"
"Please, fill out all fields";"Por favor, rellene todos los campos"
"The entered password confirmation does not match the entered password.";"La confirmación de la contraseña introducida, no coincide con la que usted introdujo."
"Please, enter a valid date";"Por favor, introduzca una fecha valida"
"Extension not allowed, '%s' only";"Extensión no permitida, '% s' sólo"
"Error : <br/>";"Error: <br/>"
"Errors : <br/>";"Errores : <br/>"
"day";"día"
"hour";"hora"
"minute";"minuto"
"An error occurred while loading the videos. Please try again later.";"Se ha producido un error al cargar los vídeos. Por favor, inténtelo de nuevo más tarde."
"An error occurred while saving your picto. Please try againg later.";"Se ha producido un error al guardar la imagen. Por favor inténtelo de nuevo más tarde."
"The image has been successfully saved";"La imagen se ha guardado correctamente"
"The image has been successfully deleted";"La imagen se ha eliminado correctamente"
"Back";
"Close";
"An error occurred while loading the page";
"If you use this discount now, you'll be no longer able to use it later";
"An error occurred while using your discount";
"Siberian, build a mobile app easier";"Con Siberian, construya su aplicación móvil fácilmente"
"404, Page not found";"404, Página no encontrada"
"Hello,";"Hola,"
"month";"mes"
"year";"año"
"day";"día"
"hour";"hora"
"hours";"horas"
"minute";"minuto"
"minutes";"minutos"
"second";"segundo"
"seconds";"segundos"
"Hit the background image to close the preview";""
Description:;Descripción:
"Modify the event";"Modificar evento"
"Create a new event";"Crear un nuevo evento"
"Event title:";"Título del evento:"
"Beginning date:";"Fecha de inicio:"
"Ending date:";"Fecha de fin:"
Location:;Ubicación:
"Change picture";"Cambiar imagen"
"Add a picture";"Añadir una foto"
"RSVP URL:";"URL RSVP:"
Title:;Título:
"Enter your calendar's title";"Escriba el título de su calendario"
"Calendar's title";"El título del calendario"
"Your calendar is empty";"Su calendario está vacío"
Event;"Evento "
"Delete this event?";"¿Desea eliminar este evento?"
"Your Facebook page ID <span class=""required-entry"">*</span> :";"ID de su página Facebook <span class=""required-entry"">*</span> :"
"Your Facebook page ID";"ID de su página de Facebook:"
"Calendar's URL";"URL del Calendario"
"Send your pictures";"Envíe sus imágenes"
"Delete this calendar?";"¿Desea eliminar este calendario?"
"More events";"Más eventos"
"Event successfully saved";"Evento guardado correctamente"
"An error occurred while loading this event";"Se ha producido un error al cargar este evento"
"Event successfully deleted";"Evento eliminado correctamente"
"An error occurred while deleting the event";"Se ha producido un error al eliminar el evento"
"Calendar successfully deleted";"Calendario eliminado correctamente"
Folders;Carpetas
"Add a page";"Agregar una página"
"Click on a page to add it to the folder <span id=""folder_name"" class=""folder_name"">""%s""</span>";"Haga clic en una página para agregarla a la carpeta <span id=""folder_name"" class=""folder_name"">""%s""</span>"
"Click on";"Clic en"
"to add a folder.";"para agregar una carpeta."
"to add a subfolder.";"añadir una subcarpeta."
"New folder";"Nueva carpeta"
"Delete this folder and all its subfolders?";"¿ Eliminar esta carpeta y todas las subcarpetas ?"
"You will lose all unsaved changes, continue?";"¿Perderá todos los cambios no guardados, desea continuar?"
"You must first complete the current category creation process";"Tiene que finalizar la creación de esta categoría primero"
Subtitle;Subtítulo
"Add a";"Añadir una"
"Mobile display";"Visualización móvil"
"Close mobile display";"Cerrar visualización móvil"
"Folder title is required";"Se requiere el título de la carpeta"
"You cannot add this feature";"No se puede agregar esta función"
"Create a new field";"Crear un nuevo campo"
"Edit field %s";"Editar el campo %s"
"Field name:";"Nombre del campo:"
"Field name";"Nombre del campo"
"Choose a field type:";"Seleccione un tipo de campo:"
"You have to choose a field type.";"Tiene que elegir un tipo de campo."
"This field is required";"Este campo es obligatorio"
"Manage options:";"Administrar opciones:"
"Option";"Opción"
"Add an option";"Añadir una opción"
"Add a field";"Agregar un campo"
"Are you sure you want to remove this section?";"¿Está seguro que desea eliminar esta sección?"
"Are you sure you want to remove this field?";"¿Está seguro que desea eliminar este campo?"
"Recipient email:";"Email del destinatario:"
"Add a section";"Añadir una sección"
"Manage fields";"Gestionar los campos"
"We thank you for having filled out our form.";"Gracias por haber rellenado nuestro formulario."
"An error occurred while sending the form. Please, try again later.";"Se ha producido un error al enviar el formulario. Por favor inténtelo de nuevo más tarde."
"An error occurred while retrieving the user location";"Se ha producido un error al recuperar la posición del usuario"
"An error occurred while retrieving your location";"Se ha producido un error al recuperar su posición"
"You have refused to share your location";"No compartir Ubicación"
"An error occurred while saving. A field can't be identified.";"Se ha producido un error al guardar. Un campo no puede ser identificado."
"<strong>%s</strong> must be filled<br />";"<strong>%s</strong> debe ser rellenado <br />"
"<strong>%s</strong> must be a valid email address<br />";"<strong>%s</strong> debe ser un email válido <br />"
"<strong>%s</strong> must be a numerical value<br />";"<strong>%s</strong> debe ser un valor numérico <br />"
"<strong>%s</strong> must be a valid date<br />";"<strong>%s</strong> debe ser una fecha válida <br />"
"Your app's form";"Formulario de su aplicación"
"Number";"Número"
"Geolocation";"Geolocalización"
"Date/Hour";"Fecha / hora"
"Multiline text";"Texto Multilíneas"
"Checkbox";"Casilla de Verificación"
"Radio";"Radio"
"Drop down";"Lista desplegable"
;
"Your form has been filled out, here are the answers:";"Su formulario ha sido completado, esto es las respuestas:"
Modules;Módulos
"Upload a module";"Cargar un módulo"
"Select a module to upload";"Seleccionar un módulo"
"Module Installation";"Instalación del módulo"
"Processing the installation";"Proceso de instalación"
"Please wait, we're installing your module";"Por favor espere, estamos instalando su módulo"
"This process may take few minutes, please do not refresh the page";"Este proceso puede tardar unos minutos, por favor no actualice la página"
"The installation of the module %s has failed: <span id=""installation_failed_because""></span>";"La instalación del módulo %s ha fallado: <span id=""installation_failed_because""></span>"
"No module to install";"Ningún módulo para instalar"
"All of your modules are up to date";"Todos los módulos están al día"
"Please, enter a name";"Por favor, introduzca su nombre"
"The database connection failed. Please, check the entered information.";"La conexión de la base de datos ha fallado. Por favor, revise la información introducida."
"The folder %s is not writable. Please fix this issue and try again.";"La carpeta %s no se puede escribir. Por favor, corrija este problema y vuelva a intentarlo."
"Unable to extract the archive.";"No se puede extraer el archivo."
"Unable to open the archive.";"No se puede abrir el archivo."
"The following folders are not writable: <br /> - %s";"Las siguientes carpetas no se pueden escribir: <br /> - %s"
"The folder %s is not writable.";"La carpeta %s no se puede escribir."
"My passwords";"Mis contraseñas"
"Current card";"Tarjeta actual"
"Card name";"Nombre de la tarjeta"
"Number of points";"Número de puntos"
Reward;Recompensa
point;punto
Conditions;Condiciones
"Previous cards";"Tarjetas anteriores"
"My new loyalty card";"Mi nueva tarjeta de fidelidad"
"Employee's name";"Nombre del empleado"
"Employee's password";"Contraseña del empleado"
"Delete this password?";"¿ Esta seguro que desea eliminar esta contraseña ?"
"1 validated point = ";"1 punto validado ="
"validated points = ";"Puntos Validados ="
"1 loyalty point =";"1 punto de fidelidad ="
"We are sorry but this card is temporarily blocked";"Lo sentimos, la tarjeta ha sido bloqueada temporalmente"
"Please log in.";"Debe iniciar sesión …"
Congratulations;Felicidades
"You have unlocked %d loyalty card%s";"Usted ha validado %d tarjeta %s de lealtad"
"You own:";"Tiene : "
"You're gonna validate <span id=""number_of_points"">1 point</span>";"Va a validar<span id=""number_of_points"">1 punto</span>"
"Please enter the password";"Por favor ingrese la contraseña"
"Your loyalty card has been saved successfully";"Su tarjeta de fidelidad ha sido guardada correctamente"
"An error occurred while saving your loyalty card. Please fill all fields in.";"Se ha producido un error al guardar tu tarjeta de fidelidad. Por favor rellene todos los campos."
"An error occurred while saving your loyalty card.";"Se ha producido un error al guardar tu tarjeta de fidelidad."
"An error occurred while saving the password. Please try again later.";"Se ha producido un error al guardar la contraseña. Por favor inténtelo de nuevo más tarde."
"Your password must be 4 digits";"La contraseña debe tener 4 dígitos"
"Please enter a name";"Por favor ingrese un nombre"
"You must be logged in to validate points";"Usted debe iniciar sesión para validar los puntos"
"An error occurred while validating point. Please try again later.";"Se produjo un error al validar el punto. Por favor inténtelo de nuevo más tarde."
"Wrong password.<br />Be carefull! %d remaining attempt%s before locking your card.<br /> Ask the store person for validating your point";"La contraseña no es valida.<br />Cuidado, Attention, plus que %d intentos%s  que le quedan antes de bloquear su tarjeta.<br />Pregunte al responsable de la app para validar su punto"
"You have exceeded the number of attempts to validate points. Your card is locked for 24h";"Usted ha excedido el número de intentos para validar puntos. Su tarjeta estará bloqueada durante 24 horas"
"Point%s successfully validated";"Punto %s validado%s correctamente"
"You just finished your card";"Usted acaba de terminar su tarjeta"
"We are sorry, your card is temporarily blocked";"Lo sentimos, la tarjeta ha sido bloqueada temporalmente"
Parameter;Parámetros
"Send your pictures";"Envíe sus imágenes"
User;Usuario
"Gallery Name";"Nombre de la galería"
"Choose an album";"Elija un album"
"Maximum size : 2000*2000 px - Allowed filetypes : jpg and png";"Tamaño máximo: 2000 * 2000 píxeles - tipos de archivo permitidos : jpg y png"
Description:;"Descripción :"
"Required field";"Este campos es obligatorio"
"Delete this gallery?";"¿Desea eliminar esta galería?"
Title:;Título:
Search;Buscar
"Gallery Name <span class=""required-entry"">*</span> :";"Nombre de la galería <span class=""required-entry"">*</span> :"
"Feed URL";"URL de su Feed RSS"
"Feed URL <span class=""required-entry"">*</span> :";"URL de su Feed RSS <span class=""required-entry"">*</span> :"
