"%s - Customer Service";"%s - Service clients"
"The following options are required:<br />%s";"Les options suivantes sont requises:<br />%s"
"The option %s is required";"L'option %s est nécessaire"
"The payment has been cancelled, something wrong happened? Feel free to contact us";"Le paiement a été annulé, n'hésitez pas à nous contacter"
"The payment method";"mode de paiement"
"Time in minutes";"Temps en minutes"
"Total";"Total"
"Total Excl. Tax";"Total hors Taxe"
"Total Tax";"Total Taxe"
"Total: %s";"Total: %s"
"Unit Price";"Prix unitaire"
"Unit price";"Prix unitaire"
"Username";"Nom d'utilisateur"
"Username:";"Nom d'utilisateur:"
"We apologize but the payment method %s is currently not available";"Nous nous excusons mais la méthode de paiement %s est actuellement pas disponible"
"We thank you for your order. A confirmation email has been sent";"Nous vous remercions de votre commande. Un email de confirmation a été envoyé"
"You don't have any categories yet";"Vous ne avez pas encore de catégories"
"You have a connected printer? Enter the email address";"Vous avez une imprimante connectée? Entrez l'adresse e-mail"
"You have a connected printer? Enter the email address for each store";"Vous avez une imprimante connectée? Entrez l'adresse e-mail pour chaque magasin"
"Your address";"votre adresse"
"Your email address";"Votre adresse e-mail"
"Your firstname";"votre prénom"
"Your lastname";"votre nom"
"Your phone number";"Votre numéro de téléphone"
"e.g., Sauces";"par exemple, Sauces"
