"404, page not found";"404, page non trouvée"
"Please, enter a valid date";"Veuillez saisir une date correcte"
"Podcast";"Podcast"
"Podcast URL (iTunes format)";"URL Podcast (en format iTunes)"
"Podcast type is invalid or can't be found";"Type Podcast est invalide ou ne peut pas être trouvé"
"Postcode";"Code Postal"
"Postcode:";"Code Postal :"
"Push";"Push"
"Push Notifications";"Push"
"Required fields";"Champs obligatoire"
"Resize your picture";"Redimensionnez votre image"
"Resize your picture:";"Redimensionnez votre image :"
"SEND";"ENVOYER"
"Save";"Sauvegarder"
"Search";"Rechercher"
"Select a country";"Sélectionnez un pays"
"Select all";"sélectionner tous"
"Send";"Envoyer"
"Send your pictures";"Envoyez vos images"
"Set Meal";"Produit"
"Settings";"Paramètres"
"Size:";"Taille :"
"Street";"rue"
"Street:";"rue :"
"Subscriptions";"Abonnements"
"Support";"Support"
"Support Link";"Lien du support"
"Tax";"Taxe"
"Taxes";"Taxes"
"Text";"Texte"
"The account has been successfully saved";"Le compte a été sauvegardé avec succès"
"The address you're looking for does not exists.";"L'adresse que vous cherchez n'existe pas."
"The email is required";"L'email est requis"
"The file '%s' does not exist";"Le fichier '%s' n'existe pas"
"The image '%s' does not exist";"L'image '%s' n'existe pas"
"The image size '%s' could not be detected.";"La taille de l'image '%s' ne peut pas être détectée."
"The old password does not match the entered password.";"L'ancien mot de passe ne correspond pas au mot de passe saisi."
"The password is required";"Le mot de passe est requis"
"The password must be at least 6 characters";"Le mot de passe doit comporter au minimum 6 caractères"
"The payment has been cancelled, something wrong happened? Feel free to contact us.";"Le paiement a été annulé, n'hésitez pas à nous contacter."
"This administrator does not exist";"Cette administrateur n'existe pas"
"This email address is already used";"Cette adresse email est déjà utilisée"
"This field is required";"Ce champ est obligatoire"
"This field is required.";"Ce champ est obligatoire."
"This section is unlocked for mobile users only";"Cette section est débloqué pour les utilisateurs de mobiles"
"Timezone";"Fuseau horaire"
"Title";"Titre"
"Title:";"Titre :"
"Total";"Total"
"Unable to add the contact to your address book";"Impossible d'ajouter le contact à votre carnet d'adresses"
"Unable to calculate the route.";"Impossible de calculer l'itinéraire."
"Unable to save image";"Impossible d'enregistrer l'image"
"Unrecognized image format";"Format d'image non reconnu"
"Updated at";"Mise à jour le"
"Use this coupon";"Utiliser cette promo"
"User";"Utilisateur"
"User successfully saved";"Utilisateur correctement sauvegardé"
"Username";"Nom d'utilisateur"
"Users";"Utilisateurs"
"VAT Number";"Numéro de TVA"
"Validate";"Valider"
"Version %s";"Version %s"
"View";"Voir"
"We are sorry but this address is already used.";"Nous sommes désolés mais cette adresse est déjà utilisée."
"We are sorry but this email address already exists.";"Nous sommes désolés mais cette adresse existe déjà."
"We are sorry but this feature is not available yet";"Nous sommes désolé mais cette fonctionnalité n'est pas encore disponible"
"Website";"Site Web"
"Yes";"Oui"
"You already have this user in your contact";"Vous avez déjà cet utilisateur dans vos contacts"
"You are gone offline";"Vous êtes déconnecté"
"You can upload a pem certificate only.";"Vous ne pouvez seulement envoyer qu'un certificat .pem"
"You can upload a zip archive only.";"Vous ne pouvez seulement envoyer qu'une archive .zip"
"You can upload an icon only (.ico and .png).";"Vous ne pouvez seulement envoyer qu'une icone (.ico et .png)."
"You can upload an image only (.jpg, .jpeg, .gif and .png).";"Vous ne pouvez seulement envoyer qu'une image (.jpg, .jpeg, .gif et .png)."
"You can't upload more than one file at a time.";"Vous ne pouvez pas envoyer plusieurs fichiers en même temps"
"You must be logged in to post a comment";"Vous devez être connecté pour poster un commentaire"
"You must give the permission to the app to add a contact to your address book";"Vous devez donner la permission à l'application pour ajouter un contact à votre carnet d'adresses"
"You must share your location to access this page.";"Vous devez partager votre position pour accéder à cette page."
"Your browser is too old to view the content of our website.<br />";"Votre navigateur est trop ancien pour voir le contenu de notre site web.<br />"
"Your comment";"Votre commentaire"
"Your email address";"Votre email"
"Your email address does not exist";"Votre adresse email n'existe pas"
"Your name";"Votre nom"
"Your new password has been sent to the entered email address";"Un nouveau mot de passe vous a été envoyé à l'adresse email saisie"
"Your password does not match the entered password.";"Votre mot de passe ne correspond pas au mot de passe entré dans la confirmation."
"Youtube";"Youtube"
"close";"Fermer"
"day";"jour"
"days";"journées"
"en";"fr"
"hour";"heure"
"hours";"heures"
"loading";"chargement"
"minute";"minute"
"minutes";"minutes"
"picture";"illustration"
"second";"deuxième"
"seconds";"secondes"
"title";"Titre"
"titles";"titres"
"to add a subfolder.";"pour ajouter un sous-dossier."
