"%s / Month";"%s / Mese"
"Hello,";"Ciao,"
"Here is your new password:";"Ecco la tua nuova password"
"How do you want to access the backoffice if you remove the only user remaining?";"Come desideri accedere al backoffice se si rimuove l'unico utente rimasto?"
"ID";"ID"
"Image";"Immagine"
"Image not high enough, %spx minimum allowed.";"Immagine non abbastanza alta, almeno %spx"
"Image not large enough, %spx minimum allowed.";"Immagine non abbastanza larga, almeno %spx"
"Image not large enough, '%s' allowed.";"Immagine non abbastanza larga, almeno '%s'"
"Image too high, %spx maximum allowed.";"Immagine troppo alta, massimo %spx"
"Image too large, %spx maximum allowed.";"Immagine troppo larga, massimo %spx"
"Image too large, '%s' allowed.";"Immagine troppo alta, massimo '%s'"
"Images";"Immagini"
"In order to fully enjoy our features, we encourage you to use at least:.<br />";"Per poter godere appieno delle nostre funzionalità, ti invitiamo a utilizzare almeno:.<br />"
"In order to publish your application, we need:<br />- ";"Per pubblicare l'applicazione, abbiamo bisogno di:<br />-"
"Incorrect filetype.";"Tipo di file non corretto."
"Info successfully saved";"Info salvata correttamente"
"Information";"Informazione"
"Infos successfully saved";"Info salvata correttamente"
"Insert a <br /><span class=""bold"">cover image</span>";"Inserire una <br /><span class=""bold"">immagine di copertina</span>"
"Invalid place";"Posizione non valida"
"Invoices";"Fatture"
"Last Name";"Cognome"
"Lastname";"Cognome"
"Lastname:";"Cognome:"
"Like";"Like"
"Likes";"Likes"
"Link";"Link"
"Links";"Links"
"Load More";"Carica Altro"
"Locate";"Localizza"
"Location";"Posizione"
"Location:";"Località:"
"Location: %s";"Posizione: %s"
"Log in";"Login"
"Log-in";"Login"
"Log-out";"Logout"
"Logged in as";"Logati come"
"Loyalty Card";"Carta fedeltà"
"MM,d yy";"d,MM yy"
"MM.dd.y";"dd.MM.y"
"MM.dd.y 'at' HH:mm a";"dd.MM.y 'alle' HH:mm:a"
"MM/dd/y";"dd/MM/yy"
"MM/dd/y 'at' hh:mm a";"dd/MM/y 'alle' hh:mm a"
"MM/dd/y hh:mm a";"dd/MM/y hh:mm a"
"MM/dd/yy";"dd/MM/yy"
"MM/dd/yyyy";"dd/MM/yyyy"
"MMMM dd y";"dd MMMM y"
"Main category";"Categoria principale"
"Make this image colorizable";"Rendi questa immagine colorata"
"Manage";"Gestisci"
"Map";"Mappa"
"Maps";"Mappe"
"Message from your app %s";"Messaggio dall'App %s"
"Messages";"Messaggi"
"Modules";"Moduli"
"Month";"Mese"
"Monthly";"Al mese"
"More";"Altro"
"My account";"My account"
"My invoices";"Le mie fatture"
"Name";"Nome"
"Never";"Mai"
"New";"New"
"New password";"Nuova password"
"Newswall";"Bacheca news"
"Next";"Prossimo"
"No";"No"
"No Results";"Nessun risultato"
"No address to display on map.";"Nessun indirizzo da visualizzare sulla mappa."
"No place to display on map.";"Nessun posto da visualizzare sulla mappa."
"No results";"Nessun risultato"
"No uploaded image";"Nessuna immagine caricata"
"Nothing to display";"Niente da visualizzare"
"Number";"Numero"
"OK";"OK"
"OR";"OR"
"Offline content";"Contenuto offline"
"Old Password";"Vecchia password"
"Options";"Opzioni"
"Ouch, this page doesn't exist";"Ops, questa pagina non esiste"
"Padlock";"Lucchetto"
"Password";"Password"
"Password:";"Password:"
"Passwords don't match";"Le password non corrispondono"
"Payment";"Pagamento"
"Phone";"Telefono"
"Phone:";"Telefono:"
"Photos";"Foto"
"Places";"Posti"
"Plans";"Piani"
"Platform Name";"Nome piattaforma"
"Player";"Giocatore"
"Please enter a password";"Inserisci una password"
"Please enter a valid URL.";"Inserisci un URL valido."
"Please enter a valid credit card number.";"Inserisci una carta di credito valida"
"Please enter a valid date (ISO).";"Inserisci una data valida (ISO)"
"Please enter a valid date.";"Inserisci una data valida"
"Please enter a valid email address";"Inserisci un indirizzo email valido"
"Please enter a valid email address.";"Inserisci un indirizzo email valido."
"Please enter a valid number.";"Inserisci un numero di telefono valido."
"Please enter a valid url";"Inserisci un URL valido"
"Please enter a value between {0} and {1} characters long.";"Immettere un valore compreso tra {0} e {1} caratteri."
"Please enter a value between {0} and {1}.";"Immettere un valore compreso tra {0} e {1}."
"Please enter a value greater than or equal to {0}.";"Inserisci un valore maggiore o uguale a {0}."
"Please enter a value less than or equal to {0}.";"Inserisci un valore minore o uguale a {0}."
"Please enter at least {0} characters.";"Inserisci almeno {0} caratteri"
"Please enter no more than {0} characters.";"Inserisci non più di {0} caratteri."
"Please enter only digits.";"Inserisci solo cifre."
"Please enter the same value again.";"Si prega di inserire di nuovo lo stesso valore."
"Please enter your email address";"Inserisci il tuo indirizzo email"
"Please fill in the following fields:";"Si prega di compilare i seguenti campi:"
"Please fix this field.";"Correggi questo campo"
"Please log in.";"Effettua il login"
"Please provide a certificate.";"Si prega di fornire un certificato."
"Please, enter a correct email address.";"Inserisci un indirizzo email valido."
"Please, enter a password.";"Inserisci una password."
"Please, enter a valid date";"Inserisci una data valida"
"Podcast";"Podcast"
"Podcast URL (iTunes format)";"Podcast URL (iTunes format)"
"Podcast type is invalid or can't be found";"Podcast type non è valido o non può essere trovato"
"Postcode";"CAP"
"Postcode:";"CAP:"
"Previewer";"Anteprima"
"Previews";"Anterime"
"Privacy Policy";"Informativa sulla privacy"
"Push";"Push"
"Push Notifications";"Notifiche push"
"Qty";"Qtà"
"RSS Feed";"RSS Feed"
"Radio";"Radio"
"Required fields";"Campi obbligatori"
"Resize your picture";"Ridimensiona l'immagine"
"Resize your picture:";"Ridimensiona l'immagine:"
"Roles";"Ruoli"
"SEND";"Invia"
"Save";"Salva"
"Scan it";"Scansiona"
"Scan now to unlock";"Scansiona ora per sbloccare"
"Search";"Cerca"
"See";"Guarda"
"Select a country";"Seleziona paese"
"Select all";"Seleziona tutto"
"Send";"Invia"
"Send your pictures";"Invia l'immagine"
"Set Meal";"Prodotto"
"Settings";"Impostazioni"
"Size:";"Misura:"
"Source code";"Source code"
"Street";"Via"
"Street:";"Via:"
"Subscriptions";"Sottoscrizioni"
"Subtitle";"Sottotitolo"
"Support";"Supporto"
"Support Link";"Link di supporto"
"Tax";"IVA"
"Taxes";"IVA"
"Text";"Testo"
"The account has been successfully saved";"L'account è stato salvato correttamente"
"The address you're looking for does not exists.";"L'indirizzo che stai cercando non esiste"
"The admin_id is required";"è necessario l'admin_id"
"The app_id is required";"è necessario l'app_id"
"The email is required";"La mail è obbligatoria"
"The file '%s' does not exist";"Il file '%s' non esiste"
"The image '%s' does not exist";"L'immagine '%s' non esiste"
"The image size '%s' could not be detected.";"Non è stato possibile rilevare la dimensione dell'immagine '%s'"
"The name is required";"è necessario il nome"
"The old password does not match the entered password.";"La vecchia password non corrisponde alla password inserita."
"The password is required";"La password è obbligatoria"
"The password must be at least 6 characters";"La password deve essere di almeno 6 caratteri"
"The payment has been cancelled, something wrong happened? Feel free to contact us.";"Il pagamento è stato annullato, è successo qualcosa di sbagliato? Non esitate a contattarci."
"This admin does not exist";"Questo admin non esiste"
"This administrator does not exist";"L'amministratore non esiste"
"This application does not exist";"Questa app non esiste"
"This code is unrecognized";"Il codice non è corretto"
"This email address does not exist";"Questo indirizzo mail non esiste"
"This email address is already used";"Questo indirizzo email è già in uso"
"This feature opens the Code Scan camera";"Questa funzione apre lo scanner qr code"
"This field is required";"Questo campo è obbligatorio"
"This field is required.";"Questo campo è obbligatorio."
"This section is unlocked for mobile users only";"Questa sezione funziona solo per gli utenti dell'app pubblicata"
"Timezone";"Fuso orario"
"Title";"Titolo"
"Title:";"Titolo:"
"Topics";"Gestione Notifiche"
"Total";"Totale"
"Translations";"Traduzione"
"Unable to add the contact to your address book";"Impossibile aggiungere il contatto alla rubrica"
"Unable to calculate the route.";"Impossibile calcolare il percorso."
"Unable to save image";"Impossibile salvare l'immagine"
"Unrecognized image format";"Formato immagine non riconosciuto"
"Updated at";"Aggiornato al"
"Use this coupon";"Usa questo coupon"
"User";"User"
"User successfully saved";"User salvato correttamente"
"Username";"Username"
"Users";"Users"
"VAT Number";"numero VAT"
"Validate";"Convalida"
"Version %s";"Versione %s"
"Videos";"Video"
"View";"Visualizza"
"We are sorry but this address is already used.";"Siamo spiacenti ma l'indirizzo è già utilizzato."
"We are sorry but this email address already exists.";"Siamo spiacenti ma l'indirizzo email è già utilizzato."
"We are sorry but this feature is not available yet";"Siamo spiacenti ma questa funzionalità non è ancora disponibile"
"We are sorry but this username already exists.";"Siamo spiacenti ma questo username è già in uso."
"Website";"Sito web"
"Wordpress";"Wordpress"
"Year";"Anno"
"Yearly";"Annuale"
"Yes";"Si"
"You already have this user in your contact";"Hai già questo utente nel tuo contatto"
"You are gone offline";"Sei offline"
"You can upload a pem certificate only.";"È possibile caricare solo un certificato PEM."
"You can upload a png only (.png).";"Puoi caricale solo file (.png)."
"You can upload a zip archive only.";"È possibile caricare solo un archivio zip."
"You can upload an icon only (.ico and .png).";"È possibile caricare una icona sola (.ico e .png)."
"You can upload an image only (.jpg, .jpeg, .gif and .png).";"È possibile caricare solo un'immagine (.jpg, .jpeg, .gif e .png)."
"You can't upload more than one file at a time.";"Non è possibile caricare più di un file alla volta."
"You must be logged in to post a comment";"Devi essere loggato per inviare un commento"
"You must give the permission to the app to add a contact to your address book";"È necessario dare il permesso all'applicazione per aggiungere un contatto alla rubrica"
"You must share your location to access this page.";"È necessario condividere la propria posizione per accedere a questa pagina."
"Your browser is too old to view the content of our website.<br />";"Il tuo browser è troppo vecchio per visualizzare il contenuto del nostro sito web.<br />"
"Your comment";"Il tuo commento"
"Your email address";"Il tuo indirizzo"
"Your email address does not exist";"Il tuo indirizzo non esiste"
"Your name";"Il tuo nome"
"Your new password has been sent to the entered email address";"La nuova password è stata inviata all'indirizzo email inserito"
"Your password does not match the entered password.";"La password non corrisponde alla password inserita."
"Youtube";"Youtube"
"close";"Chiudi"
"day";"Giorno"
"days";"Giorni"
"en";"it"
"hour";"ora"
"hours";"ore"
"loading";"Caricamento"
"minute";"minuto"
"minutes";"minuti"
"picture";"immagine"
"second";"Secondo"
"seconds";"Secondi"
"title";"Titolo"
"titles";"Titoli"
"to add a subfolder.";"per aggiungere una sottocartella"
