"Actions";"Azioni"
"Or go on your store<br />and look for ""Apps Company Previewer""";"O vai sul tuo store<br/>e cerca ""Apps Company Previewer"""
"Page name:";"Nome della pagina"
"Percentage of returning customers";"Percentuale di ritorno clienti"
"Photo & Video";"Foto & Video"
"Please enter a correct URL for the %s store";"Si prega di inserire un URL corretto per il %s store"
"Please enter a number for the duration.";"Si prega di inserire un numero per la durata ."
"Please enter a subdomain.";"Si prega di inserire un sottodominio"
"Please enter a valid URL";"Si prega di inserire un URL valido"
"Please enter a valid address";"Si prega di inserire un indirizzo valido"
"Please enter a valid mobile website address.";"Si prega di inserire un indirizzo valido del mobile website"
"Preview";"Anteprima"
"Proceed to checkout before downloading the source code.";"Procedi al checkout prima di scaricare il source code"
"Productivity";"Produttività"
"Promote";"Promuovere"
"Publication";"Pubblicazione"
"Publish the application";"Pubblica l'applicazione"
"Publish under our account";"Pubblica con il nostro account"
"Ready ? Publish my app!";"Pronto? Pubblica la mia app!"
"Recommanded size:";"Dimensioni raccomandate:"
"Reference";"Riferimento"
"Remove this page from this folder?";"Rimuovere questa pagina da questa cartella?"
"Scan this QR Code";"Scansiona questo QR code"
"Scan this QR Code:";"Scansiona questo QR code"
"Secondary category";"Seconda categoria"
"Secondary category<br />(Optional)";"Seconda categoria<br />(Opzionale)"
"Secret Key";"Secret Key"
"Send here your iOS certificate to enable the push notifications for this application.";"Invia qui il tuo certificato iOS per abilitare le notifiche push per questa applicazione."
"Send you .pem certificate";"Invia il tuo .pem certificare"
"Show the applications waiting for publication only.";"Mostra solo le applicazioni in attesa di pubblicazione"
"Slider images duration, in seconds:";"Immagini Slider durata in secondi :"
"Social Networking";"Social Networking"
"Social Sharing";"Condividi sui Social"
"Sports";"Sport"
"Startup image";"Immagine iniziale"
"Status";"Stato"
"Store Password";"Store Password"
"Store URL";"Store URL"
"Stores Info";"Stores Info"
"Terms & Conditions";"Termini & Condizioni"
"The Bundle Id is required";"E' richiesto l' ID bundle"
"The QR Code is not available at this moment";"Il QR code non è al momento disponibile"
"The application has been successfully saved";"L'applicazione è stata salvata con successo"
"The application name";"Il nome dell'applicazione"
"The application's name cannot start with a number";"Il nome dell'applicazione non può iniziare con un numero"
"The bundle id";"Il bundle id"
"The description";"Descrizione"
"The description must be at least 200 characters";"La descrizione deve essere di almeno 200 caratteri"
"The desktop icon";"Icona desktop"
"The entered bundle id is incorrect, it should be like: com.siberiancms.app";"L'ID bundle non è corretto, dovrebbe cominciare cosi: it.subitoapps.apps"
"The field is required";"Il campo è obbligatorio"
"The file has been successfully uploaded";"Il file è stato caricato con successo"
"The following information are needed to download the source codes:<br />";"Le seguenti informazioni sono necessarie per scaricare i source codes: <br />"
"The homepage image";"L'immagine della Homepage"
"The key cannot be empty.";"La Key non può essere vuota."
"The key is already used by another application.";"La chiave è già utilizzata in un altra applicazione"
"The keywords";"Le keywords"
"The main category";"La categoria principale"
"The startup image";"L'immagine iniziale"
"This application does not exist";"Questa applicazione non esiste"
"This application is no longer available";"Questa applicazione non è più disponibile"
"This application is visible on the front";"L'applicazione è visibile sul front end"
"This key is already used by system features.";"Questa chiave è già utilizzata da funzioni di sistema."
"This option enables you to set the currency used in your app";"Questa opzione consente di impostare la valuta utilizzata nella vostra applicazione"
"This page will be displayed to mobile users to enable them to login and manage their account. It is automatically added when you use features which need user login.";"Questa pagina viene visualizzata agli utenti dell'app per consentire loro di accedere e gestire il proprio account. Viene aggiunto automaticamente quando si utilizzano funzioni che necessitano di accesso utente."
"This user can add pages to this application.";"Questo utente può aggiungere pagine a questa applicazione ."
"To be able to download source codes, please provide the following information:<br />";"Per poter scaricare i source codes, si prega di fornire le seguenti informazioni: <br />"
"Travel";"Viaggio"
"URL";"URL"
"URL Key";"URL Key"
"Use into all of your application's pages";"Utilizzare in tutte le pagine della mia applicazione"
"Used points";"Punti usati"
"User Information";"Informazioni user"
"Utilities";"Utilities"
"Version";"Versione"
"Visible from all the application's pages (removes the homepage)";"Visibile in tutte le pagine dell'applicazione (sarà rimossa l'homepage"
"We are sorry but this application has been deactivated and may not be re-activated.";"Siamo spiacenti ma questa applicazione è stata disattivata e non può essere riattivata"
"Weather";"Tempo"
"Yes";"Si"
"You already have sent a certificate.";"Hai già inviato un certificato"
"You can download your QRCode by <a class=""f-bold"" href=""%s"">clicking here</a>";"È possibile scaricare il QRCode <a class=""f-bold"" href=""%s"">cliccando qui</a>"
"You can't use this domain.";"Non puoi utilizzare questo dominio"
"You don't have any applications yet";"Non hai ancora applicazioni"
"You have already sent a certificate";"Hai già inviato un certificato"
"You have sent a certificate.";"Hai inviato un certificato."
"You have to create a Google account before publishing your application. <a href=""https://play.google.com/apps/publish/signup"" target=""_blank"">Click here to create one.</a>";"È necessario creare un account Google prima di pubblicare l'applicazione. <a href=""https://play.google.com/apps/publish/signup"" target=""_blank""> Clicca qui per crearne uno. </a>"
"You have to create an Apple account before publishing your application. <a href=""https://developer.apple.com/register/index.action"" target=""_blank"">Click here to create one.</a>";"È necessario creare un account Apple prima di pubblicare l'applicazione. <a href=""https://developer.apple.com/register/index.action"" target=""_blank""> Clicca qui per crearne uno. </a>"
"You have to purchase the application before downloading the mobile source code.";"Devi acquistare l'applicazione prima di scaricare il mobile source code."
"You haven't chosen any template yet";"Non hai ancora scelto un template"
"You may not delete a library icon";"Non puoi eliminare l'icona della libreria"
"You must choose an ads type";"È necessario scegliere un tipo di annunci"
"You must have published your application to access this feature";"Devi aver pubblicato l'applicazione per accedere a questa funzione"
"Your CNAME is not properly set";"Il Tuo CNAME non è impostato correttamente"
"Your CNAME is properly set";"Il CNAME è impostato correttamente"
"Your app will be published";"La Tua App sarà pubblicata"
"Your application is ready to be published.";"L'applicazione è pronta per essere pubblicata"
"Your application key ""%s"" is not valid.";"l'Application key ""%s"" non è valida"
"Your best customers";"I clienti migliori"
"Your customers in figures";"I clienti in cifre"
"Your domain key ""%s"" is not valid.";"La tua domain key ""%s"" non è valida"
"Your mobile address should not contain special characters";"Il tuo indirizzo mobile non può contenere caratteri speciali"
"Your pages";"Le tue pagine"
"e.g: On %s";"Es. su %s"
"iOS Certificate";"Certificato iOS"
"iPad Retina:";"iPad Retina:"
"iPhone 5 / 5S:";"iPhone 5 / 5S:"
"iPhone 6 Plus:";"iPhone 6 Plus:"
"iPhone 6:";"iPhone 6:"
"iPhone Version";"iPhone Version"
"iPhone Version (No Ads)";"Iphone versione senza annunci (no ADS)"
"icon";"Icona"
"logo";"logo"
"times";"Tempo"
"%d Unread Message";"%d messaggio non letto"
"%d Unread Messages";"%d messaggi non letti"
"Account";"Account"
"Change the password";"Cambia la password"
"Click to mark as not read";"Clicca per contrassegnare come non letto"
"Click to mark as read";"Clicca per contrassegnare come letto"
"Create a user";"Crau un user"
"Edit the account ""%s""";"Modifica account ""%s"""
"Edit the user";"Modifica user"
"Enter your credentials:";"Digita le tue credenziali:"
"Info";"Info"
"List of backoffice accounts";"Lista dei bacoffices accounts"
"List of the messages";"Lista dei messaggi"
"Login to your backoffice interface";"Accedi al backoffice"
"People who are allowed to access the backoffice";"Persone che hanno il permesso di accedere al backoffice"
"Publication access type";"Tipo di accesso alla pubblicazione"
"Siberian CMS";"Tiger App Creator"
"Sources code";"Sources code"
"This account can't be deleted, it's the only one";"Questo account non può essere eliminato, è l'unico account"
"User successfully deleted";"User cancellato correttamente"
"View Details";"Vedi dettagli"
"Your new password";"La tua nuova password"
"Your password";"La tua password"
"Booking details";"Dettagli prenotazione"
"Booking details:";"Dettagli prenotazione:"
"Booking subject:";"Oggetto prenotazione:"
"Comment:";"Commenti:"
"Date and time";"Data e ora"
"Date and time:";"Data e ora:"
"Email address:";"Indirizzo email"
"Enter the location name and contact email:";"Immettere la posizione ed il contatto mail"
"First name / Last name";"Nome/Cognome"
"Here are his personal information:";"Ecco le tue informazioni personali:"
"Name:";"Nome:"
"Nom du lieu :";"Nome località:"
"People number:";"Numero di persone"
"Phone number:";"Numero di telefono"
"Please fill out the following fields: ";"Si prega di compilare i seguenti campi:"
"Please fill out the following fields:<br />";"Si prega di compilare i seguenti campi:<br />"
"Please, choose a store";"Scegli lo store"
"Thank you for your request. We'll answer you as soon as possible.";"Grazie per la richiesta, ti informeremo al più presto"
"The booking information";"Informazione di prenotazione"
"The booking informations";"Informazioni di prenotazione"
"The date and time of the booking";"Data e ora della prenotazione"
"The number of people";"Numero di persone"
"You have received a message for the booking of";"È stato ricevuto un messaggio per la prenotazione di"
"Your phone number or email address";"Il tuo numero di telefono o l'indirizzo e-mail"
"%s - All";"%s -Tutte"
"Add a category";"Aggiungi una categoria"
"Add a format";"Aggiungi un format"
"All";"Tutti"
"An error occurred while loading your product.";"Si è verificato un errore durante il caricamento del prodotto."
"An error occurred while saving the category. Please try again later.";"Si è verificato un errore durante il salvataggio della categoria. Si prega di riprovare più tardi."
"An error occurred while saving the product. Please try again later.";"Si è verificato un errore durante il salvataggio del prodotto. Si prega di riprovare più tardi."
"An error occurred while saving the set meal. Please try again later.";"Si è verificato un errore durante il salvataggio della funzione prodotto. Si prega di riprovare più tardi."
"An error occurred while saving. One of your categories could not be identified.";"Si è verificato un errore durante il salvataggio. Una delle categorie non è stato identificata."
"An error occurred while saving. One of your products could not be identified.";"Si è verificato un errore durante il salvataggio. Uno dei prodotti non è stato identificato."
"Are you sure you want to delete this category and all its subcategories?";"Sei sicuro di voler cancellare questa categoria e tutte le sue sottocategorie?"
"Are you sure you want to delete this category?";"Sei sicuro di voler cancellare questa categoria?"
"Are you sure you want to delete this product?";"Sei sicuro di voler eliminare questo prodotto?"
"Category";"Categoria"
"Choose a category";"Scegli una categoria"
"Choose a subcategory";"Scegli una sottocategoria"
"Click on a category to display sub-categories";"Clicca su categoria per visualizzare le sotto categorie"
"Create a new product";"Crea un nuovo prodotto"
"Does this product have many formats?";"Questo prodotto ha molti formati?"
"Edit the";"Modifica"
"Edit the product";"Modifica prodotto"
"Format";"Formato"
"Picture";"Immagine"
"Price";"Prezzo"
"Prices";"Prezzi"
"Product";"Prodotto"
"Product formats";"Formati del prodotto"
"Product name";"Nome prodotto"
"Rules";"Regole"
"Set meal successfully deleted.";"Funzione prodotto cancelata correttamente"
"Set meal successfully saved.";"Funzione prodotto salvata correttamente"
"Sub-category";"Sotto categoria"
"st";"via"
"sub-category";"Sotto categoria"
".mp4 or .3gp format";"Formato .mp4 o .3gp"
"Add ";"Aggiungi"
"Add sections:";"Aggiungi sezione:"
"Address:";"Indirizzo:"
"Alignment:";"Allineamento:"
"An error occurred while saving your page.";"Si è verificato un errore durante il salvataggio della pagina."
"Are you sure you want to delete this page?";"Sei sicuro di voler cancellare questa pagina?"
"Display address";"Mostra indirizzo"
"Display location button";"Mostra la posizione con il segnaposto"
"Label";"Label"
"Label:";"Label:"
"Large";"Largo"
"Latitude:";"Latitudine:"
"Link:";"Link:"
"Loading picture:";"Carica immagine:"
"Longitude:";"Longitudine:"
"Make a search or enter the Youtube Url:";"Fai una ricerca o inserisci un Url Youtube:"
"Medium";"Medio"
"My Youtube video:";"My youtube video:"
"My video";"My video"
"No videos matching your selection";"Nessun video trovato per la tua ricerca"
"Page successfully deleted";"Pagina cancellata correttamente"
"Page successfully saved";"Pagina salvata correttamente"
"Podcast URL:";"Podcast URL:"
"Select a button type:";"Selezione un tipo di pulsante:"
"Select a video type:";"Selezione un tipo di video:"
"Small";"Piccolo"
"Video URL:";"Video URL:"
"Your Podcast:";"Il tuo Podcast:"
"'Near me' radius (in km):";"'Vicino a me' raggio (in km):"
"An error occurred while deleting this answer. Please try again later.";"Si è verificato un errore durante l'eliminazione della richiesta. Si prega di riprovare più tardi."
"Create a news";"Crea una news"
"Create a news:";"Crea una news:"
"Hide this info";"Nascondi questa info"
"Information successfully deleted";"Informazione cancellata correttamente"
"Information successfully hidden";"Informazion nascosta correttamente"
"Information successfully saved";"Informazione salvata correttamente"
"Information successfully shown";"Informazione mostrata con successo"
"Insert a";"Inserisci un"
"It will be visible only after validation by our team.";"Sarà visibile solo dopo la validazione da parte del nostro team."
"My customers answers";"Le domande dei miei clienti"
"My customers' comments";"I commenti dei miei clienti"
"Near me";"Vicino a me"
"Near me settings";"Vicino a me impostazioni"
"New post";"Nuovo post"
"Post";"Post"
"Publishing date";"Data di pubblicazione"
"Radius";"Raggio"
"Radius must be a valid numeric value.";"Il raggio deve essere un valore numerico valido."
"Radius must be provided.";"Il raggio deve essere indicato."
"Read More";"Leggi tutto"
"Recent";"Recente"
"Show this info";"Mostra questa info"
"There is no comment for this news";"Non c'è nessun commento per questa news"
"Was flagged as inappropriate";"È stato segnalato come inappropriato"
"You can't like more than once the same news";"Non puoi avere ulteriori informazioni sulla stessa news"
"You need to be connected to create a post";"È necessario essere connessi per creare un post"
"Your flag has successfully been notified";"Il flag è stato notificato correttamente"
"Your like has been successfully added";"Il like è stato aggiunto con successo"
"Your message has been successfully saved.";"Il messaggio è stato salvato correttamente."
"Your post was successfully added";"Il post è stato aggiunto correttamente"
"An error occurred while saving your contact informations.";"Si è verificato un errore durante il salvataggio delle informazioni di contatto"
"An error occurred while sending your request. Please try again later.";"Si è verificato un errore durante l'invio della richiesta. Si prega di riprovare più tardi."
"And his phone number:";"E il suo numero di telefono:"
"Are you sure you want to remove the picture?";"Sei sicuro di voler rimuovere l'immagine?"
"City";"Città"
"Contact information";"Informazioni di contatto"
"Here is his email:";"Ecco la sua e-mail"
"Here is his message:";"Ecco il suo messaggio:"
"Please enter properly the following fields: <br />";"Si prega di inserire correttamente i seguenti campi:<br/>"
"Twitter";"Twitter"
"Website";"Sito web"
"You have received a message from a contact:";"Hai ricevuto un messaggio da un contatto:"
"Your email";"Email"
"Your message has been sent";"Il messaggio è stato inviato"
"Your request";"La tua richiesta"
"Zip code";"CAP"
"%s - Account creation";"%s - Creazione account"
"%s - Your new password";"%s - La tua nuova password"
"A request to reset your password has been made.";"Una richiesta per reimpostare la password è stata inviata."
"An error occurred while connecting to your Facebook account. Please try again later";"Si è verificato un errore durante la connessione al proprio account Facebook. Si prega di riprovare più tardi"
"Are you sure you want to remove this user?";"Sei sicuro di voler rimuovere questo user?"
"Change Password";"Cambia password"
"Congratulations,";"Congratulazioni,"
"Create";"Crea"
"Create a new user";"Crea un nuovo user"
"Create an account";"Crea un account"
"Customer";"Cliente"
"Customers";"Clienti"
"Disconnect";"Disconnetti"
"Edit the user %s";"Modifica L'user %s"
"First name";"Nome"
"Forgot your password?";"Hai dimenticato la password?"
"Gender";"Genere"
"Here are your credentials:";"Ecco le tue credenziali"
"I accept the <u>privacy policy</u>";"Accetto la <u>privacy policy</u>"
"If you encounter any problems, do not hesitate to contact us:";"Se hai problemi, non esitate a contattarci:"
"Last name";"Cognome"
"Login:";"Login:"
"Miss";"Sig.ina"
"Mr";"Sig."
"Mrs";"Sig.ra"
"My Account";"My account"
"My application's users";"Gli user della mia applicazione"
"Old Password";"Vecchia password"
"Or with your account";"o con il tuo account"
"Please enter your email address. We'll send you your password right now.";"Inserisci il tuo indirizzo email. Ti invieremo la password."
"Please log in with your mobile phone";"Effettua il login con il tuo smartphone"
"Privacy Policy";"Privacy Policy"
"See you soon,";"Arrivederci,"
"Show me in ranking";"Mostrami in classifica"
"The old email address does not match the entered email address.";"Il vecchio indirizzo email non corrisponde l'indirizzo e-mail inserito."
"This user can access the pages locked by the ""Locker"" feature";"Questo utente può accedere alle pagine bloccate dalla funzionalità ""Locker"""
"This user is visible in ranking";"Questo utente è visibile in classifica"
"Title";"Titolo"
"User";"User"
"User Information";"Informazioni user"
"Users";"Users"
"We are sorry but the %s account is already linked to one of our customers";"Ci dispiace ma l'account % s è già collegato a uno dei nostri clienti"
"You have created your account. With this account, you will be able to enjoy great offers available in our application.";"Avete creato il vostro account. Con questo account, sarete in grado di godere di grandi offerte disponibili nella nostra applicazione."
"Your account has been successfully saved";"Il tuo account è stato salvato con successo"
"%s / Month";"%s / Mese"
"%s / Year";"%s / Anno"
"%s Image";"%s immagine"
"%s Images";"%s Immagini"
"%s ago";"%s fa"
"404, page not found";"404, pagina non trovata"
"APIs";"APIs"
"Access Management";"Accesso amministrazione"
"Account";"Account"
"Accounts";"Accounts"
"Actions";"Azioni"
"Add";"Aggiungi"
"Add a";"Aggiungi un"
"Add a page";"Aggiungi una pagina"
"Add a picture";"Aggiungi un'immagine"
"Add image";"Aggiungi immagine"
"Address";"Indirizzo"
"All items";"Tutti gli articoli"
"An error occurred during process. Please try again later.";"Si è verificato un errore. Si prega di riprovare più tardi."
"An error occurred during the process. Please try again later.";"Si è verificato un errore. Si prega di riprovare più tardi."
"An error occurred while loading places.";"Si è verificato un errore durante il caricamento della posizione."
"An error occurred while loading. Please try again later.";"Si è verificato un errore durante il caricamento. Si prega di riprovare più tardi."
"An error occurred while loading. Please, try again later.";"Si è verificato un errore durante il caricamento. Si prega di riprovare più tardi."
