"%s - Customer Service";"%s - Обслуживание клиентов"
"Please, enter an email address for the store %s";"Пожалуйста, введите адрес электронной почты для магазина %s"
"Price";"Цена"
"Price: %s";"Цена: %s"
"Printer successfully saved";"Принтер успешно сохранен"
"Proceed";"Далее"
"Product";"Продукт"
"Product name";"Название продукта"
"Product name:";"Название продукта:"
"Product successfully saved";"Продукт успешно сохранен"
"Qty";"Кол-во"
"Qty: %s";"Кол-во: %s"
"Radius in Km";"Радиус в км"
"Review";"Обзор"
"Settings";"Настройки"
"Signature";"Подпись"
"Signature:";"Подпись:"
"Status";"Статус"
"Store information";"Сохранить информацию"
"Store name";"Интернет-магазин"
"Store name:";"Интернет-магазин:"
"Store successfully deleted";"Магазин  успешно удален"
"Store successfully saved";"Магазин успешно сохранен"
"Stores";"Магазин"
"Subtotal";"Промежуточный итог"
"Tax";"Налог"
"Tax name";"Наименование налога"
"Tax name:";"Наименование налога:"
"Tax rate";"Ставка налога"
"Tax rate:";"Ставка налога:"
"Tax successfully deleted";"Налог успешно удален"
"Tax successfully saved";"Налог успешно сохранен"
"Tax:";"Налог:"
"Thank you!";"Спасибо!"
"The delivery method";"Способ доставки"
"The following options are required:<br />%s";"Требуются следующие варианты:<br />%s"
"The option %s is required";"Требуется %s вариант"
"The payment has been cancelled, something wrong happened? Feel free to contact us";"Оплата была отменена, что то произошло? Не стесняйтесь обращаться к нам."
"The payment method";"Способ оплаты"
"Time in minutes";"Время в минутах"
"Total";"Общие"
"Total Excl. Tax";"Всего без налогов"
"Total Tax";"Совокупный налог"
"Total: %s";"Общий: %s"
"Unit Price";"Цена за единицу"
"Unit price";"Цена за единицу"
"Username";"Имя пользователя"
"Username:";"Имя пользователя:"
"We apologize but the payment method %s is currently not available";"Мы приносим свои извинения, но способ оплаты %s в настоящее время не доступен"
"We thank you for your order. A confirmation email has been sent";"Мы благодарим Вас за Ваш заказ. Мы отправили подтверждение по электронной почте."
"You don't have any categories yet";"Вы не имеете пока никаких категорий"
"You have a connected printer? Enter the email address";"У вас есть подключенный принтер? Введите адрес электронной почты"
"You have a connected printer? Enter the email address for each store";"У вас есть подключенный принтер? Введите адрес электронной почты для каждого магазина"
"Your address";"Ваш адрес"
"Your email address";"Ваш электронный адрес"
"Your firstname";"Ваше имя"
"Your lastname";"Ваша фамилия"
"Your phone number";"Ваш номер телефона"
"e.g., Sauces";"например, Соусы"
