"First name";"名字"
"Forgot your password?";"忘记密码了吗？"
"Gender";"性别"
"Here are your credentials:";"这里有您的凭据："
"I accept the <u>privacy policy</u>";"我接受<u>隐私政策</u>"
"If you encounter any problems, do not hesitate to contact us:";"如果您有任何问题，请联系我们："
"Last name";"姓"
"Login:";"登录："
"Miss";"女士."
"Mr";"先生"
"Mrs";"女士"
"My Account";"我的账户"
"My application's users";"我的应用程序的用户"
"Old Password";"旧密码"
"Or with your account";"或与您的账户"
"Please enter your email address. We'll send you your password right now.";"请输入您的电子邮件地址。现在，我们将发送您的密码。"
"Please log in with your mobile phone";"请与您的手机登录"
"Privacy Policy";"隐私政策"
"See you soon,";"再见，"
"Show me in ranking";"显示我的排名"
"The old email address does not match the entered email address.";"上述的电子邮件地址不匹配的电子邮件地址输入。"
"This user can access the pages locked by the ""Locker"" feature";"此用户可以访问的网站阻止特征“访问”"
"This user is visible in ranking";"此用户是在排名可见"
"User";"用户"
"Users";"用户"
"User Information";"用户信息"
"We are sorry but the %s account is already linked to one of our customers";"很抱歉，但在％的账户已被链接到我们的客户之一"
"You have created your account. With this account, you will be able to enjoy great offers available in our application.";"您创建的帐户。有了这个帐户，您将能够享受伟大的交易可以在我们的应用程序。"
"Your account has been successfully saved";"您的帐户已成功保存"
"%d Unread Messages";"％d 更多的未读消息"
"404, page not found";"404找不到网页"
"APIs";"API"
"Access restricted to authorized members only";"只有授权的用户访问受限制"
"Accounts";"帐户"
"Action";"行动"
"Actions";"行动"
"Add";"添加在"
"Add a";"添加/个"
"Add<br /><span class=""bold"">Pictures</span>";"添加<br /><span class=""bold"">图片</span>"
"Add an <br /><span class=""bold"">image</span>";"添加<br /><span class=""bold"">图片</span>"
"Address";"街道地址"
"All items";"所有项目"
"An error occurred during process. Please try again later.";"在处理过程中发生了错误。请稍后再试。"
"An error occurred during the process. Please try again later.";"有在此过程中的错误。请稍后再试。"
"An error occurred while loading. Please try again later.";"有一个错误加载。请稍后再试。"
"An error occurred while loading. Please, try again later.";"有一个错误加载。请稍后再试。"
"An error occurred while saving";"有错误节能"
"An error occurred while saving your account. Please try again later.";"有一个错误节省你自己。请稍后再试。"
"An error occurred while saving your picture. Please try againg later.";"发生错误保存图像。请重试。"
"An error occurred while saving. Please try again later.";"有一个错误的节省。请稍后再试。"
"An error occurred while saving. Please, try again later.";"有一个错误的节省。请稍后再试。"
"An error occurred while uploading your file. Please, try again later.";"有错误上传文件。请稍后再试。"
"Appearance";"出现"
"Application";"应用"
"Application Name";"应用程序名称"
"Applications";"应用"
"Are you sure you want to delete this element?";"你确定你要删除这个项目吗？"
"Are you sure you want to use this discount?";"你确定要使用这个折扣？"
"Are you sure you want to remove this account?";"你确定要删除此帐户？"
"Authentication failed. Please check your email and/or your password";"验证失败。请检查您的电子邮件和/或密码"
"Back";"回来"
"Browse";"探索"
"Can only be used once";"它只能使用一次"
"Cancel";"取消"
"Cart";"购物车"
"Catalog";"目录"
"Category";"类别"
"Change password";"更改密码"
"City";"城市"
"City:";"城市："
"Close";"关闭"
"close";"关闭"
"Comment";"评论"
"Comments";"点评"
"Communication";"沟通"
"Company";"业务"
"Coms";"COMS"
"Conditions";"条款"
"Confirm Password";"确认密码"
"Confirm new password";"确认新密码"
"Country";"国家"
"Country:";"国家："
"Create";"创建"
"Create an account";"创建一个帐户"
"Create a new account";"创建新帐号"
"Created at";"创建于"
"Created at:";"创建于："
"Currency";"货币"
"Current password";"当前密码"
"Dashboard";"控制面板"
"Date of birth";"出生日期"
"Date of birth:";"出生日期："
"Date";"日期"
"day";"天"
"days";"天"
"Default Languages";"默认语言"
"Delete";"删除"
"Delivery";"交货"
"Description";"描述"
"Description:";"说明："
"Details";"详细信息"
"Edit";"编辑"
"Editing";"版"
"Email";"电子邮件"
"Email address";"电子邮件地址"
"Email:";"电子邮件："
"End at";"在结果"
"Error : <br/>";"错误: <br>"
"Errors : <br/>";"错误: <br>"
"Export your customers";"导出你的客户"
"Extension not allowed, '%s' only";"该扩展是不允许的， '％s' 的唯一"
"Facebook";"Facebook的"
"First name:";"姓名："
"First name";"名字"
"Firstname";"名字"
"Firstname:";"姓名："
"Forgot your password?";"忘记密码了吗？"
"Forgot your password? Don't worry! Simply enter your email address and we'll send you a new one right now.";"忘记密码了吗？不用担心！只要输入您的电子邮件地址，我们将马上送你一个新的。"
"Gender";"性别"
"General";"一般"
"Hello,";"您好，"
"Here is your new password:";"这是你的新密码："
"hour";"时间"
"hours";"小时"
"How do you want to access the backoffice if you remove the only user remaining?";"你将如何访问后台，如果用户仅剩下了吗？"
"I accept the <u>privacy policy</u>";"我接受 <u>隐私政策</u>"
"ID";"ID"
"Image not high enough, %spx minimum allowed.";"图像不够高，最小％spx允许的。"
"Image not large enough, %spx minimum allowed.";"图像不够大，至少％spx 的限制。"
"Image not large enough, '%s' allowed.";"图像不够大， ' ％s'的允许。"
"Image successfully saved";"照片保存成功"
"Image too high, %spx maximum allowed.";"图像太高，最大值％spx 允许的。"
"Image too large, %spx maximum allowed.";"图像太大，最多％spx 允许的。"
"Image too large, '%s' allowed.";"图像太大， ' ％s'的允许。"
"In order to fully enjoy our features, we encourage you to use at least:.<br />";"为了充分享受我们的特点，我们建议至少使用。<br/>"
"In order to publish your application, we need:<br />- ";"发布应用程序，我们需要：<br/> - "
"Incorrect filetype.";"不正确的文件类型。"
"Info successfully saved";"信息保存成功"
"Information";"信息"
"Infos successfully saved";"相关信息保存成功"
"Insert a <br /><span class=""bold"">cover image</span>";"插入 <br /><span class=""bold"">封面图片 </span>"
"Invoice %s";"发票％s"
"Invoices";"发票"
"Last Name";"姓"
"Lastname";"姓"
"Lastname:";"姓："
"Latitude";"纬度"
"Latitude:";"纬度："
"Like";"我喜欢"
"Likes";"我喜欢"
"Link";"链接"
"Load more";"装载更多"
"loading";"加载"
"Locate";"定位"
"Location:";"地点："
"Log in";"登录"
"Log-in";"登录"
"Log-out";"注销"
"Logged in as";"登录为"
"Login";"登录"
"Longitude";"长度"
"Longitude:";"长度："
"Miss";"女士."
"Mr";"先生"
"Mrs";"女士"
"minute";"分钟"
"minutes";"分钟"
"MM/dd/y";"MM/dd/y"
"MM/dd/y 'at' hh:mm a";"MM/dd/y 'at' hh:mm a"
"MM/dd/y hh:mm a";"MM/dd/y hh:mm a"
"MM/dd/yy";"MM/dd/yy"
"MM/dd/yyyy";"DD / MM / YYYY"
"MM,d yy";"MM/dd/yyyy"
"MMMM dd y";"MMMM dd y"
"Never";"从来没有"
"No";"别"
"Main category";"大类"
"Make this image colorizable";"使这个colorizable图像"
"Manage";"管理"
"Maps";"地图"
"Message from your app %s";"消息应用程序％s"
"Messages";"帖子"
"Modules";"模块"
"More";"更多"
"My account";"我的账户"
"My information";"我的信息"
"My invoices";"我的发票"
"My invoices";"我的发票"
"Name";"名字"
"Next";"下一个"
"New";"新"
"No file found.";"没有文件被发现。"
"Nothing to display";"没有显示"
"Number";"号码"
"OK";"行"
"OR";"Ø"
"Ouch, this page doesn't exist";"哎哟，这个页面不存在"
"Password";"密码"
"Password:";"密码："
"Passwords don't match";"密码不匹配"
"Phone";"电话"
"Phone:";"联系电话："
"Picture%s";"图像％s"
"Plans";"飞机"
"Platform Name";"名称平台"
"Player";"播放机"
"Please, enter a date greater than today";"请输入一个日期大于今天"
"Please enter a password";"请输入密码"
"Please enter a valid email address";"请输入有效的电子邮件地址"
"Please enter a valid url";"请输入有效的URL"
"Please enter your email address. We'll send you your password right now.";"请输入您的电子邮件。现在，我们将发送您的密码。"
"Please enter your email address";"请输入您的电子邮件地址"
"Please fill in the following fields:";"请填写以下字段："
"Please log in.";"请登录。"
"Please, enter a correct email address.";"请输入正确的电子邮件地址。"
"Please, enter a password.";"请输入密码。"
"Please, enter a valid date";"有效日期请输入"
"Podcast";"播客"
"Podcast type is invalid or can't be found";"播客类型无效或无法找到"
"Podcast URL (iTunes format)";"URL播客（ iTunes的格式）"
"Postcode";"邮政编码"
"Postcode:";"邮政编码："
"Privacy Policy";"隐私政策"
"Price:";"价格："
"Push";"推"
"Required fields";"必填项"
"Resize your picture";"调整图片大小"
"Resize your picture:";"调整图像大小："
"SEND";"发送"
"Save";"保存"
"Search";"搜索"
"second";"第二"
"seconds";"秒"
"Select a country";"选择一个国家"
"Select all";"选择所有"
"Send";"发送"
"Send your pictures";"发送影像"
"Settings";"设置"
"Size:";"尺寸："
"Street";"街头"
"Street:";"街道："
"Subscriptions";"订阅"
"Support";"支持"
"Support Link";"Link支持"
"Tax";"税"
"Taxes";"税收"
"Text";"文本"
"The account has been successfully saved";"该帐户已成功保存"
"The email is required";"它要求的电子邮件"
"The file '%s' does not exist";"该文件'％s '不存在"
"The file %s does not exist";"文件％s不存在"
"The image '%s' does not exist";"图像'％s'不存在"
"The image size '%s' could not be detected.";"不能被检测到的图像“％ s”的大小。"
"The old password does not match the entered password.";"旧密码不输入的密码相匹配。"
"The password is required";"密码是必需的"
"The password must be at least 6 characters";"密码必须至少6个字符"
"This administrator does not exist";"该管理员不存在"
"This email address is already used";"此电子邮件地址已被使用"
"This field is required";"这是必填栏"
"This user does not exist";"这个用户不存在"
"Timezone";"时区"
"title";"称号"
"titles";"证券"
"Title";"称号"
"Title:";"题目："
"Total";"总"
"Updated at";"更新"
"Use this coupon";"使用此优惠券"
"User";"用户"
"User successfully saved";"用户成功保存"
"Username";"用户名"
"Users";"用户"
"Valid until";"有效期至"
"Validate";"验证"
"VAT Number";"增值税号"
"Version %s";"％s的版本"
"View";"见"
"We are sorry but this address is already used.";"很抱歉，但这个地址已被使用。"
"We are sorry but this email address already exists.";"很抱歉，但已经有此电子邮件。"
"We are sorry but this feature is not available yet";"对不起，此功能不可用"
"Yes";"是的"
"You can upload a pem certificate only.";"您只能加载PEM证书。"
"You can upload a zip archive only.";"你只能上传一个zip文件。"
"You can upload an icon only (.ico and .png).";"您可以加载一个单一的（ .ICO和.png ）图标。"
"You can upload an image only (.jpg, .jpeg, .gif and .png).";"您可以上传只有一个图像（ .JPG ， .JPEG ，.GIF和.png ） 。"
"You can't upload more than one file at a time.";"你不能上传多个文件的时间。"
"You must be logged in to post a comment";"您必须登录后才能发表评论"
"Your browser is too old to view the content of our website.<br />";"您的浏览器太旧，以显示我们的网站的内容。<br />"
"Your comment";"您的评论"
"Your email address";"您的电子邮件地址"
"Your email address does not exist";"您的电子邮件地址不存在"
"Your name";"你的名字"
"Your new password has been sent to the entered email address";"您的新密码已发送到输入的电子邮件地址"
"Your password does not match the entered password.";"您的密码不输入的密码相匹配。"
"Youtube";"的Youtube"
"en";"在"
"picture";"图像"
"to add a subfolder.";"添加一个子文件夹。"
"Discount";"折扣"
"Newswall";"新闻"
"Discount";"折扣"
"Loyalty Card";"点卡"
"Catalog";"目录"
"Catalog";"目录"
"Set Meal";"菜单"
"Custom Page";"页面"
"Custom Page";"页面"
"RSS Feed";"RSS"
"Images";"意象"
"Video";"视频"
"Videos";"视频"
"Contact";"联系"
"Contest";"竞争"
"Booking";"储备"
"Calendar";"日记"
"Push Notifications";"警报"
"Link";"链接"
"Links";"链接"
"Form";"形式"
"Loyalty Card";"点卡"
"Audio";"音频"
"Source code";"代码"
"Places";"地方"
"Padlock";"访问"
"Folder";"夹"
"Commerce";"店"
"An error occurred while deleting the event";"有一个错误删除的事件"
"An error occurred while loading this event";"发生错误加载此事件"
"Beginning date:";"开始日期："
"Calendar successfully deleted";"日历成功删除"
"Calendar's URL";"URL日历"
"Calendar's title";"日历称号"
"Change picture";"改变形象"
"Custom Page";"自定义页面"
"Delete this calendar?";"删除此日历？"
"Delete this event?";"删除这个活动？"
"Ending date:";"竣工日期："
"Enter your calendar's title";"输入日历的标题"
"Event";"事件"
"Event successfully deleted";"事件成功删除"
"Event successfully saved";"事件保存成功"
"Event title:";"事件的标题："
"Illustration";"插图"
"Max size: 2000x2000px - allowed formats: jpg & png";"最大尺寸： 2000x2000px - 允许格式： JPG和PNG"
"Modify the event";"修改事件"
"RSVP";"RSVP /请回复"
"RSVP URL:";"RSVP网址："
"Your Facebook page ID";"你的Facebook页面的ID"
"Your Facebook page ID <span class=""required-entry"">*</span> :";"你的Facebook页面的ID的 <span class=""required-entry"">*</span> :"
