%s - Customer Service;%s – Müşteri hizmetleri
We apologize but the payment method %s is currently not available;Maalesef ödeme yöntemi % s şu anda mevcut değil
We thank you for your order. A confirmation email has been sent;Sipariş için teşekkür ederiz. Bir onay e-postası gönderildi
You don't have any categories yet;Henüz kategoriniz yok
You have a connected printer? Enter the email address;Bir bağlı yazıcınız var mı? E-posta adresinizi girin
You have a connected printer? Enter the email address for each store;Bir bağlı yazıcınız var mı? Her mağaza için e-posta adresinizi girin
Your address;Adresiniz
Your email address;Email adresiniz
Your firstname;Adınız
Your lastname;Soyadınız 
Your phone number;Telefon numaranız
e.g., Sauces;örk Salçalar
