%s - Your new password;%s – Yeni şifreniz
You are going to love it! Thanks to our effective features, you will be able to create great mobile apps in your name, within minutes.;Bunu seveceksiniz,birçok profosyonel aplikasyon özelliğimiz sayesinde kendi cep telefonu app nizi  birkaç dakika içinde kendi adınızla oluşturabileceksiniz. 
You can't delete the main account;Ana hesabı silemezsiniz
You don't have any users yet;Henüz bir kullanıcınız bulunmuyor
Your credentials;Kimlik bilgileriniz
Your login:;Girişiniz:
Your password:;Şifreniz:
API Keys;API Anahtarları
Api Keys;Api Anahtarları
Api Keys successfully saved;Api Anahtarları başarıyla kaydedildi
"1. Download the app previewer:";"1. App ön izleyicisi indir:"
"2. Open the app and login";"2. App yi açın ve giriş yapın"
"<b>File type:</b> %s";"<b>Dosya türü:</b> %s"
"<span>Click on</span><button class=""add"" type=""button""><i class=""icon-plus""></i></button> <span>to add an item.</span>";"<span>Öge eklemek için</span><button class=""add"" type=""button""><i class=""icon-plus""></i></button> <span>tıklayın.</span>"
Activated;Aktifleştirildi
"Add a new icon";"Yeni bir ikon ekleyin"
"Add pages";"Sayfalar ekleyin"
"Additional options";"Ek seçenekler"
"An error occured while copying your app icon. Please check the icon, try to send it again and try again.";"App ikonu kopyalanırken bir hata oluştu. App ikonunu kontrol edin, tekrar göndermek ve yeniden deneyin."
"An error occurred during the generation of your QRCode. Please try again later.";"QR codu üretimi sırasında hata meydana geldi. Daha sonra tekrar deneyiniz."
"An error occurred while adding the option";"Seçeneği eklenirken bir hata oluştu"
"An error occurred while changing your layout.";"Ekran planını değiştirirken bir hata oluştu."
"An error occurred while deleting the option";"Seçeneği silinirken bir hata oluştu"
"An error occurred while deleting your picture";"Resmi silinirken bir hata oluştu"
"An error occurred while editing file (%s).";"Dosya (% s) düzenleme sırasında bir hata oluştu."
"An error occurred while loading";"Yükleme sırasında bir hata oluştu"
"An error occurred while saving the application. Please try again later.";"Uygulamayı kaydedilirken bir hata oluştu. Daha sonra tekrar deneyiniz."
"An error occurred while saving your colors.";"Renkleri kaydedilirken bir hata oluştu."
"An error occurred while saving your page name.";"Sayfa adını kaydedilirken bir hata oluştu."
"An error occurred while saving. The selected icon is not valid.";"Kaydedilirken bir hata oluştu. Seçilen ikon geçerli değil."
"An error occurred while sorting your pages. Please try again later.";"Sayfalarınızı sıralama sırasında bir hata oluştu. Daha sonra tekrar deneyiniz."
Analytics;Analizler
"Android APK Generation";"Android APK Generation"
"Android Version";"Android Version"
"App Store Icon";"App Mağza ikonu"
"Apple's Information";"Apple'ın Bilgisi"
"Application name";"Uygulam ismi"
"Are you sure you want to remove this application?";"Bu uygulamayı silmek istediğinize emin misiniz?"
"At least 200 characters in the description";"Açıklamasında en az 200 karakter olmalı"
"At least, 4 pages in the application";"Uygulamanızda en az 4 sayfa olmalı"
Audio;Audio
"Average by customer";"Müşteri tarafından ortalama"
Book;Ayırmak
"Bundle Id";"Paket Id"
Business;İş
"Buy one, get one!";"Bir alana,bir bedava!"
Catalogs;Kataloglar
Certificate;Sertifika
"Change your";Değiştirin
"Change your template";"Temanızı değiştirin"
"Change your<br /><span>picture</span>";"Resminizi<br /><span>değiştirin</span>"
"Checking CNAME configuration:";"CNAME yapılandırmasını denetleme:"
"Choose a <br /><span class=""bold"">picture</span>";"Bir resim<br /><span class=""bold"">seç</span>"
"Choose a country";"Bir ülke seç"
"Choose a font family";"Yazı tipi seçin"
"Choose a template to customize";"Özelleştirmek için bir tema seçin"
"Choose your colors";"Renklerinizi seçin"
"Choose your country";"Ülkenizi seçin"
"Choose your design";"Tasarımınızı seçin"
"Choose your font style";"Yazı tipi stilini seçin"
"Choose your homepage image";"Ana sayfanız için resim seçin......<span class=""bold""><a href=""gsgsgsg"">Yardım</a></span>"
"Choose your icons color";"İkonlarınızın renklerini seçin"
"Choose your layout";"Ekran planınızı değiştirin"
"Choose your template";"Temanızı seçin"
"Click here to download the source code:";"Kaynak kodu indirmek için buraya tıklayın:"
"Click here to send your certificate";"Sertifikanızı göndermek için buraya tıklayın"
Colors;Renkler
"Dashboard icon";"Yönetim paneli ikonu"
Deactivated;Pasifleştirildi
"Delete this page?";"Bu sayfa silinsin mi?"
Design;Dizayn
"Developer Accounts";"Geliştirici Hesapları"
"Device Information";"Aygıt Bilgileri"
"Discount zone description. Here your clients will be able to see the details of each discount";"İndirim tanımı.Müşterileriniz burda indirim detaylarını görebilir."
Domain;Domain
"Domain name";"Domain name"
Download;İndir
"Download our app previewer";"App önizleyicimizi indir"
"Drop your certificate here";"Sertifikanızı buraya sürükleyin"
"Edit my";Düzenle
"Edit the application ""%s""";"""% s"" uygulamasını Düzenle "
Editor;Editör
Education;Eğitim
Entertainment;Eğlence
"Extension not allowed, '%s' only";"Uzatma mümkün değil, yanlızca '%s'"
Features;Özellikler
Finance;Finans
"Food & Drink";"Yiyecek & İçecek"
"Fred W.";NKT
Games;Oyunlar
"General Information";"Genel Bilgi"
"General information";"Genel Bilgi"
"Global visits";"Global ziyaretler"
"Google Play Icon";"Google Play Ikonu"
"Google's Information";"Google'ın Bilgisi"
"Health & Fitness";"Sağlık & Fitnes"
"Here is our latest creation. What do you think?";"Son kreasyonumuz,ne düşünüyorsunuz?"
"Homepage preview";"Anasayfa önizleme"
"I don't have a Google developer account and I want to create one";"Google geliştirici hesabım yok ve bir tane oluşturmak istiyorum"
"I don't have an Apple developer account and I want to create one";"Apple geliştirici hesabım yok ve bir tane oluşturmak istiyorum"
"I have an Apple developer account";"Apple geliştirici hesabım var"
"I have an Google developer account";"Google geliştirici hesabım var"
"I let you publish my application under your Apple developer account";"Uygulamamı Apple geliştiri hesabınız altında yayınlamanıza izin veriyorum"
"I let you publish my application under your Google developer account";"Uygulamamı Google geliştiri hesabınız altında yayınlamanıza izin veriyorum"
Icons;İkonlar
Id;Id
"If you validate, your app's colors and background image will be replaced";"Eğer doğrularsanız, uygulamanızın renkleri ve arka plan görüntüsü değişecek"
"Installed application";"Yüklenmiş uygulamalar"
"Key Password";"Anahtar şifre"
Keywords;"Anahtar Kelimeler"
"Last name:";Soyad:
"Library icons";"Kütüphane ikonları"
Lifestyle;"Yaşam Tarzı"
"List of my applications";"Uygulamalarımın listesi"
"List of your applications";"Uygulamalarının listesi"
Loading;Yükleniyor
"Lock the entire application";"Uygulamayı kilitleyin"
"Love it <3";Beğeni<3
Main;Ana
"Manage icons";"İkonları yönetin"
Media;Media
Medical;Tıbbi
"Missing Information";"Eksik bilgi"
"Mobile Source Codes";"Mobil Kaynak Kodları"
"Mobile source codes";"Mobil Kaynak Kodları"
"Mobile website information";"Mobil web sitesi bilgileri"
"My QRCode";QRKodum
"My application in figures";"Rakamlarla Benim uygulamam"
Navigation;Navigasyon
News;Haberler
"One free coffee";"Bir ücretsiz kahve"
"Or go on your store<br />and look for ""Apps Company Previewer""";"Ya da mağzanızda gidin <br />""Uygulamalar şirket önizleyicisi"" de arayın"
"Page name:";"Sayfa adı"
"Percentage of returning customers";"Geri dönen müşterilerin yüzdesi"
"Photo & Video";"Poto & Video"
"Please enter a correct URL for the %s store";"Lütfen %s mağzası için doğru URL'yi girin"
"Please enter a subdomain.";"Lütfen bir subdomain girin."
"Please enter a valid URL";"Lütfen geçerli bir URL girin"
"Please enter a valid address";"Lütfen geçerli bir adres girin"
"Please enter a valid mobile website address.";"Geçerli bir mobil web sitesi adresi girin."
Preview;Önizleme
Productivity;Üretkenlik
Promote;Destekle
Publication;Yayın
"Publish the application";"Uygulamayı yayınla"
"Publish under our account";"Hesabımız altında yayınla"
"Ready ? Publish my app!";"Hazır?Uygulamamı yayınla!"
"Recommanded size:";"Gerekli boyut:"
Reference;Referans
"Remove this page from this folder?";"Bu sayfa bu dosyadan kaldırsın mı?"
"Scan this QR Code";"QR Kodu tara"
"Scan this QR Code:";"QR Kodu tara:"
"Secondary category";"İkincil Kategori"
"Secondary category<br />(Optional)";"İkincil Kategori</br>(Zorunlu değil)"
"Send here your iOS certificate to enable the push notifications for this application.";"Bu uygulama için push bildirimlerini etkinleştirmek için buradan iOS sertifikası gönder."
"Send you .pem certificate";".pem sertifikayı gönder"
"Show the applications waiting for publication only.";"Sadece yayın için bekleyen uygulamaları göster."
"Social Networking";"Sosyal Ağ"
Sports;Sporlar
"Startup image";"Başlangıç görüntüsü"
Status;Statü
"Store Password";"Mağza Şifresi"
"Store URL";"Mağza URL si"
"Stores Info";"Mağza bilgisi"
"The Bundle Id is required";"Paket Id gerekli"
"The QR Code is not available at this moment";"QR Kodu şu an için uygun değil"
"The application has been successfully saved";"Uygulama başarıyla kaydedildi"
"The application name";"Uygulama adı"
"The application's name cannot start with a number";"Uygulama adı numara ile başlayamaz"
"The description";Açıklama
"The description must be at least 200 characters";"Açıklama en az 200 karekter içermeli"
"The desktop icon";"Desktop ikonu"
"The entered bundle id is incorrect, it should be like: com.siberiancms.app";"Girilen paket kimliği yanlış, com.turkapp.appo gibi olmalı"
"The field is required";"Bu alan zorunlu"
"The file has been successfully uploaded";"Dosya başarıyla yüklendi"
"The following information are needed to download the source codes:<br />";"Aşağıdaki bilgiler kaynak kodlarını indirmek için gereklidir: <br />"
"The homepage image";"Ana sayfa resmi"
"The key cannot be empty.";"Anahtar boş birakılamaz"
"The key is already used by another application.";"Anahtar başka bir uygulama için kullanılmıştır"
"The keywords";"Anahtar Kelimeler"
"The main category";"Ana kategori"
"The startup image";"Başlangıç resmi"
"This application does not exist";"Bu uygulama mevcut değil"
"This application is visible on the front";"Bu uygulama görülür durumda"
"This key is already used by system features.";"Bu anahtar zaten sistem özellikleri tarafından kullanılıyor."
"This option enables you to set the currency used in your app";"Bu seçenek uygulamada kullanılan para birimini ayarlamanızı sağlar"
"This page will be displayed to mobile users to enable them to login and manage their account. It is automatically added when you use features which need user login.";"Bu sayfa mobil kullanıcıların hesaplarına girmek ve yönetmek için gösterilecektir.Kullanıcı girişi gerekli özellikleri kullandığınızda otomotik olarak eklenir."
"To be able to download source codes, please provide the following information:<br />";"Kaynak kodları indirmenin mümkün olabilmesi için, aşağıdaki bilgileri veriniz: <br />"
Travel;Seyahat
URL;URL
"URL Key";"URL Anahtarı"
"Use into all of your application's pages";"Uygulamanızın tüm sayfaları içine kullanın"
"Used points";"Kullanımış puanlar"
"User Information";"Kullanıcı bilgisi"
Utilities;Hizmetler
Version;Versiyon
Weather;Hava
"You already have sent a certificate.";"Sertifikayı gönderdiniz."
"You can download your QRCode by <a class=""f-bold"" href=""%s"">clicking here</a>";"QR kodunuzu <a class=""f-bold"" href=""%s"">yükleyebilirsiniz.</a>"
"You can't use this domain.";"Bu domain i kullanamazsınız."
"You don't have any applications yet";"Hiç uygulamanız yok"
"You have already sent a certificate";"Sertifikayı gönderdiniz."
"You have sent a certificate.";"Bir sertifika yolladınız."
"You have to create a Google account before publishing your application. <a href=""https://play.google.com/apps/publish/signup"" target=""_blank"">Click here to create one.</a>";"Başvurunuzu yayınlamadan önce bir Google hesabı oluşturmanız gerekir. <a href=""https://play.google.com/apps/publish/signup"" target=""_blank""> oluşturmak için burayı tıklayın. </a>"
"You have to create an Apple account before publishing your application. <a href=""https://developer.apple.com/register/index.action"" target=""_blank"">Click here to create one.</a>";"Başvurunuzu yayınlamadan önce bir Apple hesabı oluşturmanız gerekir. <a href=""https://developer.apple.com/register/index.action"" target=""_blank""> oluşturmak için burayı tıklayın. </a>"
"You haven't chosen any template yet";"Henüz bir tema seçmediniz"
"You may not delete a library icon";"Kütüphane ikonu silinemez"
"You must have published your application to access this feature";"Bu özelliğe erişmek için başvurunuz yayınlanmış olmalı"
"Your CNAME is properly set";"CNAME doğru ayarlanmamış"
"Your best customers";"En iyi müşterileriniz"
"Your customers in figures";"Rakamlarla müşterileriniz"
"Your domain key ""%s"" is not valid.";"Domain anahtarınız  ""%s"" geçerli değil."
"Your mobile address should not contain special characters";"Mobil adresiniz özel karakterler içermemelidir"
"Your pages";Sayfalarınız
"iOS Certificate";"iOS sertifikası"
"iPad Retina:";"iPad Retina:"
"iPhone 5 / 5S:";"iPhone 5 / 5S:"
"iPhone 6 Plus:";"iPhone 6 Plus:"
"iPhone 6:";"iPhone 6:"
"iPhone Version";"iPhone Versiyonu"
icon;ikon
logo;logo
times;kez
"%d Unread Message";"%d Okunmamış mesaj";
"%d Unread Messages";"%d Okunmamış mesajlar";
"Account";"Hesap";
"Change the password";"Şifreyi değiştir";
"Click to mark as not read";"Okunmamış olarak işaretle";
"Click to mark as read";"Okunmuş olarak işaretle";
"Create a user";"Yeni kullanıcı oluştur";
"Edit the account ""%s""";"""%s"" hesabını düzenle";
"Edit the user";"Kullanıcı düzenle";
"Enter your credentials:";"Kimlik bilgilerinizi girin:";
"List of backoffice accounts";"Backofis kullanıcıları listesi";
"List of the messages";"Mesajlar listesi";
"Login to your backoffice interface";"Backofis arabirimine giriş";
"People who are allowed to access the backoffice";"Backofis kullanmasına izin verilenler";
"Siberian CMS";"Siberian CMS";
"This account can't be deleted, it's the only one";"Bu hesap silinemez";"Bu hesap silinemez"
"User successfully deleted";"Kullanıcı başarıyla silindi";
"View Details";"Ayrıntıları görüntüle";
"Your new password";"Yeni şifreniz";
"Your password";"Şifreniz";
Booking details;Rezervasyon detayları
Booking details:;Rezervasyon detayları:
Booking subject:;Rezervasyon konusu:
Comment:;Yorum:
Date and time;Tarih ve zaman
Date and time:;Tarih ve zaman:
Email address:;Email adres:
Enter the location name and contact email:;Konumu adını ve iletişim e-posta girin:
First name / Last name;İsim / Soyisim
Here are his personal information:;Kişisel bilgileri:
Name:;İsim:
Nom du lieu :;Yer Adı:
People number:;Kişi No:
Phone number:;Tel No:
Please fill out the following fields: ;Aşağıdaki alanları eksiksiz doldurunuz:
Please fill out the following fields:<br />;Aşağıdaki alanları eksiksiz doldurunuz:<br />
Please, choose a store;Lütfen bir mağza seçin
Thank you for your request. We'll answer you as soon as possible.;İsteğiniz için teşekkür ederiz. En kısa sürede size cevap vereceğiz.
The booking information;Rezervasyon bilgisi
The booking informations;Rezervasyon bilgileri
The date and time of the booking;Rezervasyon tarih ve saati
The number of people;Insan sayısı
You have received a message for the booking of;Rezervasyon için bir mesaj aldınız
Your phone number or email address;Telefon numarası veya e-posta adresi
%s - All;%s – Tümü
Add a category;Bir kategori ekle
Add a format;Bir format ekle
All;Tümü
An error occurred while loading your product.;Ürün yüklenirken bir hata oluştu.
An error occurred while saving the category. Please try again later.;Kategori yüklenirken bir hata oluştu tekrar deneyin.
An error occurred while saving the product. Please try again later.;Ürün kaydedilirken bir hata oluştu yeniden deneyin.
An error occurred while saving the set meal. Please try again later.;Yemek kaydedilirken bir hata oluştu yeniden deneyin.
An error occurred while saving. One of your categories could not be identified.;Kaydedilirken bir hata oluştu. Kategorilerden biri tespit edilememiştir.
An error occurred while saving. One of your products could not be identified.;Kaydedilirken bir hata oluştu. Ürünlerinizin biri tespit edilememiştir.
Are you sure you want to delete this product?;Bu ürünü silmek istediğinize eminmisiniz?
Category;Kategori
Choose a category;Bir kategori seçin
Choose a subcategory;Bir alt kategori seçin
Click on a category to display sub-categories;Alt kategorileri görüntülemek için bir kategoriye tıklayın
Create a new product;Yeni bir ürün oluşturun
Does this product have many formats?;Bu ürünün diğer formatları var mı?
Edit the;Düzenle
Edit the product;Ürünü düzenle
Format;Format
Picture;Resim
Price;Fiyat
Product;Ürün
Product formats;Ürün formatları
Product name;Ürün ismi
Rules;Kurallar
Set meal successfully deleted.;Set yemek başarıyla silindi
Set meal successfully saved.;Set yemek basarıyla kaydedildi
Sub-category;Alt -Kategori
st;st
sub-category;Alt-kategori
.mp4 or .3gp format;.mp4 or .3gp format
Add ;Ekle
Add sections:;Bölümler ekleyin:
Address:;Adres:
Alignment:;Hizalama:
An error occurred while saving your page.;Sayfanız kaydedilirken bir hata oluştu.
Are you sure you want to delete this page?;Bu sayfayı silmek istediğinizden eminmisiniz?
Display address;Adresi göster
Display location button;Lokasyon gösterme düğmesi
Label;Etiket
Label:;Etiket:
Large;Geniş
Loading picture:;Resim yükle:
Make a search or enter the Youtube Url:;Youtube Url girin:
Medium;Orta
My Youtube video:;Youtube videolarım:
My video;Videom
No videos matching your selection;Seçiminizi eşleşen video yok
Page successfully deleted;Sayfa başarıyla silindi
Page successfully saved;Sayfa başarıyla kaydedildi
Podcast URL:;Podcast URL:
Select a button type:;Bir puton türü seçin:
Select a video type:;Bir video çeşidi seçin:
Small;Küçük
Video URL:;Video URL:
Your Podcast:;Podcast ınız:
"'Near me' radius (in km):";"'Yakınımda' yarıçap (km):"
"An error occurred while deleting this answer. Please try again later.";"Bu cevap silinirken bir hata oluştu. Daha sonra tekrar deneyiniz."
"Create a news:";"Bir haber oluşturun:"
"Hide this info";"Bu bilgiyi gizle"
"Information successfully deleted";"Bilgi başarıyla silindi"
"Information successfully hidden";"Bilgi başarıyla gizlendi"
"Information successfully saved";"Bilgi başarıyla kaydedildi"
"Information successfully shown";"Bilgi başarıyla gösterildi"
"Insert a";İliştir
"It will be visible only after validation by our team.";"Ekibimiz tarafından doğrulamadan sonra gösterilir olacaktır."
"My customers answers";"Müşteri cevapları"
"My customers' comments";"Müşteri yorumları"
"Near me";Yakınımda
"Near me settings";"Yakınımda ayarları"
"Near me' radius (in km):";"Yarıçap yakınımda (Km):"
Post;Posta
"Publishing date";"Yayın tarihi"
Radius;Yarıçap
"Radius must be a valid numeric value.";"Yarıçap numerik değer olmalı."
"Radius must be provided.";"Yarıçap belirtilmeli."
Recent;Enson
"Show this info";"Bu bilgiyi göster"
"There is no comment for this news";"Bu habere ait yorum bulunmuyor"
"Was flagged as inappropriate";"Uygunsuz olarak işaretlendi"
"You can't like more than once the same news";"Aynı haber için bir kereden fazla beğeni gönderemzsin"
"You need to be connected to create a post";"Bir yazı oluşturmak için internete bağlı olmanı gerekir"
"Your flag has successfully been notified";"Bayrağınız başarıyla bildirilmiştir"
"Your like has been successfully added";"Beğenin başarıyla eklendi"
"Your message has been successfully saved.";"Mesajınız başarıyla kaydedildi"
"Your post was successfully added";"Yazınız başarıyla eklendi "
An error occurred while saving your contact informations.;Iletişim bilgileri kaydedilirken bir hata oluştu.
An error occurred while sending your request. Please try again later.;İsteğiniz gönderilirken bir hata oluştu. Daha sonra tekrar deneyiniz.
And his phone number:;Telefonunu ekleyin:
Are you sure you want to remove the picture?;Bu resmi kaldırmak istediğinizden eminmisiniz?
City;Şehir
Contact information;İletişim bilgisi
Here is his email:;Email adresi:
Here is his message:;Mesajı:
Please enter properly the following fields: <br />;Aşağıdaki alanları doldurun: <br />
Twitter;Twitter
Website;Website
You have received a message from a contact:;Bir kişiden bir mesaj aldınız:
Your email;Email adresiniz:
Your message has been sent;Mesajınız gönderildi
Your request;Ricanız
Zip code;Posta kodu
%s - Account creation;%s – Hesap oluşturma
%s - Your new password;%s – Yeni şifreniz
A request to reset your password has been made.;Şifrenizi sıfırlamak için bir istek yapılmıştır.
An error occurred while connecting to your Facebook account. Please try again later;Facebook hesabınıza bağlanırken bir hata oluştu. Daha sonra tekrar deneyiniz
Are you sure you want to remove this user?;Bu kullanıcıyı kaldırmak istediğinizden emin misiniz?
Change Password;Şifreyi değiştir
Congratulations,;Tebrikler,
Create;Oluştur
Create a new user;Yeni kullanıcı oluştur
Create an account;Hesap oluştur
Customer;Müşteri
Customers;Müşteriler
Disconnect;Bağlantı yok
Edit the user %s;%s kullanıcıyı düzenle
First name;Adı
Forgot your password?;Şifrenizi mi unuttunuz?
Gender;Cinsiyet
Here are your credentials:;Kimlik bilgileriniz:
I accept the <u>privacy policy</u>;Gizlilik politikasını <u>kabul ediyorum</u>
If you encounter any problems, do not hesitate to contact us:;Eğer herhangi bir sorunla karşılaşırsanız, lütfen bizimle irtibata geçmekten çekinmeyin:
Last name;Soyad
Login:;Giriş:
Miss;Bayan
Mr;Bayan
Mrs;Bay
My Account;Hesabım
My application's users;Uygulama kullanıcıları
Old Password;Önceki şifre
Or with your account;ya da senin hesabınla
Please enter your email address. We'll send you your password right now.;E-posta adresinizi girin. Size şifrenizi göndereceğiz.
Please log in with your mobile phone;Cep telefonu ile Giriş Yapın
Privacy Policy;Gizlilik Politikası
See you soon,;Yakında görüşürüz,
Show me in ranking;Sıralamamı göster
The old email address does not match the entered email address.;Eski e-posta adresi girdiğiniz e-posta adresi ile eşleşmiyor.
"This user can access the pages locked by the ""Locker"" feature";"Bu kullanıcı ""Locker"" özelliği ile kilitli sayfaları erişebilir"
This user is visible in ranking;Bu kullanıcı sıralamasında görünür
User;Kullanıcı
Users;Kullanıcılar
User Information;Kullanıcı bilgisi
We are sorry but the %s account is already linked to one of our customers;Üzgünüz ancak% s hesap müşterilerimizin birine bağlıdır
You have created your account. With this account, you will be able to enjoy great offers available in our application.;Hesabınızı oluşturduk.Bu hesapla mevcut tüm fonksiyonları kullanabilirsiniz.
Your account has been successfully saved;Hesabınız başarıyla kaydedildi
"%s ago";"%s önce"
"404, page not found";"404, sayfa bulunamadı"
"APIs";"API ler"
"Accounts";"Hesaplar"
"Actions";"Eylemler"
"Add";"Ekle"
"Add a";"Ekle"
"Add image";"Resim ekle"
"Address";"Adres"
"All items";"Tüm ögeler"
"An error occurred during process. Please try again later.";"İşlemi sırasında bir hata oluştu. Daha sonra tekrar deneyiniz."
"An error occurred during the process. Please try again later.";"İşlemi sırasında bir hata oluştu. Daha sonra tekrar deneyiniz."
"An error occurred while loading places.";"Yerleri yüklerken bir hata oluştu."
"An error occurred while loading. Please try again later.";"Yüklenirken bir hata oluştu. Daha sonra tekrar deneyiniz."
"An error occurred while loading. Please, try again later.";"Yüklenirken bir hata oluştu. Daha sonra tekrar deneyin."
"An error occurred while saving";"Kaydedilirken bir hata oluştu"
"An error occurred while saving your account. Please try again later.";"Hesabınızı kaydedilirken bir hata oluştu. Daha sonra tekrar deneyiniz."
"An error occurred while saving your picture. Please try againg later.";"Resminiz kaydedilirken bir hata oluştu. Daha sonra tekrar deneyiniz."
"An error occurred while saving. Please try again later.";"Kaydedilirken bir hata oluştu. Daha sonra tekrar deneyiniz."
"An error occurred while saving. Please, try again later.";"Kaydedilirken bir hata oluştu. Daha sonra tekrar deneyin."
"An error occurred while uploading your file. Please, try again later.";"Dosyanızı yüklenirken bir hata oluştu. Daha sonra tekrar deneyin."
"An unexpected error occurred while calculating the route.";"Rota hesaplanırken beklenmeyen bir hata oluştu."
"Appearance";"Görünüm"
"Application";"Uygulama"
"Application Name";"Uygulama adı"
"Applications";"Uygulamalar"
"Are you sure you want to delete this element?";"Bu öğeyi silmek istediğinizden emin misiniz?"
"Are you sure you want to remove this account?";"Bu hesabı kaldırmak istediğinize emin misiniz?"
"Authentication failed. Please check your email and/or your password";"Kimlik doğrulama başarısız oldu. E-posta adresinizi ve / veya şifrenizi kontrol edin"
"Back";"Geri"
"Background";"Background"
"Browse";"Browse"
"Can only be used once";"Sadece bir kez kullanılabilir"
"Cancel";"İptal"
"Cart";"Sepet"
"Change password";"Şifreyi değiştir"
"City";"Şehir"
"City:";"Şehir:"
"Close";"Kapat"
"Comment";"Yorum"
"Comments";"Yorumlar"
"Communication";"İletişim"
"Company";"Şirket"
"Coms";"Coms"
"Conditions";"Koşullar"
"Confirm Password";"Şifreyi doğrula"
"Confirm new password";"Yeni şifreyi doğrula"
"Contact successfully added to your address book";"Kontak başarıyla adres defterinize eklendi"
"Country";"Ülke"
"Create";"Oluştur"
"Create a new account";"Yeni bir hesap oluştur"
"Created at";"de oluşturuldu"
"Currency";"Para birimi"
"Current password";"Mevcut şifre"
"Dashboard";"Yönetim Paneli"
"Date of birth";"Doğum tarihi"
"Date of birth:";"Doğum tarihi"
"Default Languages";"Birincil dil"
"Delete";"Sil"
"Description";"Açıklama"
"Description:";"Açıklama:"
"Details";"Detaylar"
"Edit";"Düzenle"
"Editing";"Düzenleme"
"Email";"Email"
"Email address";"Email adresi"
"Email:";"Email:"
"End at";"de bitti"
"Error : <br/>";"Hata : <br/>"
"Errors : <br/>";"Hatalar : <br/>"
"Export your customers";"Müşterilerinizi dışarı aktarın"
"Extension not allowed, '%s' only";"Uzatma izin verilmiyor,sadece '%s'"
"Facebook";"Facebook"
"Firstname";"Adı"
"Firstname:";"Adi:"
"Forgot your password ?";"Şifrenizi mi unuttunuz?"
"Forgot your password? Don't worry! Simply enter your email address and we'll send you a new one right now.";"Şifrenizi mi unuttunuz? Üzülmeyin! E-posta adresini girin ,size bir yenisini göndereceğiz."
"General";"Genel"
"Hello,";"Merhaba,"
"Here is your new password:";"Yeni şifreniz:"
"How do you want to access the backoffice if you remove the only user remaining?";"Bu hesap silinemez"
"ID";"ID"
"Image not high enough, %spx minimum allowed.";"Resim yüksekliği yeterli değil,en az %spx olmalı."
"Image not large enough, %spx minimum allowed.";"Resim eni yeterli değil,en az %spx olmalı."
"Image not large enough, '%s' allowed.";"Resim yeterince büyük değil,izin verilen '%s'"
"Image too high, %spx maximum allowed.";"Resim yüksekliği çok fazla,en fazla %spx olmalı."
"Image too large, %spx maximum allowed.";"Resim çok büyük, en fazla %spx olmalı."
"Image too large, '%s' allowed.";"Resim çok büyük,izin verilen büyüklük '%s'."
"In order to fully enjoy our features, we encourage you to use at least:.<br />";"Uygulamanızı etkin kullanmanız için  önerdiğimiz minimum özellik adedi:<br />"
"In order to publish your application, we need:<br />- ";"Uygulamanızı yayınlayabilmemiz için gerekenler:<br />- "
"Incorrect filetype.";"Yanlış dosya türü,"
"Info successfully saved";"Bilgi başarıyla kaydedildi"
"Information";"Bilgi"
"Infos successfully saved";"Bilgi başarıyla kaydedildi"
"Insert a <br /><span class=""bold"">cover image</span>";"Bir kapak resmi <br /><span class=""bold"">yükleyin</span>"
"Invalid place";"Geçersiz yer"
"Invoices";"Faturalar"
"Last Name";"Soy Ad"
"Lastname";"Soyad"
"Lastname:";"Soyad:"
"Like";"Beğen"
"Likes";"Beğeniler"
"Link";"Link"
"Load More";"Daha fazla yükle"
"Locate";"Yerleştir"
"Location:";"Lokasyon:"
"Log in";"Oturum Aç"
