"%s - Customer Service";"%s - Zákaznický servis"
"Hours of operation";"Provozní doba"
"Hours of operation:";"Provozní doba:"
"In store";"V obchodě/skladu"
"Meal Voucher";Stravenky
"Minimum order";"Minimální objednávka"
"Minimum order:";"Minimální objednávka:"
"My Cart";"Můj košík"
"My cart is empty";"Košík je prázdný"
"My categories";Kategorie
"My information";Informace
"My orders";Objednávky
"My product's categories";"Produktové kategorie"
"My product's options";"Produkty - možnosti"
"My products";Produkty
"My stores";Obchody/sklady
"My taxes";Daně
"Name of the options group:";"Název skupiny formátů"
"New order from the application";"Nová objednávka z mobilní aplikace"
Number;Číslo
"Option name";"Název formátu"
"Option name:";"Název formátu:"
"Options group successfully deleted";"Skupina formátů byla smazána"
"Options group successfully saved";"Skupina formátů byla uložena"
"Order Number";"Číslo objednávky"
"Order confirmation";"Potvrzení objednávky"
"Order details";"Detail objednávky"
"Order successfully saved";"Objednávka byla úspěšně uložena"
Orders;Objednávky
Paid;Zaplaceno
Password;Heslo
Password:;Heslo:
Payment;Platba
"Payment Method";"Způsob platby"
"Payment methods:";"Způsob platby:"
Paypal;Paypal
"Pending payment";"Nevyřízená platba"
Picture;Obrázek
"Please choose a delivery method";"Prosím, vyberte způsob doručení"
"Please choose a payment method";"Prosím, vyberte způsob platby"
"Please, enter an email address for the store %s";"Prosím, zadejte e-mailovou adresu pro obchod/sklad %s"
Price;Cena
"Price: %s";"Cena: %s"
"Printer successfully saved";"Tiskárna byla úspěšně uložena"
Proceed;Pokračovat
Product;Produkt
"Product name";"Název produktu"
"Product name:";"Název produktu:"
"Product successfully saved";"Produkt úspěšně uložen"
Qty;Množství
"Qty: %s";"Množství: %s"
"Radius in Km";"Okruh v km"
Review;?Shrnutí?
Settings;Nastavení
Signature;Podpis
Signature:;Podpis:
Status;Status
"Store information";"Informace o obchodu/skladu"
"Store name";"Název obchodu/skladu"
"Store name:";"Název obchodu/skladu:"
"Store successfully deleted";"Obchod/sklad úspěšně smazán"
"Store successfully saved";"Obchod/sklad úspěšně uložen"
Stores;Obchody/sklady
Subtotal;Mezisoučet
Tax;Daň
"Tax name";"Název daně"
"Tax name:";"Název daně:"
"Tax rate";"Sazba daně"
"Tax rate:";"Sazba daně:"
"Tax successfully deleted";"Daň úspěšně smazána"
"Tax successfully saved";"Daň úspěšně uložena"
Tax:;Daň:
"Thank you!";Děkujeme!
"The delivery method";"Způsob doručení"
"The following options are required:<br />%s";"Následující formáty jsou vyžadovány: <br />%s"
"The option %s is required";"Formát %s je vyžadován"
"The payment has been cancelled, something wrong happened? Feel free to contact us";"Platba byla zrušena, stalo se něco? Neváhejte nás kontaktovat"
"The payment method";"Způsob platby"
"Time in minutes";"Čas v minutách"
Total;Celkem
"Total Excl. Tax";"Celkem bez DPH"
"Total Tax";"Celkové DPH"
"Total: %s";"Celkem: %s"
"Unit Price";"Jednotková cena"
"Unit price";"Jednotková cena"
Username;"Uživatelské jméno"
Username:;"Uživatelské jméno:"
"We apologize but the payment method %s is currently not available";"Omlouváme se, ale způsob platby %s není v současné době k dispozici"
"We thank you for your order. A confirmation email has been sent";"Děkujeme Vám za Vaši objednávku. Potvrzovací e-mail byl odeslán"
"You don't have any categories yet";"Zatím nemáte žádné kategorie"
"You have a connected printer? Enter the email address";"Máte připojenou tiskárnu? Zadejte e-mailovou adresu"
"You have a connected printer? Enter the email address for each store";"Máte připojenou tiskárnu? Zadejte e-mailovou adresu pro každý obchod/sklad"
"Your address";"Vaše adresa"
"Your email address";"Vaše e-mailová adresa"
"Your firstname";"Vaše křestní jméno"
"Your lastname";"Vaše příjmení"
"Your phone number";"Vaše telefonní číslo"
"e.g., Sauces";"např. Velikosti"
﻿Cancelled;Zrušeno
