%s - Your new password;%s - Sua nova senha
Send here your iOS certificate to enable the push notifications for this application.;Envie aqui o seu certificado iOS para permitir as notificações push para este aplicativo.
Send you .pem certificate;Envie você o certificado .pem
Show the applications waiting for publication only.;Mostrar os aplicativos que esperam apenas a publicação.
Startup image;Imagem de Ínicio
Status;Status
Store Password;Senha Loja
Store URL;URL Loja
Stores Info;Info Loja
To be able to download source codes, please provide the following information:<br />;Para ser capaz de baixar os códigos-fonte, por favor, forneça as seguintes informações:<br />
The application's name cannot start with a number;O nome do aplicativo não pode começar com um número
The Bundle Id is required;A Bundle Id é necessária
The QR Code is not available at this moment;O QR Code não está disponível neste momento
The application has been successfully saved;O aplicativo foi salvo com sucesso
The application name;O nome do aplicativo
The description;Descrição
The description must be at least 200 characters;A descrição deve ser de pelo menos 200 caracteres
The desktop icon;Ícone Área de Trabalho
The entered bundle id is incorrect, it should be like: com.siberiancms.app;O bundle id introduzido é incorreto, ele deve ser como: com.citrinoapp.app
The field is required;O campo é obrigatório
The file has been successfully uploaded;O arquivo foi enviado com sucesso
The following information are needed to download the source codes:<br />;As informações a seguir são necessárias para fazer o download dos códigos-fonte:<br />
The homepage image;Imagem da Homepage
The key cannot be empty.;A chave não pode estar vazia.
The key is already used by another application.;A chave já está sendo usada por outro aplicativo.
The keywords;As chaves
The main category;A categoria principal
The startup image;A Imagem de início
This application does not exist;Este aplicativo não existe
This application is visible on the front;Este aplicativo é visível na parte frontal
This option enables you to set the currency used in your app;Esta opção permite que você defina a moeda usada em seu aplicativo
This page will be displayed to mobile users to enable them to login and manage their account. It is automatically added when you use features which need user login.;Esta página será exibida para usuários móveis permitindo identificar e gerir a sua conta. Acrescenta-se automaticamente quando você usar os recursos que necessitam de Login de usuário.
URL;URL
URL Key;Chave URL
Use into all of your application's pages;Use em todas as páginas do seu aplicativo
Used points;Pontos Utilizados
User Information;Informações Usuário
Version;Versão
You already have sent a certificate.;Você já enviou um certificado.
"You can download your QRCode by <a class=""f-bold"" href=""%s"">clicking here</a>";"Você pode fazer o download do QRCode por <a class=""f-bold"" href=""%s"">clicando aqui</a>"
You don't have any applications yet;Você não tem nenhum aplicativo ainda
You have already sent a certificate;Você já enviou um certificado
You have sent a certificate.;Enviou um certificado.
You haven't chosen any template yet;Você não escolheu nenhum template ainda
You may not delete a library icon;Você não pode excluir um ícone da biblioteca
You must have published your application to access this feature;Você deve publicar o seu aplicativo para acessar esta funcionalidade
Your CNAME is properly set;Seu CNAME está configurado corretamente
Your best customers;Seus melhores clientes
Your customers in figures;Seus clientes em números
Your mobile address should not contain special characters;O seu endereço móvel não deve conter caracteres especiais
Your pages;Suas páginas
iOS Certificate;iOS Certificado
iPad Retina:;iPad Retina:
iPhone 5 / 5S:;iPhone 5 / 5S:
iPhone 6 Plus:;iPhone 6 Plus:
iPhone 6:;iPhone 6:
iPhone Version;Versão Iphone
icon;ícone
logo;logo
times;vezes
"%d Unread Message";"%d Mensagem não lida"
"%d Unread Messages";"%d Mensagens não-lidas"
"Account";"Conta"
"Change the password";"Alterar a senha"
"Click to mark as not read";"Clique aqui para marcar como não lida"
"Click to mark as read";"Clique aqui para marcar como lida"
"Create a user";"Criar um usuário"
"Edit the account ""%s""";"Editar a conta ""%s"""
"Edit the user";"Editar o usuário"
"Enter your credentials:";"Inserir suas credenciais:"
"List of backoffice accounts";"Lista de contas de backoffice"
"List of the messages";"Lista das mensagens"
"Login to your backoffice interface";"Entre na sua interface de backoffice"
"People who are allowed to access the backoffice";"As pessoas que têm permissão para acessar o backoffice"
"Siberian CMS";"Siberian CMS"
"This account can't be deleted, it's the only one";"Esta conta não pode ser excluída, ele é a única"
"User successfully deleted";"Usuário excluído com sucesso"
"View Details";"Ver Detalhes"
"Your new password";"Sua nova senha"
"Your password";"Sua senha"
Booking details;Detalhes da Reserva
Booking details:;Detalhes da Reserva:
Booking subject:;Assunto Reserva:
Comment:;Comentário:
Date and time;Data e hora
Date and time:;Data e hora:
Email address:;Endereço de email:
Enter the location name and contact email:;Digite o nome do local e do e-mail:
First name / Last name;Nome / Sobrenome
Here are his personal information:;Aqui estão suas informações pessoais:
Name:;Nome:
Nom du lieu :;Localização:
People number:;Número de Pessoas:
Phone number:;Telefone:
Please fill out the following fields: ;Por favor, preencha os campos a seguir:
Please fill out the following fields:<br />;Por favor, preencha os campos a seguir:<br />
Please, choose a store;Por favor, escolha 1 de nossas lojas.
Thank you for your request. We'll answer you as soon as possible.;Obrigado pelo seu pedido. Nós vamos responder-lhe logo que possível.
The booking information;Informações da Reserva
The booking informations;Informações da Reserva
The date and time of the booking;A data e hora da reserva
The number of people;O número de pessoas
You have received a message for the booking of;Você recebeu mensagem de Reserva
Your phone number or email address;O seu número de telefone ou endereço de e-mail
%s - All;%s - Todos
Add a category;Adicionar uma categoria
Add a format;Adicionar um formato
All;Todos
An error occurred while loading your product.;Ocorreu um erro ao carregar o seu produto.
An error occurred while saving the category. Please try again later.;Ocorreu um erro ao salvar a categoria. Por favor, tente novamente mais tarde.
An error occurred while saving the product. Please try again later.;Ocorreu um erro ao salvar o produto. Por favor, tente novamente mais tarde.
An error occurred while saving the set meal. Please try again later.;Ocorreu um erro ao salvar a refeição. Por favor, tente novamente mais tarde.
An error occurred while saving. One of your categories could not be identified.;Ocorreu um erro ao salvar. Uma de suas categorias pode não ter sido aprovada.
An error occurred while saving. One of your products could not be identified.;Ocorreu um erro ao salvar. Um de seus produtos pode não ter sido aprovado.
Are you sure you want to delete this product?;Tem certeza de que deseja excluir este produto?
Category;Categoria
Choose a category;Alterar a categoria
Choose a subcategory;Alterar a sub-categoria
Click on a category to display sub-categories;Clique em uma categoria para exibir suas sub-categorias
Create a new product;Criar um novo produto
Does this product have many formats?;Será que este produto tem muitos formatos?
Edit the;Edite o
Edit the product;Editar o produto
Format;Formato
Picture;Imagem
Price;Preço
Product;Produto
Product formats;Formatos produto
Product name;Nome produto
Rules;Regras
Set meal successfully deleted.;Definição de refeição excluída com sucesso.
Set meal successfully saved.;Definição de refeição salva com sucesso.
Sub-category;Sub-categoria
st;st
sub-category;sub-categoria
.mp4 or .3gp format;.mp4 or .3gp formato
Add ;Adicionar
Add sections:;Adicionar seções:
Address:;Endereço:
Alignment:;Alinhamento:
An error occurred while saving your page.;Ocorreu um erro ao salvar a sua página.
Are you sure you want to delete this page?;Tem certeza de que deseja deltar esta página?
Display address;Exibir endereço
Display location button;Exibir botão de localização
Label;Etiqueta
Label:;Etiqueta:
Large;Grande
Loading picture:;Carregando imagem:
Make a search or enter the Youtube Url:;Faça uma busca ou entre na URL do Youtube:
Medium;Médio
My Youtube video:;Meu vídeo Youtube:
My video;Meu vídeo
No videos matching your selection;Não há nenhum vídeo que corresponda à sua seleção
Page successfully deleted;Página excluída com sucesso
Page successfully saved;Página salva com sucesso
Podcast URL:;Podcast URL:
Select a video type:;Escolha um dos tipos de vídeo:
Small;Pequeno
Video URL:;Vídeo URL:
Your Podcast:;Seu Podcast:
An error occurred while deleting this answer. Please try again later.;Ocorreu um erro ao excluir esta resposta. Por favor, tente novamente mais tarde.
Create a news;Criar uma notícia
Hide this info;Ocultar esta informação
Information successfully deleted;Informação excluída com sucesso
Information successfully hidden;Informação oculta com sucesso
Information successfully saved;Informações salvas com sucesso
Information successfully shown;Informações apresentadas com sucesso
Insert a;Insira um
It will be visible only after validation by our team.;Ele será visível apenas após a validação pela nossa equipe.
My customers answers;Respostas de meus clientes
Publishing date;Data Publicação
Show this info;Mostrar esta informação
There is no comment for this news;Não há nenhum comentário para esta notícia
You can't like more than once the same news;Você só pode curtir a notícia uma vez
Your like has been successfully added;Sua curtida foi adicionada com sucesso.
Your message has been successfully saved.;Sua mensagem foi salva com sucesso.
An error occurred while saving your contact informations.;Ocorreu um erro ao salvar suas informações de contato.
An error occurred while sending your request. Please try again later.;Ocorreu um erro ao enviar o seu pedido. Por favor, tente novamente mais tarde.
And his phone number:;E o seu número de telefone:
Are you sure you want to remove the picture?;Tem certeza de que deseja remover a imagem?
City;Cidade
Contact information;Informação de Contato
Here is his email:;Aqui é o seu email:
Here is his message:;Aqui é a sua mensagem:
Please enter properly the following fields: <br />;Digite corretamente os seguintes campos: <br />
Twitter;Twitter
Website;Site
You have received a message from a contact:;Você recebeu uma mensagem de um contato:
Your email;Seu e-mail
Your message has been sent;Sua mensagem foi enviada com sucesso
Your request;O seu pedido
Zip code;CEP
%s - Account creation;%s - Criação de Conta
%s - Your new password;%s - Sua nova senha
A request to reset your password has been made.;A solicitação para redefinir sua senha foi feita.
An error occurred while connecting to your Facebook account. Please try again later;Ocorreu um erro ao se conectar à sua conta do Facebook. Por favor, tente novamente mais tarde
Are you sure you want to remove this user?;Tem certeza de que deseja remover este usuário?
Change Password;Alterar Senha
Congratulations,;Parabéns,
Create;Criar
Create a new user;Criar um novo usuário
Create an account;Criar uma conta
Customer;Cliente
Customers;Clientes
Disconnect;Desconectar
Edit the user %s;Editar o usuário %s
First name;Nome
Forgot your password?;Esqueceu sua senha?
Gender;Gênero
Here are your credentials:;Aqui estão as suas credenciais:
I accept the <u>privacy policy</u>;Eu aceito a <u>política de privacidade</u>
If you encounter any problems, do not hesitate to contact us:;Se você encontrar algum problema, não hesite em contactar-nos:
Last name;Sobrenome
Login:;Login:
Miss;Senhorita
Mr;Senhor
Mrs;Senhora
My Account;Minha Conta
My application's users;Usuários do meu aplicativo
Old Password;Senha Antiga
Or with your account;Ou com a sua conta
Please enter your email address. We'll send you your password right now.;Digite seu endereço de e-mail. Vamos enviar-lhe sua senha agora.
Please log in with your mobile phone;Por favor, faça o login com o seu celular
Privacy Policy;Política de Privacidade
See you soon,;Te vejo em breve,
Show me in ranking;Mostre-me no ranking
The old email address does not match the entered email address.;O endereço de e-mail antigo não corresponde ao endereço de e-mail inserido.
"This user can access the pages locked by the ""Locker"" feature";"Este usuário pode acessar as páginas bloqueadas pelo recurso ""Cadeado"""
This user is visible in ranking;Este usuário é visível no ranking
User;Usuário
Users;Usuários
User Information;Informação Usuário
We are sorry but the %s account is already linked to one of our customers;Lamentamos, mas a %s conta já pertence a um dos nossos clientes
You have created your account. With this account, you will be able to enjoy great offers available in our application.;Você criou sua conta. Com esta conta, você será capaz de desfrutar de grandes ofertas disponíveis em nossa aplicativo.
Your account has been successfully saved;Sua conta foi criada com sucesso
%d Unread Messages;%d Mensagens não lidas
404, page not found;404, página não encontrada
APIs;APIs
Accounts;Contas
Action;Ação
Actions;Ações
Add;Adicionar
Add a;Adicionar um
"Add<br /><span class=""bold"">Pictures</span>";"Adicionar<br /><span class=""bold"">Imagens</span>"
"Add an <br /><span class=""bold"">image</span>";"Adicionar uma <br /><span class=""bold"">imagem</span>"
Address;Endereço
All items;Todos os Itens
An error occurred during process. Please try again later.;Ocorreu um erro durante o processo. Por favor, tente novamente mais tarde.
An error occurred during the process. Please try again later.;Ocorreu um erro durante o processo. Por favor, tente novamente mais tarde.
An error occurred while loading. Please try again later.;Ocorreu um erro ao carregar. Por favor, tente novamente mais tarde.
An error occurred while loading. Please, try again later.;Ocorreu um erro ao carregar. Por favor, tente novamente mais tarde.
An error occurred while saving;Ocorreu um erro ao salvar
An error occurred while saving your account. Please try again later.;Ocorreu um erro ao salvar a sua conta. Por favor, tente novamente mais tarde.
An error occurred while saving your picture. Please try againg later.;Ocorreu um erro ao salvar a sua imagem. Por favor, tente novamente mais tarde.
An error occurred while saving. Please try again later.;Ocorreu um erro ao salvar. Por favor, tente novamente mais tarde.
An error occurred while saving. Please, try again later.;Ocorreu um erro ao salvar. Por favor, tente novamente mais tarde.
An error occurred while uploading your file. Please, try again later.;Ocorreu um erro durante o upload do seu arquivo. Por favor, tente novamente mais tarde.
Appearance;Aparência
Application;Aplicativo
Application Name;Nome Aplicativo
Applications;Aplicativos
Are you sure you want to delete this element?;Tem certeza de que deseja excluir este elemento?
Are you sure you want to remove this account?;Are you sure you want to remove this account?
Authentication failed. Please check your email and/or your password;Falha na autenticação. Por favor, verifique seu e-mail e/ou sua senha
Back;Voltar
Browse;Procurar
Can only be used once;Pode ser usado apenas uma vez
Cancel;Cancelar
Cart;Carrinho
Catalog;Catálogo
Category;Categoria
Change password;Alterar senha
City;Cidade
City:;Cidade:
Close;Fechar
close;fechar
Comment;Comentário
Comments;Comentários
Communication;Comunicação
Company;Empresa
Coms;Coms
Conditions;Condições
Confirm Password;Confirmar senha
Confirm new password;Confirmar nova senha
Country;País
Country:;País:
Create;Criar
Create a new account;Criar uma nova conta
Created at;Criado em
Created at:;Criado em:
Currency;Moeda
Current password;Senha atual
Dashboard;Painel de Controle
Date;Data
day;dia
days;dias
Default Languages;Idiomas padrões
Delete;Deletar
Description;Descrição
Description:;Descrição:
Details;Detalhes
Edit;Editar
Editing;Edição
Email;E-mail
Email address;Endereço de e-mail
Email:;E-mail:
End at;Terminar em
Error : <br/>;Erro : <br/>
Errors : <br/>;Erros : <br/>
Export your customers;Exportar seus clientes
Extension not allowed, '%s' only;Extensão não permitida, '%s' somente
Facebook;Facebook
Firstname;Nome
Firstname:;Nome:
Forgot your password ?;Esqueceu sua senha ?
Forgot your password? Don't worry! Simply enter your email address and we'll send you a new one right now.;Esqueceu sua senha? Não se preocupe! Basta digitar o seu endereço de e-mail e nós lhe enviaremos uma senha nova.
General;Geral
Hello,;Olá,
Here is your new password:;Aqui está a sua nova senha:
hour;hora
hours;horas
How do you want to access the backoffice if you remove the only user remaining?;Como você deseja acessar o backoffice se você remover o único usuário restante?
ID;ID
Image not high enough, %spx minimum allowed.;Imagem não é alta o suficiente, %spx mínimo permitido.
Image not large enough, %spx minimum allowed.;Imagem não é grande o suficiente, %spx mínimo permitido.
Image not large enough, '%s' allowed.;A imagem não é grande o suficiente, '%s' permitidos.
Image successfully saved;Imagem salva com sucesso
Image too high, %spx maximum allowed.;Imagem muito alta, %spx máximo permitido.
Image too large, %spx maximum allowed.;Imagem muito grande, %spx máximo permitido.
Image too large, '%s' allowed.;Imagem muito grande, '%s' permitidos.
In order to fully enjoy our features, we encourage you to use at least:.<br />;A fim de desfrutar plenamente os nossos recursos, nós encorajamos você a usar, pelo menos:.<br />
In order to publish your application, we need:<br />- ;Para publicar seu aplicativo, é preciso:<br />- 
Incorrect filetype.;Tipo de arquivo incorreto.
Info successfully saved;Informações salvas com sucesso
Information;Informações
Infos successfully saved;Informações salvas com sucesso
"Insert a <br /><span class=""bold"">cover image</span>";"Insira uma <br /><span class=""bold"">imagem de capa</span>"
Invoice %s;Fatura %s
Invoices;Invoices
Last Name;Sobrenome
Lastname;Sobrenome
Lastname:;Sobrenome:
Latitude;Latitude
Latitude:;Latitude:
Like;Curtir
Likes;Curtidas
Link;Link
Load more;Leia mais
loading;carregamento
Locate;Localizar
Location:;Localização:
Log in;Log in
Log-in;Log-in
Log-out;Sair
Logged in as;Logado como
Login;Login
Longitude;Longitude
Longitude:;Longitude:
minute;minuto
minutes;minutos
MM/dd/y;MM/dd/y
MM/dd/y 'at' hh:mm a;MM/dd/y 'at' hh:mm a
MM/dd/y hh:mm a;MM/dd/y hh:mm a
MM/dd/yy;MM/dd/yy
MM/dd/yyyy;MM/dd/yyyy
MM,d yy;MM,d yy
MMMM dd y;MMMM dd y
Never;Nunca
No;Não
Main category;Categoria principal
Make this image colorizable;Marque esta imagem como colorizável
Manage;Gerenciar
Maps;Mapas
Message from your app %s;Mensagem do seu aplicativo %s
Messages;Mensagens
Modules;Módulos
More;Mais
My account;Minha conta
My invoices;Minhas faturas
My Invoices;Minhas faturas
Name;Nome
New;Novo
No file found.;Nenhum arquivo encontrado.
Nothing to display;Nada para exibir
Number;Número
OK;OK
OR;OU
Ouch, this page doesn't exist;Oops, esta página não existe.
Password;Senha
Password:;Senha:
Passwords don't match;As senhas não coincidem
Phone;Telefone
Phone:;Telefone:
Picture%s;Imagem%s
Plans;Planos
Platform Name;Nome da Plataforma
Player;Player
Please, enter a date greater than today;Por favor, insira uma data maior do que hoje
Please enter a password;Por favor, insira uma senha
Please enter a valid email address;Por favor insira um endereço de e-mail válido
Please enter a valid url;Digite uma URL válida
Please enter your email address;Digite seu endereço de e-mail
Please fill in the following fields:;Por favor, preencha os seguintes campos:
Please log in.;Por favor faça login.
Please, enter a correct email address.;Por favor, insira um endereço de e-mail correto.
Please, enter a password.;Por favor, insira uma senha.
Please, enter a valid date;Por favor, insira uma data válida
Podcast;Podcast
Podcast type is invalid or can't be found;Tipo de Podcast é inválido ou não pode ser encontrado
Podcast URL (iTunes format);Podcast URL (iTunes formato)
Postcode;CEP
Postcode:;CEP:
Price:;Preço:
Push;Push
Required fields;Campos obrigatórios
Resize your picture;Redimensionar a sua imagem
Resize your picture:;Redimensionar a sua imagem:
SEND;ENVIAR
Save;Salvar
Search;Pesquisa
second;segundo
seconds;segundos
Select a country;Selecionar um país
Select all;Selecionar todos
Send;Enviar
Send your pictures;Enviar suas imagens
Settings;Configurações
Size:;Tamanho:
Street;Rua
Street:;Rua:
Subscriptions;Assinaturas
Support;Suporte
Support Link;Link suporte
Tax;Imposto
Taxes;Impostos
Text;Texto
The account has been successfully saved;A conta foi salva com sucesso
The email is required;O e-mail é obrigatório
The file '%s' does not exist;O arquivo '%s' não existe
The file %s does not exist;O arquivo %s não existe
The image '%s' does not exist;A imagem '%s' não existe
The image size '%s' could not be detected.;O tamanho da imagem '%s' não pôde ser detectada.
The old password does not match the entered password.;A senha antiga não coincide com a senha digitada.
The password is required;A senha é obrigatória
The password must be at least 6 characters;A senha deve ter pelo menos 6 caracteres
This administrator does not exist;Este administrador não existe
This email address is already used;Este endereço de e-mail já está sendo usado
This field is required;O campo é obrigatório
This user does not exist.;Este usuário não existe.
Timezone;Fuso horário
title;título
titles;títulos
Title;Título
Title:;Título:
Total;Total
Unknown;Desconhecido
Updated at;Atualizado em
Use this coupon;Utilize este cupom
User;Usuário
User successfully saved;Usuário salvo com sucesso
Username;Nome de usuário
Users;Usuários
Validate;Validar
VAT Number;VAT Número
Version %s;Versão %s
View;Ver
We are sorry but this address is already used.;Lamentamos, mas este endereço já está sendo usado.
We are sorry but this email address already exists.;Lamentamos, mas este endereço de e-mail já existe.
We are sorry but this feature is not available yet;Lamentamos, mas este recurso ainda não está disponível
Yes;Sim
You can upload a pem certificate only.;Você pode enviar apenas um certificado pem.
You can upload a zip archive only.;Você pode enviar apenas um arquivo zip.
You can upload an icon only (.ico and .png).;Você pode enviar apenas um ícone (.ico and .png).
You can upload an image only (.jpg, .jpeg, .gif and .png).;Você pode fazer upload de uma imagem única (.jpg, .jpeg, .gif and .png).
You can't upload more than one file at a time.;Você não pode carregar mais de um arquivo ao mesmo tempo.
You must be logged in to post a comment;Você deve estar logado para postar um comentário
Your browser is too old to view the content of our website.<br />;Seu navegador é muito antigo para visualizar o conteúdo do nosso site.<br />
Your comment;O seu comentário
Your email address;Seu endereço de e-mail
Your email address does not exist;Seu endereço de e-mail não existe
Your name;Seu nome
Your new password has been sent to the entered email address;Sua nova senha foi enviada para o endereço de e-mail digitado
Your password does not match the entered password.;Sua senha não coincide com a senha digitada.
Youtube;Youtube
en;en
picture;imagem
to add a subfolder.;para adicionar uma subpasta.
An error occurred while deleting the event;Ocorreu um erro ao excluir o evento
An error occurred while loading this event;Ocorreu um erro ao carregar este evento
Beginning date:;Data de início:
Calendar successfully deleted;Calendário excluído com sucesso
Calendar's URL;Calendário's URL
Calendar's title;Título Calendário's
Change picture;Alterar imagem
Create a new event;Criar um novo evento
Custom Page;Personalizar página
Delete this calendar?;Deletar este calendário?
Delete this event?;Deletar este evento?
Ending date:;Data de conclusão:
Enter your calendar's title;Entrar com o título do calendário's
Event;Evento
Event successfully deleted;Evento deletado com sucesso
Event successfully saved;Evento salvo com sucesso
Event title:;Título evento:
Illustration;Ilustração
Max size: 2000x2000px - allowed formats: jpg & png;Tamanho Máx: 2000x2000px - formatos permitidos: jpg & png
Modify the event;Modificar o evento
RSVP;RSVP
