%d Unread Messages;%d Mensagens não lidas
404, page not found;404, página não encontrada
hours;horas
How do you want to access the backoffice if you remove the only user remaining?;Como você deseja acessar o backoffice se você remover o único usuário restante?
ID;ID
Image not high enough, %spx minimum allowed.;Imagem não é alta o suficiente, %spx mínimo permitido.
Image not large enough, %spx minimum allowed.;Imagem não é grande o suficiente, %spx mínimo permitido.
Image not large enough, '%s' allowed.;A imagem não é grande o suficiente, '%s' permitidos.
Image successfully saved;Imagem salva com sucesso
Image too high, %spx maximum allowed.;Imagem muito alta, %spx máximo permitido.
Image too large, %spx maximum allowed.;Imagem muito grande, %spx máximo permitido.
Image too large, '%s' allowed.;Imagem muito grande, '%s' permitidos.
In order to fully enjoy our features, we encourage you to use at least:.<br />;A fim de desfrutar plenamente os nossos recursos, nós encorajamos você a usar, pelo menos:.<br />
In order to publish your application, we need:<br />- ;Para publicar seu aplicativo, é preciso:<br />- 
Incorrect filetype.;Tipo de arquivo incorreto.
Info successfully saved;Informações salvas com sucesso
Information;Informações
Infos successfully saved;Informações salvas com sucesso
"Insert a <br /><span class=""bold"">cover image</span>";"Insira uma <br /><span class=""bold"">imagem de capa</span>"
Invoice %s;Fatura %s
Invoices;Invoices
Last Name;Sobrenome
Lastname;Sobrenome
Lastname:;Sobrenome:
Latitude;Latitude
Latitude:;Latitude:
Like;Curtir
Likes;Curtidas
Link;Link
Load more;Leia mais
loading;carregamento
Locate;Localizar
Location:;Localização:
Log in;Log in
Log-in;Log-in
Log-out;Sair
Logged in as;Logado como
Login;Login
Longitude;Longitude
Longitude:;Longitude:
minute;minuto
minutes;minutos
MM/dd/y;MM/dd/y
MM/dd/y 'at' hh:mm a;MM/dd/y 'at' hh:mm a
MM/dd/y hh:mm a;MM/dd/y hh:mm a
MM/dd/yy;MM/dd/yy
MM/dd/yyyy;MM/dd/yyyy
MM,d yy;MM,d yy
MMMM dd y;MMMM dd y
Never;Nunca
No;Não
Main category;Categoria principal
Make this image colorizable;Marque esta imagem como colorizável
Manage;Gerenciar
Maps;Mapas
Message from your app %s;Mensagem do seu aplicativo %s
Messages;Mensagens
Modules;Módulos
More;Mais
My account;Minha conta
My invoices;Minhas faturas
My Invoices;Minhas faturas
Name;Nome
New;Novo
No file found.;Nenhum arquivo encontrado.
Nothing to display;Nada para exibir
Number;Número
OK;OK
OR;OU
Ouch, this page doesn't exist;Oops, esta página não existe.
Password;Senha
Password:;Senha:
Passwords don't match;As senhas não coincidem
Phone;Telefone
Phone:;Telefone:
Picture%s;Imagem%s
Plans;Planos
Platform Name;Nome da Plataforma
Player;Player
Please, enter a date greater than today;Por favor, insira uma data maior do que hoje
Please enter a password;Por favor, insira uma senha
Please enter a valid email address;Por favor insira um endereço de e-mail válido
Please enter a valid url;Digite uma URL válida
Please enter your email address;Digite seu endereço de e-mail
Please fill in the following fields:;Por favor, preencha os seguintes campos:
Please log in.;Por favor faça login.
Please, enter a correct email address.;Por favor, insira um endereço de e-mail correto.
Please, enter a password.;Por favor, insira uma senha.
Please, enter a valid date;Por favor, insira uma data válida
Podcast;Podcast
Podcast type is invalid or can't be found;Tipo de Podcast é inválido ou não pode ser encontrado
Podcast URL (iTunes format);Podcast URL (iTunes formato)
Postcode;CEP
Postcode:;CEP:
Price:;Preço:
Push;Push
Required fields;Campos obrigatórios
Resize your picture;Redimensionar a sua imagem
Resize your picture:;Redimensionar a sua imagem:
SEND;ENVIAR
Save;Salvar
Search;Pesquisa
second;segundo
seconds;segundos
Select a country;Selecionar um país
Select all;Selecionar todos
Send;Enviar
Send your pictures;Enviar suas imagens
Settings;Configurações
Size:;Tamanho:
Street;Rua
Street:;Rua:
Subscriptions;Assinaturas
Support;Suporte
Support Link;Link suporte
Tax;Imposto
Taxes;Impostos
Text;Texto
The account has been successfully saved;A conta foi salva com sucesso
The email is required;O e-mail é obrigatório
The file '%s' does not exist;O arquivo '%s' não existe
The file %s does not exist;O arquivo %s não existe
The image '%s' does not exist;A imagem '%s' não existe
The image size '%s' could not be detected.;O tamanho da imagem '%s' não pôde ser detectada.
The old password does not match the entered password.;A senha antiga não coincide com a senha digitada.
The password is required;A senha é obrigatória
The password must be at least 6 characters;A senha deve ter pelo menos 6 caracteres
This administrator does not exist;Este administrador não existe
This email address is already used;Este endereço de e-mail já está sendo usado
This field is required;O campo é obrigatório
This user does not exist.;Este usuário não existe.
Timezone;Fuso horário
title;título
titles;títulos
Title;Título
Title:;Título:
Total;Total
Unknown;Desconhecido
Updated at;Atualizado em
Use this coupon;Utilize este cupom
User;Usuário
User successfully saved;Usuário salvo com sucesso
Username;Nome de usuário
Users;Usuários
Validate;Validar
VAT Number;VAT Número
Version %s;Versão %s
View;Ver
We are sorry but this address is already used.;Lamentamos, mas este endereço já está sendo usado.
We are sorry but this email address already exists.;Lamentamos, mas este endereço de e-mail já existe.
We are sorry but this feature is not available yet;Lamentamos, mas este recurso ainda não está disponível
Yes;Sim
You can upload a pem certificate only.;Você pode enviar apenas um certificado pem.
You can upload a zip archive only.;Você pode enviar apenas um arquivo zip.
You can upload an icon only (.ico and .png).;Você pode enviar apenas um ícone (.ico and .png).
You can upload an image only (.jpg, .jpeg, .gif and .png).;Você pode fazer upload de uma imagem única (.jpg, .jpeg, .gif and .png).
You can't upload more than one file at a time.;Você não pode carregar mais de um arquivo ao mesmo tempo.
You must be logged in to post a comment;Você deve estar logado para postar um comentário
Your browser is too old to view the content of our website.<br />;Seu navegador é muito antigo para visualizar o conteúdo do nosso site.<br />
Your comment;O seu comentário
Your email address;Seu endereço de e-mail
Your email address does not exist;Seu endereço de e-mail não existe
Your name;Seu nome
Your new password has been sent to the entered email address;Sua nova senha foi enviada para o endereço de e-mail digitado
Your password does not match the entered password.;Sua senha não coincide com a senha digitada.
Youtube;Youtube
en;en
picture;imagem
to add a subfolder.;para adicionar uma subpasta.
