"%s ago";"%s önce"
"Support Link";"Destek linki"
"Tax";"Vergi"
"Taxes";"Vergiler"
"Text";"Metin"
"The account has been successfully saved";"Hesap başarıyla kaydedildi"
"The address you're looking for does not exists.";"Aradığınız adres mevcut değil."
"The email is required";"Email gerekli"
"The file '%s' does not exist";"Dosya '%s' mevcut değil"
"The image '%s' does not exist";"Resim '%s' mevcut değil"
"The image size '%s' could not be detected.";"Resim boyutu '%s' algılanamadı."
"The old password does not match the entered password.";"Şifreler eşleşmiyor."
"The password is required";"Şifre gerekli"
"The password must be at least 6 characters";"Şifre en az 6 karekter olmalı"
"The payment has been cancelled, something wrong happened? Feel free to contact us.";"Ödeme iptal edildi, bir şeyler yanlış oldu? Bizimle temas kurmaktan çekinmeyin."
"This administrator does not exist";"Bu Yönetici mevcut değil"
"This email address is already used";"Bu email adresi kullanımda"
"This field is required";"Bu dosya gerekli"
"This field is required.";"Gerekli alanları doldurunuz."
"This section is unlocked for mobile users only";"Bu bölüm sadece mobil kullanıcılar için"
"Timezone";"Zaman Dilimi"
"Title";"Başlık:"
"Title:";"Başlık:"
"Total";"Toplam"
"Translations";"Çeviriler"
"Unable to add the contact to your address book";"Adres defterinize kişi eklenemiyor"
"Unable to calculate the route.";"Rota hesaplanamıyor."
"Unable to save image";"Resim kaydedilemiyor"
"Unrecognized image format";"Tanınmayan resim biçimi"
"Updated at";"de güncellendi"
"Use this coupon";"Bu kuponu kullanın"
"User";"Kullanıcı"
"User successfully saved";"Kullanıcı başarıyla kaydedildi"
"Username";"Kullanıcı adı"
"Users";"Kullanıcılar"
"VAT Number";"Vergi numarası"
"Validate";"Geçerli"
"Version %s";"Versiyon %s"
"View";"Görünüm"
"We are sorry but this address is already used.";"Üzgünüz ama bu adres kullanımda"
"We are sorry but this email address already exists.";"Üzgünüz ama bu email kullanılmış"
"We are sorry but this feature is not available yet";"Üzgünüz ama bu özellik henüz mevcut değil"
"Website";"Website"
"Yes";"Evet"
"You already have this user in your contact";"Bu kullanıcı zaten listenizde"
"You are gone offline";"Çevrim dışısınız"
"You can upload a pem certificate only.";"Sadece bir pem sertifikası yükleyebilirsiniz."
"You can upload a zip archive only.";"Sadece zip arşiv yüklenebilir."
"You can upload an icon only (.ico and .png).";"Sadece (.ico ve .png) yükleyebilirsiniz."
"You can upload an image only (.jpg, .jpeg, .gif and .png).";"Sadece (.jpg, .jpeg, .gif ve .png) yükleyebilirsiniz."
"You can't upload more than one file at a time.";"Bir seferde birden fazla dosya yüklenemez."
"You must be logged in to post a comment";"Yorum yazmak için giriş yapmalısınız"
"You must give the permission to the app to add a contact to your address book";"Adres defterinize kontak eklemek için uygulamaya izin vermelisiniz"
"You must share your location to access this page.";"Bu sayfaya ulaşmak için yerinizi paylaşmalısınız."
"Your browser is too old to view the content of our website.<br />";"Tarayıcınız sitemizin içeriğini görüntülemek için çok eski. <br />"
"Your comment";"Yorumunuz"
"Your email address";"Email adresiniz"
"Your email address does not exist";"Email adresiniz mevcut değil"
"Your name";"Adınız"
"Your new password has been sent to the entered email address";"Yeni şifreniz girilen e-posta adresine gönderildi"
"Your password does not match the entered password.";"Şifreler eşleşmiyor."
"Youtube";"Youtube"
"close";"Kapat"
"day";"gün"
"days";"gün "
"en";"tr"
"hour";"saat"
"hours";"saat"
"loading";"yüklüyor"
"minute";"dakika"
"minutes";"dakika"
"picture";"resim"
"second";"saniye"
"seconds";"saniye"
"title";"başlık"
"titles";"başlıklar"
"to add a subfolder.";"Bir alt klasör eklemek için."
