%s - Your new password;%s – Uw nieuwe wachtwoord
The homepage image;De thuis(home)pagina afbeelding
The key cannot be empty.;De sleutel kan niet leeg zijn.
The key is already used by another application.;De sleutel wordt al gebruikt door een andere toepassing.
The keywords;Te trefwoorden
The main category;De hoofd categorie
The startup image;Opstart afbeelding
This application does not exist;Deze App bestaat niet
This application is visible on the front;Deze App is zichtbaar aan de voorkant
This option enables you to set the currency used in your app;Met deze optie kunt u de valuta die wordt gebruikt in uw app instellen
This page will be displayed to mobile users to enable them to login and manage their account. It is automatically added when you use features which need user login.;Deze pagina zal worden getoond aan de mobiele gebruikers om in te loggen. Hij wordt automatisch toegevoegd wanneer u functies activeert voor gebruiker die moeten inloggen
URL;URL
URL Key;URL Sleutel
Use into all of your application's pages;Gebruik in alle pagina's van uw App
Used points;Gebruikte punten
User Information;Informatie voor de gebruiker
Version;Versie
You already have sent a certificate.;Je hebt al een certificaat verstuurd.
"You can download your QRCode by <a class=""f-bold"" href=""%s"">clicking here</a>";U kunt uw QRCode downloaden door
You don't have any applications yet;U heeft nog geen App's
You have already sent a certificate;Je hebt al een certificaat verstuurd.
You have sent a certificate.;Je hebt een certificaat verstuurd.
You haven't chosen any template yet;U heeft nog geen template gekozen
You may not delete a library icon;Je mag geen bibliotheek pictogram verwijderen
You must have published your application to access this feature;U moet uw app gepubliceerd zijn, om deze functie te bekijken
Your CNAME is properly set;Uw CNAME is is niet goed ingesteld
Your best customers;Uw beste klanten
Your customers in figures;Uw klanten in cijfers
Your mobile address should not contain special characters;Uw mobiele-adres mag geen speciale tekens bevatten
Your pages;Uw pagina's
iOS Certificate;iOS Certificaat
iPad Retina:;iPad Retina :
iPhone 5 / 5S:;iPhone 5 / 5S :
iPhone 6 Plus:;iPhone 6 Plus :
iPhone 6:;IPhone 6 :
iPhone Version;Version iPhone
icon;icoon
logo;logo
times;tijden
"%d Unread Message";"%d Ongelezen bericht"
"%d Unread Messages";"%d ongelezen berichten"
"Account";"Account"
"Change the password";"Wijzig het wachtwoord"
"Click to mark as not read";"Klik om te markeren als niet gelezen"
"Click to mark as read";"Klik om te markeren als gelezen"
"Create a user";"Maak een gebruiker aan"
"Edit the account ""%s""";"Bewerk het account ""%s"""
"Edit the user";"Bewerk de gebruiker"
"Enter your credentials:";"Vul uw gegevens in:"
"List of backoffice accounts";"Lijst van backoffice-accounts"
"List of the messages";"Lijst van de berichten"
"Login to your backoffice interface";"Log in om naar uw  backoffice-interface te gaan"
"People who are allowed to access the backoffice";"Mensen met toegang tot de backoffice"
"Siberian CMS";"Siberian CMS"
"This account can't be deleted, it's the only one";"Dit account kan niet worden verwijderd, het is de enige"
"User successfully deleted";"Gebruiker succesvol verwijderd"
"View Details";"Bekijk details"
"Your new password";"Uw nieuwe wachtwoord"
"Your password";"Uw wachtwoord"
Booking details;Reserveringdetails
Booking details:;Reserveringdetails:
Booking subject:;Boeking betreft:
Comment:;Opmerkingen
Date and time;Datum en tijd
Date and time:;Datum en tijd:
Email address:;Emailadres:
Enter the location name and contact email:;Voer de locatienaam en contact email in:
First name / Last name;Voornaam / Achternaam
Here are his personal information:;Voici ses informations personnelles :
Name:;Naam:
Nom du lieu :;Vul naam in:
People number:;Aantal personen:
Phone number:;Telefoonnummer
Please fill out the following fields: ;Vul de volgende velden in:<br />
Please fill out the following fields:<br />;Vul de volgende velden in:<br />
Please, choose a store;Kies een winkel
Thank you for your request. We'll answer you as soon as possible.;Bedankt voor uw verzoek. Wij beantwoorden deze zo spoedig mogelijk.
The booking information;Reserveringsinformatie
The booking informations;Reserveringsinformatie
The date and time of the booking;Datum en tijd van de reservering
The number of people;Aantal personen
You have received a message for the booking of;U heeft een bericht van de boeking van de ontvangen
Your phone number or email address;Uw telefoonnummer of emailadres
%s - All;%s – Alles
Add a category;Voeg een categorie toe
Add a format;Bewerk formaat
All;Alles
An error occurred while loading your product.;Er is een fout opgetreden tijdens het laden van uw product.
An error occurred while saving the category. Please try again later.;Er is een fout opgetreden tijdens het opslaan van de categorie. Probeer het later nog eens.
An error occurred while saving the product. Please try again later.;Er is een fout opgetreden tijdens het opslaan van het product. Probeer het later nog eens.
An error occurred while saving the set meal. Please try again later.;Er is een fout opgetreden tijdens het bewaren van het menu. Probeer het later nog eens.
An error occurred while saving. One of your categories could not be identified.;Er is een fout opgetreden tijdens het opslaan. Een van uw categorieën kan niet worden geïdentificeerd.
An error occurred while saving. One of your products could not be identified.;Er is een fout opgetreden tijdens het opslaan. Een van uw producten kan niet worden geïdentificeerd.
Are you sure you want to delete this product?;Weet u zeker dat u dit product wilt verwijderen?
Category;Categorie
Choose a category;Kies een categorie
Choose a subcategory;Kies een sub categorie
Click on a category to display sub-categories;Klik op een categorie om een sub categorie te zien
Create a new product;Maak een nieuw product
Does this product have many formats?;Heeft dit product veel formaten?
Edit the;bewerk de
Edit the product;Bewerk product
Format;Opmaak
Picture;Afbeelding
Price;Prijs
Product;Product
Product formats;Product formaat
Product name;Product naam
Rules;Regels
Set meal successfully deleted.;Menu verwijderd.
Set meal successfully saved.;Menu met succes opgeslagen.
Sub-category;sub categorie
st;st
sub-category;sub categorie
.mp4 or .3gp format;.mp4 or .3gp formaat
Add ;Toevoegen
Add sections:;Secties toe te voegen:
Address:;Adres 
Alignment:;Uitlijnen:
An error occurred while saving your page.;Er is een fout opgetreden bij het opslaan van uw pagina.
Are you sure you want to delete this page?;Weet u zeker dat u deze pagina wild verwijderen
Display address;Toon adres
Display location button;Toon locatie knop
Label;Label
Label:;Label:
Large;Groot
Loading picture:;Afbeelding laden
Make a search or enter the Youtube Url:;Maak een zoekopdracht of voeg een Youtube Url in:
Medium;Middel
My Youtube video:;Mijn Youtube video:
My video;Mijn video
No videos matching your selection;Geen video's die voldoen aan uw selectie
Page successfully deleted;Pagina succesvol verwijderd
Page successfully saved;Pagina succesvol opgeslagen
Podcast URL:;Podcast URL:
Select a video type:;Selecteer een video-type:
Small;Klein
Video URL:;Video URL:
Your Podcast:;Uw Podcast:
An error occurred while deleting this answer. Please try again later.;Er is een fout opgetreden bij het verwijderen van dit antwoord. Probeer het later opnieuw.
Create a news;Maak een nieuwsbericht:
Hide this info;Verberg deze info
Information successfully deleted;Informatie succesvol verwijderd
Information successfully hidden;Informatie met succes verborgen
Information successfully saved;Informatie met succes opgeslagen
Information successfully shown;Informatie met succes getoond
Insert a;Voeg in
It will be visible only after validation by our team.;Uw reactie is zichtbaar na controle door ons team
My customers answers;Reacties van mijn Klanten
Publishing date;Publicatie datum
Show this info;Toon deze info
There is no comment for this news;Er is geen reactie op dit nieuws
You can't like more than once the same news;Je kan en mag het maar één keer leuk vinden
Your like has been successfully added;Je vind ik leuk is toegevoegd
Your message has been successfully saved.;Uw bericht is succesvol opgeslagen.
An error occurred while saving your contact informations.;Er is een fout opgetreden bij het opslaan van uw contact informatie.
An error occurred while sending your request. Please try again later.;Er is een fout opgetreden tijdens het versturen van uw aanvraag. Probeer het later opnieuw.
And his phone number:;En zijn telefoonnummer:
Are you sure you want to remove the picture?;Weet u zeker dat u wilt de afbeelding verwijderen?
City;Woonplaats
Contact information;Contact informatie
Here is his email:;Hier is zijn e-mail:
Here is his message:;Hier is zijn boodschap:
Please enter properly the following fields: <br />;Vul a.u.b. de volgende velden in: <br />
Twitter;Twitter
Website;Website
You have received a message from a contact:;Je hebt een bericht van een contact ontvangen:
Your email;Uw email
Your message has been sent;Uw bericht is verstuurd
Your request;Uw vraag
Zip code;Postcode
%s - Account creation;%s - Account gemaakt
%s - Your new password;%s - Uw nieuwe wachtwoord
A request to reset your password has been made.;Een verzoek om uw wachtwoord te resetten is gemaakt.
An error occurred while connecting to your Facebook account. Please try again later;Er is een fout opgetreden tijdens het verbinden met je Facebook-account. Probeer het later opnieuw
Are you sure you want to remove this user?;Weet u zeker dat u deze gebruiker wilt verwijderen?
Change Password;Wachtwoord wijzigen
Congratulations,;Gefeliciteerd,
Create;Maak
Create a new user;Maak een nieuwe gebruiker
Create an account;Maak een account
Customer;Klant
Customers;Klanten
Disconnect;Loskoppelen
Edit the user %s;Bewerk de gebruiker %s
First name;Voornaam
Forgot your password?;Wachtwoord vergeten?
Gender;Man / vrouw
Here are your credentials:;Hier zijn uw gegevens:
I accept the <u>privacy policy</u>;Ik accepteer het <u>privacybeleid</ u>
If you encounter any problems, do not hesitate to contact us:;Als u problemen ondervindt, aarzel dan niet om contact opte nemen:
Last name;Achternaam
Login:;Login :
Miss;Mejv.
Mr;Dhr.
Mrs;Mevr.
My Account;Mijn account
My application's users;Mijn App gebruikers
Old Password;Oude wachtwoord
Or with your account;Of met uw account
Please enter your email address. We'll send you your password right now.;Vul uw e-mailadres in . We zullen u nu uw wachtwoord sturen.
Please log in with your mobile phone;Log-in met uw mobiele telefoon
Privacy Policy;Privacybeleid
See you soon,;Tot ziens,
Show me in ranking;Toon mij in het klassement
The old email address does not match the entered email address.;Het oude e-mailadres komt niet overeen met het opgegeven e-mailadres.
"This user can access the pages locked by the ""Locker"" feature";"Deze gebruiker kan toegang krijgen tot de pagina's die vergrendeld zijn door de functie ""Locker"""
This user is visible in ranking;De gebruiker is zichtbaar in de ranking
User;Gebruiker
Users;Gebruikers
User Information;Gebruiker informatie
We are sorry but the %s account is already linked to one of our customers;Het spijt ons maar het %s-account is al gekoppeld aan een van onze klanten
You have created your account. With this account, you will be able to enjoy great offers available in our application.;Je hebt je account aangemaakt. Met dit account, kunt u genieten van de geweldige aanbiedingen die beschikbaar zijn in onze applicatie.
Your account has been successfully saved;Uw account is met succes opgeslagen
"%d Unread Messages"
"404, page not found"
"APIs"
"Accounts"
"Action"
"Actions"
"Add"
"Add a"
"Add<br /><span class=""bold"">Pictures</span>"
"Add an <br /><span class=""bold"">image</span>"
"Address"
"All items"
"An error occurred during process. Please try again later."
"An error occurred during the process. Please try again later."
"An error occurred while loading. Please try again later."
"An error occurred while loading. Please, try again later."
"An error occurred while saving"
"An error occurred while saving your account. Please try again later."
"An error occurred while saving your picture. Please try againg later."
"An error occurred while saving. Please try again later."
"An error occurred while saving. Please, try again later."
"An error occurred while uploading your file. Please, try again later."
"Appearance"
"Application"
"Application Name"
"Applications"
"Are you sure you want to delete this element?"
"Are you sure you want to remove this account?"
"Authentication failed. Please check your email and/or your password"
"Back"
"Browse"
"Can only be used once"
"Cancel"
"Cart"
"Catalog"
"Category"
"Change password"
"City"
"City:"
"Close"
"close"
"Comment"
"Comments"
"Communication"
"Company"
"Coms"
"Conditions"
"Confirm Password"
"Confirm new password"
"Country"
"Country:"
"Create"
"Create a new account"
"Created at"
"Created at:"
"Currency"
"Current password"
"Dashboard"
"Date"
"day"
"days"
"Default Languages"
"Delete"
"Description"
"Description:"
"Details"
"Edit"
"Editing"
"Email"
"Email address"
"Email:"
"End at"
"Error : <br/>"
"Errors : <br/>"
"Export your customers"
"Extension not allowed, '%s' only"
"Facebook"
"Firstname"
"Firstname:"
"Forgot your password ?"
"Forgot your password? Don't worry! Simply enter your email address and we'll send you a new one right now."
"General"
"Hello,"
"Here is your new password:"
"hour"
"hours"
"How do you want to access the backoffice if you remove the only user remaining?"
"ID"
"Image not high enough, %spx minimum allowed."
"Image not large enough, %spx minimum allowed."
"Image not large enough, '%s' allowed."
"Image successfully saved"
"Image too high, %spx maximum allowed."
"Image too large, %spx maximum allowed."
"Image too large, '%s' allowed."
"In order to fully enjoy our features, we encourage you to use at least:.<br />"
"In order to publish your application, we need:<br />- "
"Incorrect filetype."
"Info successfully saved"
"Information"
"Infos successfully saved"
"Insert a <br /><span class=""bold"">cover image</span>"
"Invoice %s"
"Invoices"
"Last Name"
"Lastname"
"Lastname:"
"Latitude"
"Latitude:"
"Like"
"Likes"
"Link"
"Load more"
"loading"
"Locate"
"Location:"
"Log in"
"Log-in"
"Log-out"
"Logged in as"
"Login"
"Longitude"
"Longitude:"
"minute"
"minutes"
"MM/dd/y"
"MM/dd/y 'at' hh:mm a"
"MM/dd/y hh:mm a"
"MM/dd/yy"
"MM/dd/yyyy"
"MM,d yy"
"MMMM dd y"
"Never"
"No"
"Main category"
"Make this image colorizable"
"Manage"
"Maps"
"Message from your app %s"
"Messages"
"Modules"
"More"
"My account"
"My invoices"
"My Invoices"
"Name"
"New"
"No file found."
"Nothing to display"
"Number"
"OK"
"OR"
"Ouch, this page doesn't exist"
"Password"
"Password:"
"Passwords don't match"
"Phone"
"Phone:"
"Picture%s"
"Plans"
"Platform Name"
"Player"
"Please, enter a date greater than today"
"Please enter a password"
"Please enter a valid email address"
"Please enter a valid url"
"Please enter your email address"
"Please fill in the following fields:"
"Please log in."
"Please, enter a correct email address."
"Please, enter a password."
"Please, enter a valid date"
"Podcast"
"Podcast type is invalid or can't be found"
"Podcast URL (iTunes format)"
"Postcode"
"Postcode:"
"Price:"
"Push"
"Required fields"
"Resize your picture"
"Resize your picture:"
"SEND"
"Save"
"Search"
"second"
"seconds"
"Select a country"
"Select all"
"Send"
"Send your pictures"
"Settings"
"Size:"
"Street"
"Street:"
"Subscriptions"
"Support"
"Support Link"
"Tax"
"Taxes"
"Text"
"The account has been successfully saved"
"The email is required"
"The file '%s' does not exist"
"The file %s does not exist"
"The image '%s' does not exist"
"The image size '%s' could not be detected."
"The old password does not match the entered password."
"The password is required"
"The password must be at least 6 characters"
"This administrator does not exist"
"This email address is already used"
"This field is required"
"This user does not exist."
"Timezone"
"title"
"titles"
"Title"
"Title:"
"Total"
"Updated at"
"Use this coupon"
"User"
"User successfully saved"
"Username"
"Users"
"Validate"
"VAT Number"
"Version %s"
"View"
"We are sorry but this address is already used."
"We are sorry but this email address already exists."
"We are sorry but this feature is not available yet"
"Yes"
"You can upload a pem certificate only."
"You can upload a zip archive only."
"You can upload an icon only (.ico and .png)."
"You can upload an image only (.jpg, .jpeg, .gif and .png)."
"You can't upload more than one file at a time."
"You must be logged in to post a comment"
"Your browser is too old to view the content of our website.<br />"
"Your comment"
"Your email address"
"Your email address does not exist"
"Your name"
"Your new password has been sent to the entered email address"
"Your password does not match the entered password."
"Youtube"
"en"
"picture"
"to add a subfolder."
An error occurred while deleting the event;Er is een fout opgetreden tijdens het verwijderen van dit evenement 
An error occurred while loading this event;Er is een fout opgetreden tijdens het laden van dit evenement 
Beginning date:;Begin datum:
Calendar successfully deleted;Kalender is verwijderd
Calendar's URL;Kalender URL
Calendar's title;Kalender titel
Change picture;Verander afbeelding
Create a new event;Maak een nieuw evenement
Custom Page;Aangepaste pagina
Delete this calendar?;Verwijder Kalender
Delete this event?;Verwijder evenement
Ending date:;Eind datum:
Enter your calendar's title;Vul de titel van uw agenda in 
Event;Evenement bewaard
Event successfully deleted;Evenement verwijderd
Event successfully saved;Evenement bewaard
Event title:;Evenement titel
Illustration;Illustratie
Max size: 2000x2000px - allowed formats: jpg & png;Maximale grootte:  2000x2000px – toegestaande formaten jpg en png
Modify the event;Bewerk evenement
RSVP;RSVP
RSVP URL:;RSVP URL:
Your Facebook page ID;Uw FaceBook pagina ID
"Your Facebook page ID <span class=""required-entry"">*</span> :";"Uw FaceBook pagina ID <span class=""required-entry"">*</span> :"
Your calendar is empty;Je agenda is leeg
iCal;iCal
Add a page;Voeg pagina in
Click on;Klik op
"Click on a page to add it to the folder <span id=""folder_name"" class=""folder_name"">""%s""</span>";"Klik op een pagina om deze aan een map toe te voegen <span id=""folder_name"" class=""folder_name"">""%s""</span>"
Click on a page to add it to the folder;Klik op een pagina om deze aan een map toe te voegen
Close mobile display;Sluit mobiele weergave
Delete this folder and all its subfolders?;Deze map en alle submappen verwijderen?
Folder title is required;Maptitel is vereist
Folders;Mappen
Mobile display;Mobiele weergave
New folder;Nieuwe map
Subtitle;Ondertitel
You cannot add this feature;U kunt dit kenmerk niet toevoegen 
You must first complete the current category creation process;U moet eerst het huidige categorieën creatieproces voltooien
You will lose all unsaved changes, continue?;U verliest alle niet-opgeslagen wijzigingen, doorgaan?
to add a folder.;een map toevoegen
<strong>%s</strong> must be a numerical value<br />;<strong>%s</strong> moet een numerieke waarde zijn<br />
<strong>%s</strong> must be a valid date (e.g. dd/mm/yyyy)<br />;<strong>%s</strong> moet een geldige datum zijn (e.g. dd/mm/yyyy)<br />
<strong>%s</strong> must be a valid date<br />;<strong>%s</strong> moet een geldige datum zijn<br />
<strong>%s</strong> must be a valid email address<br />;<strong>%s</strong> moet een geldig e-mailadres zijn<br />
<strong>%s</strong> must be filled<br />;<strong>%s</strong> moeten worden ingevuld<br />
Add a field;Bewerk veld
Add a section;Bewerk een selectie
Add an option;Bewerk een optie
An error occurred while saving. A field can't be identified.;Er is een fout opgetreden tijdens het opslaan. Een veld kan niet worden geïdentificeerd.
Are you sure you want to remove this field?;Bent u zeker dat u dit veld wilt verwijderen?
Are you sure you want to remove this section?;Bent u zeker dat u dit gedeelte wilt  verwijderen?
Hello,;Hallo
Checkbox;Checkbox
Choose a field type:;Kies een veld type
Create a new field;Maak een nieuw veld
Date/Hour;Datum/uur
Drop down;Dropdown
Edit field %s;Bewerk veld %s
Field name;Veldnaam
Field name:;Veldnaam:
Geolocation;Geolocatie
Manage fields;Beheer velden
Manage options:;Beheer opties:
Multiline text;Multiline text
Option;Optie
Radio;Radio
Recipient email:;Ontvanger e-mail:
The form has been sent successfully;Het formulier is succesvol verzonden
You have to choose a field type.;Je moet een veld type kiezen.
Your app's form;Uw app formulier
Your form has been filled out, here are the answers:;Uw formulier is ingevuld  hier zijn de antwoorden:
"Your browser is too old and can not display the content optimally";"Votre navigateur est trop ancien et n'affichera pas les contenus de manière optimale.<br />"
"To fully enjoy all our features, we recommend you to use at least: <br />";"Afin de profiter pleinement de toutes nos fonctionnalités, nous vous recommandons d'utiliser au moins : <br />"
;
Features;Fonctionnalités
"Photos and Videos Galleries";"Galeries photos et vidéos"
"Photos and videos are the best way to convey the atmosphere of a celebration or store.";"Rien de mieux que des photos ou des vidéos pour mettre en valeur les soirées ou l'ambiance d'un commerce."
"Photos Galleries";"Galerie photos"
"Product / price list";"Listing produits"
"Product / price list";"Listing produits / tarifs"
"Emphasize the products and prices of your clients by making information available on their clients mobile.";"Mettez en avant les produits et tarifs de vos clients commerçants, sur le mobile de leurs clients"
"White Label Admin Panel";"Interface en Marque Blanche"
"You want to resell mobile applications to your clients. Would you like to enable them to manage their own application? No problem. We provide an interface in your image, with your design, in your name, on your website.";"Vous créez des applications mobiles pour vos clients. Vous souhaitez leur permettre de gérer leur application eux-mêmes ? Oui ? Pas de souci, nous vous fournissons une interface à vos couleurs, à votre nom, sur votre site."
